Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-10.82,,
2003-09-30,2003-09-30,-0.28,,
2003-12-31,2003-12-31,17.32,,
2004-03-31,2004-03-31,-19.86,,
2004-06-30,2004-06-30,1.06,,
2004-09-30,2004-09-30,1.64,,
2004-12-31,2004-12-31,2.78,,
2005-03-31,2005-03-31,-11.34,,
2005-06-30,2005-06-30,12.63,,
2005-09-30,2005-09-30,16.03,,
2005-12-31,2005-12-31,21.15,,
2006-03-31,2006-03-31,-4.05,,
2006-06-30,2006-06-30,7.07,,
2006-09-30,2006-09-30,7.67,,
2006-12-31,2006-12-31,-3.97,,
2007-03-31,2007-03-31,-8.28,,
2007-06-30,2007-06-30,-4.32,,
2007-09-30,2007-09-30,-12.97,,
2007-12-31,2007-12-31,-31.85,,
2008-03-31,2008-03-31,-47.52,,
2008-06-30,2008-06-30,-55.08,,
2008-09-30,2008-09-30,-64.22,,
2008-12-31,2008-12-31,-68.55,,
2009-03-31,2009-03-31,-55.68,,
2009-06-30,2009-06-30,-16.6,,
2009-09-30,2009-09-30,-6.47,,
2009-12-31,2009-12-31,11.17,,
2010-03-31,2010-03-31,21.5,,
2010-06-30,2010-06-30,22.25,,
2010-09-30,2010-09-30,7.97,,
2010-12-31,2010-12-31,26.05,,
2011-03-31,2011-03-31,-1.68,,
2011-06-30,2011-06-30,2.88,,
2011-09-30,2011-09-30,-20.55,,
2011-12-31,2011-12-31,-29.26,,
2012-03-31,2012-03-31,-46.71,,
2012-06-30,2012-06-30,-15.71,,
2012-09-30,2012-09-30,-13.07,,
2012-12-31,2012-12-31,-10.02,,
2013-03-31,2013-03-31,-32.61,,
2013-06-30,2013-06-30,-12.04,,
2013-09-30,2013-09-30,-1.69,,
2013-12-31,2013-12-31,11.43,,
2014-03-31,2014-03-31,14.8,,
2014-06-30,2014-06-30,9.78,,
2014-09-30,2014-09-30,17.97,,
2014-12-31,2014-12-31,21.19,,
2015-03-31,2015-03-31,17.61,,
2015-06-30,2015-06-30,31.22,,
2015-09-30,2015-09-30,26.94,,
2015-12-31,2015-12-31,22.73,,
2016-03-31,2016-03-31,22.83,,
2016-06-30,2016-06-30,38.39,,
2016-09-30,2016-09-30,17.31,,
2016-12-31,2016-12-31,31.28,,
2017-03-31,2017-03-31,20.55,,
2017-06-30,2017-06-30,18.6,,
2017-09-30,2017-09-30,15.44,,
2017-12-31,2017-12-31,22.87,,
2018-03-31,2018-03-31,16.03,,
2018-06-30,2018-06-30,17.81,,
2018-09-30,2018-09-30,18.8,,
2018-12-31,2018-12-31,18.19,,
2019-03-31,2019-03-31,10.0,,
2019-06-30,2019-06-30,6.0,,
2019-09-30,2019-09-30,5.85,,
2019-12-31,2019-12-31,19.71,,
2020-03-31,2020-03-31,5.87,,
2020-06-30,2020-06-30,-66.78,,
2020-09-30,2020-09-30,6.0,,
2020-12-31,2020-12-31,-4.64,,
2021-03-31,2021-03-31,-2.58,,
2021-06-30,2021-06-30,5.67,,
2021-09-30,2021-09-30,11.71,,
2021-12-31,2021-12-31,-1.36,,
2022-03-31,2022-03-31,6.32,,
2022-06-30,2022-06-30,-9.59,,
2022-09-30,2022-09-30,-47.34,,
2022-12-31,2022-12-31,-64.38,,
2023-03-31,2023-03-31,-49.03,,
2023-06-30,2023-06-30,-38.98,,
2023-09-30,2023-09-30,-17.84,,
2023-12-31,2023-12-31,-11.28,,
2024-03-31,2024-03-31,5.46,,
2024-06-30,2024-06-30,22.23,,
2024-09-30,2024-09-30,26.23,,
2024-12-31,2024-12-31,43.52,,
2025-03-31,2025-03-31,30.83,,
