Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-6.27,,
2003-09-30,2003-09-30,-3.79,,
2003-12-31,2003-12-31,10.85,,
2004-03-31,2004-03-31,34.45,,
2004-06-30,2004-06-30,24.07,,
2004-09-30,2004-09-30,18.41,,
2004-12-31,2004-12-31,20.47,,
2005-03-31,2005-03-31,17.46,,
2005-06-30,2005-06-30,15.02,,
2005-09-30,2005-09-30,9.81,,
2005-12-31,2005-12-31,29.06,,
2006-03-31,2006-03-31,26.78,,
2006-06-30,2006-06-30,26.73,,
2006-09-30,2006-09-30,25.03,,
2006-12-31,2006-12-31,32.23,,
2007-03-31,2007-03-31,35.47,,
2007-06-30,2007-06-30,35.46,,
2007-09-30,2007-09-30,23.12,,
2007-12-31,2007-12-31,7.4,,
2008-03-31,2008-03-31,-9.18,,
2008-06-30,2008-06-30,-11.28,,
2008-09-30,2008-09-30,-14.6,,
2008-12-31,2008-12-31,-4.58,,
2009-03-31,2009-03-31,-27.08,,
2009-06-30,2009-06-30,-12.19,,
2009-09-30,2009-09-30,-2.26,,
2009-12-31,2009-12-31,3.52,,
2010-03-31,2010-03-31,13.42,,
2010-06-30,2010-06-30,19.83,,
2010-09-30,2010-09-30,31.32,,
2010-12-31,2010-12-31,28.4,,
2011-03-31,2011-03-31,32.28,,
2011-06-30,2011-06-30,25.93,,
2011-09-30,2011-09-30,9.29,,
2011-12-31,2011-12-31,-19.11,,
2012-03-31,2012-03-31,-26.7,,
2012-06-30,2012-06-30,4.47,,
2012-09-30,2012-09-30,-11.21,,
2012-12-31,2012-12-31,-10.64,,
2013-03-31,2013-03-31,-9.03,,
2013-06-30,2013-06-30,-2.9,,
2013-09-30,2013-09-30,1.28,,
2013-12-31,2013-12-31,2.19,,
2014-03-31,2014-03-31,10.43,,
2014-06-30,2014-06-30,23.58,,
2014-09-30,2014-09-30,24.93,,
2014-12-31,2014-12-31,18.55,,
2015-03-31,2015-03-31,17.66,,
2015-06-30,2015-06-30,39.93,,
2015-09-30,2015-09-30,33.15,,
2015-12-31,2015-12-31,32.99,,
2016-03-31,2016-03-31,29.62,,
2016-06-30,2016-06-30,25.5,,
2016-09-30,2016-09-30,24.79,,
2016-12-31,2016-12-31,24.91,,
2017-03-31,2017-03-31,10.79,,
2017-06-30,2017-06-30,11.5,,
2017-09-30,2017-09-30,17.12,,
2017-12-31,2017-12-31,26.06,,
2018-03-31,2018-03-31,16.76,,
2018-06-30,2018-06-30,21.83,,
2018-09-30,2018-09-30,18.97,,
2018-12-31,2018-12-31,10.58,,
2019-03-31,2019-03-31,5.0,,
2019-06-30,2019-06-30,5.0,,
2019-09-30,2019-09-30,4.98,,
2019-12-31,2019-12-31,1.03,,
2020-03-31,2020-03-31,-9.3,,
2020-06-30,2020-06-30,76.53,,
2020-09-30,2020-09-30,11.09,,
2020-12-31,2020-12-31,16.96,,
2021-03-31,2021-03-31,4.77,,
2021-06-30,2021-06-30,21.24,,
2021-09-30,2021-09-30,31.41,,
2021-12-31,2021-12-31,23.22,,
2022-03-31,2022-03-31,8.34,,
2022-06-30,2022-06-30,12.08,,
2022-09-30,2022-09-30,-4.95,,
2022-12-31,2022-12-31,-4.39,,
2023-03-31,2023-03-31,-15.45,,
2023-06-30,2023-06-30,-18.21,,
2023-09-30,2023-09-30,-6.49,,
2023-12-31,2023-12-31,-21.26,,
2024-03-31,2024-03-31,2.05,,
2024-06-30,2024-06-30,-3.88,,
2024-09-30,2024-09-30,10.3,,
2024-12-31,2024-12-31,4.13,,
2025-03-31,2025-03-31,-1.1,,
