Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,37.75,,
2003-09-30,2003-09-30,18.07,,
2003-12-31,2003-12-31,13.14,,
2004-03-31,2004-03-31,20.4,,
2004-06-30,2004-06-30,7.83,,
2004-09-30,2004-09-30,6.1,,
2004-12-31,2004-12-31,0.51,,
2005-03-31,2005-03-31,-2.23,,
2005-06-30,2005-06-30,-0.31,,
2005-09-30,2005-09-30,-8.82,,
2005-12-31,2005-12-31,3.84,,
2006-03-31,2006-03-31,-1.65,,
2006-06-30,2006-06-30,-8.87,,
2006-09-30,2006-09-30,0.07,,
2006-12-31,2006-12-31,-1.03,,
2007-03-31,2007-03-31,-2.72,,
2007-06-30,2007-06-30,-7.67,,
2007-09-30,2007-09-30,3.15,,
2007-12-31,2007-12-31,26.8,,
2008-03-31,2008-03-31,28.8,,
2008-06-30,2008-06-30,41.2,,
2008-09-30,2008-09-30,42.87,,
2008-12-31,2008-12-31,63.3,,
2009-03-31,2009-03-31,46.75,,
2009-06-30,2009-06-30,28.28,,
2009-09-30,2009-09-30,11.91,,
2009-12-31,2009-12-31,-0.57,,
2010-03-31,2010-03-31,4.41,,
2010-06-30,2010-06-30,0.08,,
2010-09-30,2010-09-30,4.62,,
2010-12-31,2010-12-31,4.42,,
2011-03-31,2011-03-31,1.88,,
2011-06-30,2011-06-30,3.06,,
2011-09-30,2011-09-30,6.59,,
2011-12-31,2011-12-31,20.52,,
2012-03-31,2012-03-31,23.75,,
2012-06-30,2012-06-30,0.68,,
2012-09-30,2012-09-30,9.83,,
2012-12-31,2012-12-31,12.7,,
2013-03-31,2013-03-31,14.8,,
2013-06-30,2013-06-30,6.46,,
2013-09-30,2013-09-30,1.38,,
2013-12-31,2013-12-31,-4.76,,
2014-03-31,2014-03-31,0.31,,
2014-06-30,2014-06-30,-4.63,,
2014-09-30,2014-09-30,-2.67,,
2014-12-31,2014-12-31,-6.72,,
2015-03-31,2015-03-31,-6.05,,
2015-06-30,2015-06-30,-0.9,,
2015-09-30,2015-09-30,-0.02,,
2015-12-31,2015-12-31,-3.65,,
2016-03-31,2016-03-31,-3.27,,
2016-06-30,2016-06-30,-2.16,,
2016-09-30,2016-09-30,-0.44,,
2016-12-31,2016-12-31,3.41,,
2017-03-31,2017-03-31,-1.57,,
2017-06-30,2017-06-30,0.56,,
2017-09-30,2017-09-30,-1.26,,
2017-12-31,2017-12-31,-0.35,,
2018-03-31,2018-03-31,-3.24,,
2018-06-30,2018-06-30,-1.9,,
2018-09-30,2018-09-30,-2.63,,
2018-12-31,2018-12-31,0.43,,
2019-03-31,2019-03-31,3.42,,
2019-06-30,2019-06-30,-1.76,,
2019-09-30,2019-09-30,1.18,,
2019-12-31,2019-12-31,0.51,,
2020-03-31,2020-03-31,2.56,,
2020-06-30,2020-06-30,-9.98,,
2020-09-30,2020-09-30,20.63,,
2020-12-31,2020-12-31,14.87,,
2021-03-31,2021-03-31,15.28,,
2021-06-30,2021-06-30,6.59,,
2021-09-30,2021-09-30,2.5,,
2021-12-31,2021-12-31,-0.94,,
2022-03-31,2022-03-31,-1.46,,
2022-06-30,2022-06-30,21.41,,
2022-09-30,2022-09-30,18.47,,
2022-12-31,2022-12-31,29.07,,
2023-03-31,2023-03-31,24.34,,
2023-06-30,2023-06-30,15.08,,
2023-09-30,2023-09-30,10.32,,
2023-12-31,2023-12-31,7.26,,
2024-03-31,2024-03-31,9.2,,
2024-06-30,2024-06-30,5.75,,
2024-09-30,2024-09-30,4.97,,
2024-12-31,2024-12-31,4.33,,
2025-03-31,2025-03-31,10.04,,
