Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,14.03,,
2003-09-30,2003-09-30,12.15,,
2003-12-31,2003-12-31,-0.52,,
2004-03-31,2004-03-31,8.67,,
2004-06-30,2004-06-30,3.33,,
2004-09-30,2004-09-30,4.41,,
2004-12-31,2004-12-31,-0.45,,
2005-03-31,2005-03-31,-10.9,,
2005-06-30,2005-06-30,-4.07,,
2005-09-30,2005-09-30,-7.21,,
2005-12-31,2005-12-31,-6.76,,
2006-03-31,2006-03-31,-8.81,,
2006-06-30,2006-06-30,-2.08,,
2006-09-30,2006-09-30,-3.19,,
2006-12-31,2006-12-31,-5.08,,
2007-03-31,2007-03-31,-1.49,,
2007-06-30,2007-06-30,-0.78,,
2007-09-30,2007-09-30,-2.63,,
2007-12-31,2007-12-31,11.54,,
2008-03-31,2008-03-31,10.62,,
2008-06-30,2008-06-30,24.39,,
2008-09-30,2008-09-30,25.1,,
2008-12-31,2008-12-31,42.49,,
2009-03-31,2009-03-31,28.42,,
2009-06-30,2009-06-30,19.98,,
2009-09-30,2009-09-30,15.28,,
2009-12-31,2009-12-31,9.59,,
2010-03-31,2010-03-31,8.53,,
2010-06-30,2010-06-30,2.86,,
2010-09-30,2010-09-30,6.45,,
2010-12-31,2010-12-31,-2.75,,
2011-03-31,2011-03-31,4.01,,
2011-06-30,2011-06-30,7.85,,
2011-09-30,2011-09-30,5.81,,
2011-12-31,2011-12-31,11.47,,
2012-03-31,2012-03-31,11.22,,
2012-06-30,2012-06-30,6.26,,
2012-09-30,2012-09-30,2.22,,
2012-12-31,2012-12-31,1.54,,
2013-03-31,2013-03-31,1.76,,
2013-06-30,2013-06-30,2.83,,
2013-09-30,2013-09-30,0.15,,
2013-12-31,2013-12-31,-1.65,,
2014-03-31,2014-03-31,-3.02,,
2014-06-30,2014-06-30,-0.5,,
2014-09-30,2014-09-30,-2.26,,
2014-12-31,2014-12-31,-1.16,,
2015-03-31,2015-03-31,-4.65,,
2015-06-30,2015-06-30,0.35,,
2015-09-30,2015-09-30,-2.44,,
2015-12-31,2015-12-31,-2.01,,
2016-03-31,2016-03-31,-4.78,,
2016-06-30,2016-06-30,-5.03,,
2016-09-30,2016-09-30,-3.5,,
2016-12-31,2016-12-31,0.46,,
2017-03-31,2017-03-31,-4.95,,
2017-06-30,2017-06-30,0.35,,
2017-09-30,2017-09-30,-2.46,,
2017-12-31,2017-12-31,-2.92,,
2018-03-31,2018-03-31,-6.6,,
2018-06-30,2018-06-30,-5.81,,
2018-09-30,2018-09-30,-4.8,,
2018-12-31,2018-12-31,-2.48,,
2019-03-31,2019-03-31,1.3,,
2019-06-30,2019-06-30,-7.97,,
2019-09-30,2019-09-30,-3.01,,
2019-12-31,2019-12-31,1.74,,
2020-03-31,2020-03-31,-2.96,,
2020-06-30,2020-06-30,7.49,,
2020-09-30,2020-09-30,14.29,,
2020-12-31,2020-12-31,3.04,,
2021-03-31,2021-03-31,5.81,,
2021-06-30,2021-06-30,2.52,,
2021-09-30,2021-09-30,-2.24,,
2021-12-31,2021-12-31,-6.48,,
2022-03-31,2022-03-31,-5.84,,
2022-06-30,2022-06-30,6.54,,
2022-09-30,2022-09-30,13.24,,
2022-12-31,2022-12-31,19.69,,
2023-03-31,2023-03-31,14.8,,
2023-06-30,2023-06-30,12.44,,
2023-09-30,2023-09-30,2.01,,
2023-12-31,2023-12-31,11.71,,
2024-03-31,2024-03-31,10.79,,
2024-06-30,2024-06-30,-0.19,,
2024-09-30,2024-09-30,1.22,,
2024-12-31,2024-12-31,3.32,,
2025-03-31,2025-03-31,7.41,,
