Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,7.83,,
2003-09-30,2003-09-30,13.93,,
2003-12-31,2003-12-31,12.96,,
2004-03-31,2004-03-31,24.77,,
2004-06-30,2004-06-30,8.65,,
2004-09-30,2004-09-30,10.04,,
2004-12-31,2004-12-31,6.9,,
2005-03-31,2005-03-31,6.52,,
2005-06-30,2005-06-30,-2.59,,
2005-09-30,2005-09-30,-2.63,,
2005-12-31,2005-12-31,-3.74,,
2006-03-31,2006-03-31,0.08,,
2006-06-30,2006-06-30,2.55,,
2006-09-30,2006-09-30,1.25,,
2006-12-31,2006-12-31,-2.42,,
2007-03-31,2007-03-31,-2.3,,
2007-06-30,2007-06-30,3.38,,
2007-09-30,2007-09-30,-1.67,,
2007-12-31,2007-12-31,15.84,,
2008-03-31,2008-03-31,14.75,,
2008-06-30,2008-06-30,29.02,,
2008-09-30,2008-09-30,28.14,,
2008-12-31,2008-12-31,43.47,,
2009-03-31,2009-03-31,24.67,,
2009-06-30,2009-06-30,19.38,,
2009-09-30,2009-09-30,12.24,,
2009-12-31,2009-12-31,4.75,,
2010-03-31,2010-03-31,1.79,,
2010-06-30,2010-06-30,1.94,,
2010-09-30,2010-09-30,3.02,,
2010-12-31,2010-12-31,-0.88,,
2011-03-31,2011-03-31,3.77,,
2011-06-30,2011-06-30,9.6,,
2011-09-30,2011-09-30,8.89,,
2011-12-31,2011-12-31,10.99,,
2012-03-31,2012-03-31,24.0,,
2012-06-30,2012-06-30,6.93,,
2012-09-30,2012-09-30,5.26,,
2012-12-31,2012-12-31,8.57,,
2013-03-31,2013-03-31,9.17,,
2013-06-30,2013-06-30,10.06,,
2013-09-30,2013-09-30,4.18,,
2013-12-31,2013-12-31,-0.5,,
2014-03-31,2014-03-31,-4.19,,
2014-06-30,2014-06-30,1.03,,
2014-09-30,2014-09-30,0.16,,
2014-12-31,2014-12-31,-2.28,,
2015-03-31,2015-03-31,-0.3,,
2015-06-30,2015-06-30,4.27,,
2015-09-30,2015-09-30,4.92,,
2015-12-31,2015-12-31,0.87,,
2016-03-31,2016-03-31,-0.92,,
2016-06-30,2016-06-30,7.11,,
2016-09-30,2016-09-30,-3.76,,
2016-12-31,2016-12-31,-2.28,,
2017-03-31,2017-03-31,-8.62,,
2017-06-30,2017-06-30,-1.34,,
2017-09-30,2017-09-30,-6.38,,
2017-12-31,2017-12-31,-2.95,,
2018-03-31,2018-03-31,-5.61,,
2018-06-30,2018-06-30,-10.72,,
2018-09-30,2018-09-30,-9.29,,
2018-12-31,2018-12-31,-6.2,,
2019-03-31,2019-03-31,1.83,,
2019-06-30,2019-06-30,4.0,,
2019-09-30,2019-09-30,1.81,,
2019-12-31,2019-12-31,3.05,,
2020-03-31,2020-03-31,6.28,,
2020-06-30,2020-06-30,16.15,,
2020-09-30,2020-09-30,18.51,,
2020-12-31,2020-12-31,9.09,,
2021-03-31,2021-03-31,6.36,,
2021-06-30,2021-06-30,3.97,,
2021-09-30,2021-09-30,3.13,,
2021-12-31,2021-12-31,1.49,,
2022-03-31,2022-03-31,2.64,,
2022-06-30,2022-06-30,8.1,,
2022-09-30,2022-09-30,23.65,,
2022-12-31,2022-12-31,32.29,,
2023-03-31,2023-03-31,15.75,,
2023-06-30,2023-06-30,6.48,,
2023-09-30,2023-09-30,0.48,,
2023-12-31,2023-12-31,1.18,,
2024-03-31,2024-03-31,8.31,,
2024-06-30,2024-06-30,0.21,,
2024-09-30,2024-09-30,-0.6,,
2024-12-31,2024-12-31,-11.94,,
2025-03-31,2025-03-31,2.12,,
