Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-4.77,,
2003-09-30,2003-09-30,4.95,,
2003-12-31,2003-12-31,-9.32,,
2004-03-31,2004-03-31,-13.39,,
2004-06-30,2004-06-30,5.35,,
2004-09-30,2004-09-30,2.72,,
2004-12-31,2004-12-31,5.93,,
2005-03-31,2005-03-31,-4.28,,
2005-06-30,2005-06-30,-1.88,,
2005-09-30,2005-09-30,1.61,,
2005-12-31,2005-12-31,25.56,,
2006-03-31,2006-03-31,19.76,,
2006-06-30,2006-06-30,17.67,,
2006-09-30,2006-09-30,26.89,,
2006-12-31,2006-12-31,21.49,,
2007-03-31,2007-03-31,11.71,,
2007-06-30,2007-06-30,16.92,,
2007-09-30,2007-09-30,7.26,,
2007-12-31,2007-12-31,1.92,,
2008-03-31,2008-03-31,-10.74,,
2008-06-30,2008-06-30,-14.99,,
2008-09-30,2008-09-30,-20.86,,
2008-12-31,2008-12-31,-16.34,,
2009-03-31,2009-03-31,-48.96,,
2009-06-30,2009-06-30,-27.76,,
2009-09-30,2009-09-30,-24.71,,
2009-12-31,2009-12-31,-6.38,,
2010-03-31,2010-03-31,-11.51,,
2010-06-30,2010-06-30,-10.9,,
2010-09-30,2010-09-30,0.62,,
2010-12-31,2010-12-31,-5.27,,
2011-03-31,2011-03-31,-3.83,,
2011-06-30,2011-06-30,-5.31,,
2011-09-30,2011-09-30,-12.67,,
2011-12-31,2011-12-31,-12.43,,
2012-03-31,2012-03-31,-17.38,,
2012-06-30,2012-06-30,-32.1,,
2012-09-30,2012-09-30,-30.22,,
2012-12-31,2012-12-31,-24.79,,
2013-03-31,2013-03-31,-17.17,,
2013-06-30,2013-06-30,-22.82,,
2013-09-30,2013-09-30,-7.05,,
2013-12-31,2013-12-31,-1.37,,
2014-03-31,2014-03-31,-1.06,,
2014-06-30,2014-06-30,3.87,,
2014-09-30,2014-09-30,16.72,,
2014-12-31,2014-12-31,10.66,,
2015-03-31,2015-03-31,14.49,,
2015-06-30,2015-06-30,12.79,,
2015-09-30,2015-09-30,41.1,,
2015-12-31,2015-12-31,19.17,,
2016-03-31,2016-03-31,21.26,,
2016-06-30,2016-06-30,16.0,,
2016-09-30,2016-09-30,20.55,,
2016-12-31,2016-12-31,32.5,,
2017-03-31,2017-03-31,14.54,,
2017-06-30,2017-06-30,14.6,,
2017-09-30,2017-09-30,11.12,,
2017-12-31,2017-12-31,16.87,,
2018-03-31,2018-03-31,11.09,,
2018-06-30,2018-06-30,14.03,,
2018-09-30,2018-09-30,24.73,,
2018-12-31,2018-12-31,21.66,,
2019-03-31,2019-03-31,2.0,,
2019-06-30,2019-06-30,5.0,,
2019-09-30,2019-09-30,4.5,,
2019-12-31,2019-12-31,7.96,,
2020-03-31,2020-03-31,9.89,,
2020-06-30,2020-06-30,-4.48,,
2020-09-30,2020-09-30,-75.54,,
2020-12-31,2020-12-31,2.85,,
2021-03-31,2021-03-31,-8.84,,
2021-06-30,2021-06-30,-24.38,,
2021-09-30,2021-09-30,10.56,,
2021-12-31,2021-12-31,6.89,,
2022-03-31,2022-03-31,2.15,,
2022-06-30,2022-06-30,10.88,,
2022-09-30,2022-09-30,10.9,,
2022-12-31,2022-12-31,-10.61,,
2023-03-31,2023-03-31,-28.92,,
2023-06-30,2023-06-30,-19.22,,
2023-09-30,2023-09-30,-11.86,,
2023-12-31,2023-12-31,-12.39,,
2024-03-31,2024-03-31,-7.19,,
2024-06-30,2024-06-30,1.34,,
2024-09-30,2024-09-30,12.9,,
2024-12-31,2024-12-31,8.03,,
2025-03-31,2025-03-31,2.37,,
