Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,24.26,,
2003-09-30,2003-09-30,35.17,,
2003-12-31,2003-12-31,35.98,,
2004-03-31,2004-03-31,25.56,,
2004-06-30,2004-06-30,0.61,,
2004-09-30,2004-09-30,21.32,,
2004-12-31,2004-12-31,-3.36,,
2005-03-31,2005-03-31,7.87,,
2005-06-30,2005-06-30,-1.93,,
2005-09-30,2005-09-30,29.37,,
2005-12-31,2005-12-31,33.72,,
2006-03-31,2006-03-31,48.08,,
2006-06-30,2006-06-30,19.35,,
2006-09-30,2006-09-30,7.76,,
2006-12-31,2006-12-31,-8.56,,
2007-03-31,2007-03-31,-9.36,,
2007-06-30,2007-06-30,-27.1,,
2007-09-30,2007-09-30,-22.88,,
2007-12-31,2007-12-31,-22.61,,
2008-03-31,2008-03-31,-39.56,,
2008-06-30,2008-06-30,-58.16,,
2008-09-30,2008-09-30,-58.77,,
2008-12-31,2008-12-31,-66.84,,
2009-03-31,2009-03-31,-67.16,,
2009-06-30,2009-06-30,-33.46,,
2009-09-30,2009-09-30,-1.39,,
2009-12-31,2009-12-31,11.7,,
2010-03-31,2010-03-31,20.79,,
2010-06-30,2010-06-30,0.71,,
2010-09-30,2010-09-30,29.34,,
2010-12-31,2010-12-31,14.15,,
2011-03-31,2011-03-31,25.54,,
2011-06-30,2011-06-30,-6.28,,
2011-09-30,2011-09-30,-2.31,,
2011-12-31,2011-12-31,-22.75,,
2012-03-31,2012-03-31,-27.74,,
2012-06-30,2012-06-30,-45.65,,
2012-09-30,2012-09-30,-25.83,,
2012-12-31,2012-12-31,-28.1,,
2013-03-31,2013-03-31,-9.46,,
2013-06-30,2013-06-30,-22.74,,
2013-09-30,2013-09-30,-3.42,,
2013-12-31,2013-12-31,5.36,,
2014-03-31,2014-03-31,-3.2,,
2014-06-30,2014-06-30,16.18,,
2014-09-30,2014-09-30,20.82,,
2014-12-31,2014-12-31,25.78,,
2015-03-31,2015-03-31,24.47,,
2015-06-30,2015-06-30,29.77,,
2015-09-30,2015-09-30,48.67,,
2015-12-31,2015-12-31,34.01,,
2016-03-31,2016-03-31,28.84,,
2016-06-30,2016-06-30,32.41,,
2016-09-30,2016-09-30,30.35,,
2016-12-31,2016-12-31,23.19,,
2017-03-31,2017-03-31,35.8,,
2017-06-30,2017-06-30,23.55,,
2017-09-30,2017-09-30,18.91,,
2017-12-31,2017-12-31,11.71,,
2018-03-31,2018-03-31,7.65,,
2018-06-30,2018-06-30,5.06,,
2018-09-30,2018-09-30,23.36,,
2018-12-31,2018-12-31,5.49,,
2019-03-31,2019-03-31,14.0,,
2019-06-30,2019-06-30,26.0,,
2019-09-30,2019-09-30,25.63,,
2019-12-31,2019-12-31,15.29,,
2020-03-31,2020-03-31,25.23,,
2020-06-30,2020-06-30,11.77,,
2020-09-30,2020-09-30,-60.69,,
2020-12-31,2020-12-31,30.67,,
2021-03-31,2021-03-31,16.48,,
2021-06-30,2021-06-30,-6.67,,
2021-09-30,2021-09-30,35.71,,
2021-12-31,2021-12-31,10.84,,
2022-03-31,2022-03-31,8.49,,
2022-06-30,2022-06-30,9.9,,
2022-09-30,2022-09-30,-9.64,,
2022-12-31,2022-12-31,-42.3,,
2023-03-31,2023-03-31,-74.18,,
2023-06-30,2023-06-30,-72.45,,
2023-09-30,2023-09-30,-46.54,,
2023-12-31,2023-12-31,-45.42,,
2024-03-31,2024-03-31,-26.48,,
2024-06-30,2024-06-30,-3.29,,
2024-09-30,2024-09-30,15.97,,
2024-12-31,2024-12-31,39.29,,
2025-03-31,2025-03-31,41.57,,
