Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,16.86,,
2003-09-30,2003-09-30,10.37,,
2003-12-31,2003-12-31,18.41,,
2004-03-31,2004-03-31,3.46,,
2004-06-30,2004-06-30,4.38,,
2004-09-30,2004-09-30,2.83,,
2004-12-31,2004-12-31,0.62,,
2005-03-31,2005-03-31,1.65,,
2005-06-30,2005-06-30,-8.45,,
2005-09-30,2005-09-30,0.67,,
2005-12-31,2005-12-31,-1.27,,
2006-03-31,2006-03-31,3.46,,
2006-06-30,2006-06-30,-4.62,,
2006-09-30,2006-09-30,-6.33,,
2006-12-31,2006-12-31,-4.87,,
2007-03-31,2007-03-31,-8.38,,
2007-06-30,2007-06-30,-4.38,,
2007-09-30,2007-09-30,-0.87,,
2007-12-31,2007-12-31,-1.34,,
2008-03-31,2008-03-31,9.85,,
2008-06-30,2008-06-30,20.92,,
2008-09-30,2008-09-30,25.42,,
2008-12-31,2008-12-31,32.05,,
2009-03-31,2009-03-31,41.17,,
2009-06-30,2009-06-30,25.64,,
2009-09-30,2009-09-30,18.99,,
2009-12-31,2009-12-31,12.19,,
2010-03-31,2010-03-31,9.18,,
2010-06-30,2010-06-30,11.17,,
2010-09-30,2010-09-30,10.85,,
2010-12-31,2010-12-31,2.19,,
2011-03-31,2011-03-31,3.48,,
2011-06-30,2011-06-30,7.47,,
2011-09-30,2011-09-30,6.17,,
2011-12-31,2011-12-31,8.32,,
2012-03-31,2012-03-31,11.89,,
2012-06-30,2012-06-30,4.06,,
2012-09-30,2012-09-30,6.27,,
2012-12-31,2012-12-31,2.04,,
2013-03-31,2013-03-31,8.42,,
2013-06-30,2013-06-30,9.55,,
2013-09-30,2013-09-30,-1.41,,
2013-12-31,2013-12-31,1.07,,
2014-03-31,2014-03-31,0.66,,
2014-06-30,2014-06-30,-2.29,,
2014-09-30,2014-09-30,-1.95,,
2014-12-31,2014-12-31,-6.96,,
2015-03-31,2015-03-31,-3.01,,
2015-06-30,2015-06-30,-4.6,,
2015-09-30,2015-09-30,-4.39,,
2015-12-31,2015-12-31,-2.7,,
2016-03-31,2016-03-31,0.7,,
2016-06-30,2016-06-30,-3.0,,
2016-09-30,2016-09-30,-5.13,,
2016-12-31,2016-12-31,-3.86,,
2017-03-31,2017-03-31,-3.26,,
2017-06-30,2017-06-30,-6.73,,
2017-09-30,2017-09-30,1.07,,
2017-12-31,2017-12-31,-3.87,,
2018-03-31,2018-03-31,-0.71,,
2018-06-30,2018-06-30,-3.35,,
2018-09-30,2018-09-30,-3.39,,
2018-12-31,2018-12-31,1.33,,
2019-03-31,2019-03-31,2.0,,
2019-06-30,2019-06-30,4.0,,
2019-09-30,2019-09-30,3.79,,
2019-12-31,2019-12-31,3.01,,
2020-03-31,2020-03-31,3.26,,
2020-06-30,2020-06-30,9.61,,
2020-09-30,2020-09-30,25.76,,
2020-12-31,2020-12-31,9.14,,
2021-03-31,2021-03-31,2.79,,
2021-06-30,2021-06-30,4.51,,
2021-09-30,2021-09-30,0.16,,
2021-12-31,2021-12-31,-1.21,,
2022-03-31,2022-03-31,-4.04,,
2022-06-30,2022-06-30,-5.25,,
2022-09-30,2022-09-30,9.38,,
2022-12-31,2022-12-31,21.3,,
2023-03-31,2023-03-31,17.3,,
2023-06-30,2023-06-30,9.68,,
2023-09-30,2023-09-30,18.09,,
2023-12-31,2023-12-31,16.48,,
2024-03-31,2024-03-31,11.38,,
2024-06-30,2024-06-30,8.74,,
2024-09-30,2024-09-30,5.81,,
2024-12-31,2024-12-31,6.32,,
2025-03-31,2025-03-31,5.88,,
