Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,13.85,,
2003-09-30,2003-09-30,3.06,,
2003-12-31,2003-12-31,10.94,,
2004-03-31,2004-03-31,11.08,,
2004-06-30,2004-06-30,11.3,,
2004-09-30,2004-09-30,-1.71,,
2004-12-31,2004-12-31,-2.81,,
2005-03-31,2005-03-31,-0.59,,
2005-06-30,2005-06-30,-7.28,,
2005-09-30,2005-09-30,1.13,,
2005-12-31,2005-12-31,-8.29,,
2006-03-31,2006-03-31,3.97,,
2006-06-30,2006-06-30,-9.67,,
2006-09-30,2006-09-30,-3.57,,
2006-12-31,2006-12-31,-1.69,,
2007-03-31,2007-03-31,-6.19,,
2007-06-30,2007-06-30,-1.55,,
2007-09-30,2007-09-30,0.16,,
2007-12-31,2007-12-31,12.02,,
2008-03-31,2008-03-31,21.14,,
2008-06-30,2008-06-30,29.95,,
2008-09-30,2008-09-30,32.84,,
2008-12-31,2008-12-31,33.95,,
2009-03-31,2009-03-31,38.63,,
2009-06-30,2009-06-30,26.79,,
2009-09-30,2009-09-30,21.52,,
2009-12-31,2009-12-31,12.96,,
2010-03-31,2010-03-31,4.64,,
2010-06-30,2010-06-30,8.93,,
2010-09-30,2010-09-30,8.84,,
2010-12-31,2010-12-31,-0.49,,
2011-03-31,2011-03-31,6.99,,
2011-06-30,2011-06-30,15.49,,
2011-09-30,2011-09-30,7.8,,
2011-12-31,2011-12-31,20.46,,
2012-03-31,2012-03-31,27.55,,
2012-06-30,2012-06-30,15.07,,
2012-09-30,2012-09-30,14.71,,
2012-12-31,2012-12-31,12.16,,
2013-03-31,2013-03-31,17.37,,
2013-06-30,2013-06-30,16.99,,
2013-09-30,2013-09-30,7.43,,
2013-12-31,2013-12-31,1.32,,
2014-03-31,2014-03-31,-1.51,,
2014-06-30,2014-06-30,-4.11,,
2014-09-30,2014-09-30,-3.56,,
2014-12-31,2014-12-31,-2.19,,
2015-03-31,2015-03-31,-4.06,,
2015-06-30,2015-06-30,2.22,,
2015-09-30,2015-09-30,-8.78,,
2015-12-31,2015-12-31,4.8,,
2016-03-31,2016-03-31,-6.73,,
2016-06-30,2016-06-30,4.02,,
2016-09-30,2016-09-30,-1.63,,
2016-12-31,2016-12-31,-3.86,,
2017-03-31,2017-03-31,1.02,,
2017-06-30,2017-06-30,-5.44,,
2017-09-30,2017-09-30,-3.93,,
2017-12-31,2017-12-31,-11.02,,
2018-03-31,2018-03-31,-6.22,,
2018-06-30,2018-06-30,-11.43,,
2018-09-30,2018-09-30,-7.93,,
2018-12-31,2018-12-31,-1.56,,
2019-03-31,2019-03-31,-0.52,,
2019-06-30,2019-06-30,2.65,,
2019-09-30,2019-09-30,-0.83,,
2019-12-31,2019-12-31,-1.99,,
2020-03-31,2020-03-31,1.08,,
2020-06-30,2020-06-30,9.47,,
2020-09-30,2020-09-30,21.82,,
2020-12-31,2020-12-31,20.04,,
2021-03-31,2021-03-31,7.03,,
2021-06-30,2021-06-30,-1.94,,
2021-09-30,2021-09-30,-0.94,,
2021-12-31,2021-12-31,7.98,,
2022-03-31,2022-03-31,-0.23,,
2022-06-30,2022-06-30,1.8,,
2022-09-30,2022-09-30,23.7,,
2022-12-31,2022-12-31,32.23,,
2023-03-31,2023-03-31,20.95,,
2023-06-30,2023-06-30,19.39,,
2023-09-30,2023-09-30,8.44,,
2023-12-31,2023-12-31,11.23,,
2024-03-31,2024-03-31,1.92,,
2024-06-30,2024-06-30,-6.03,,
2024-09-30,2024-09-30,-5.87,,
2024-12-31,2024-12-31,-3.47,,
2025-03-31,2025-03-31,1.0,,
