Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-04,-0.1,-0.1,-0.08
2003-07-31,2003-09-02,0.0,0.2,0.22
2003-08-31,2003-10-02,0.2,0.2,0.18
2003-09-30,2003-10-31,0.0,0.0,-0.02
2003-10-31,2003-12-02,0.1,0.0,0.03
2003-11-30,2004-01-08,0.1,0.0,0.01
2003-12-31,2004-02-03,-0.1,0.0,-0.01
2004-01-31,2004-03-03,0.2,0.05,0.04
2004-02-29,2004-04-02,0.1,0.2,0.22
2004-03-31,2004-05-04,0.6,0.6,0.55
2004-04-30,2004-06-02,0.4,0.4,0.43
2004-05-31,2004-07-02,0.6,0.5,0.44
2004-06-30,2004-08-03,0.0,0.0,0.0
2004-07-31,2004-09-02,0.4,0.4,0.38
2004-08-31,2004-10-04,0.4,0.4,0.38
2004-09-30,2004-11-04,0.2,0.2,0.2
2004-10-31,2004-12-02,0.7,0.7,0.62
2004-11-30,2005-01-06,-0.2,-0.3,-0.26
2004-12-31,2005-02-02,-0.2,-0.1,-0.08
2005-01-31,2005-03-02,0.6,0.5,0.52
2005-02-28,2005-04-04,0.4,0.4,0.38
2005-03-31,2005-05-03,0.6,0.6,0.61
2005-04-30,2005-06-02,0.4,0.5,0.48
2005-05-31,2005-07-04,-0.2,-0.1,-0.09
2005-06-30,2005-08-02,0.5,0.5,0.42
2005-07-31,2005-09-02,0.5,0.5,0.46
2005-08-31,2005-10-04,0.4,0.4,0.4
2005-09-30,2005-11-04,0.5,0.5,0.46
2005-10-31,2005-12-02,0.6,0.4,0.4
2005-11-30,2006-01-05,-0.2,-0.2,-0.17
2005-12-31,2006-02-02,0.2,0.2,0.13
2006-01-31,2006-03-02,1.2,0.8,0.8
2006-02-28,2006-04-04,0.5,0.5,0.49
2006-03-31,2006-05-03,0.4,0.5,0.47
2006-04-30,2006-06-02,0.8,0.7,0.7
2006-05-31,2006-07-04,0.3,0.3,0.33
2006-06-30,2006-08-02,0.2,0.2,0.23
2006-07-31,2006-09-04,0.6,0.5,0.55
2006-08-31,2006-10-03,0.1,0.2,0.21
2006-09-30,2006-11-06,-0.5,-0.5,-0.45
2006-10-31,2006-12-04,0.0,0.1,0.11
2006-11-30,2007-01-05,0.0,0.1,0.07
2006-12-31,2007-02-02,0.0,0.0,0.03
2007-01-31,2007-03-02,0.1,0.2,0.18
2007-02-28,2007-04-03,0.3,0.3,0.31
2007-03-31,2007-05-03,0.3,0.3,0.34
2007-04-30,2007-06-04,0.4,0.3,0.31
2007-05-31,2007-07-03,0.3,0.3,0.3
2007-06-30,2007-08-02,0.1,0.25,0.27
2007-07-31,2007-09-04,0.3,0.1,0.14
2007-08-31,2007-10-02,0.1,0.1,0.13
2007-09-30,2007-11-06,0.4,0.3,0.36
2007-10-31,2007-12-04,0.6,0.4,0.41
2007-11-30,2008-01-07,0.8,0.8,0.73
2007-12-31,2008-02-04,0.1,0.1,0.09
2008-01-31,2008-03-04,0.8,0.8,0.72
2008-02-29,2008-04-02,0.6,0.6,0.56
2008-03-31,2008-05-06,0.7,0.7,0.65
2008-04-30,2008-06-03,0.8,0.8,0.76
2008-05-31,2008-07-02,1.2,0.9,0.89
2008-06-30,2008-08-04,0.9,0.8,0.81
2008-07-31,2008-09-02,1.1,1.2,1.19
2008-08-31,2008-10-02,-0.5,-0.5,-0.38
2008-09-30,2008-11-04,-0.2,-0.1,-0.13
2008-10-31,2008-12-02,-0.8,-0.3,-0.32
2008-11-30,2009-01-07,-1.9,-0.95,-1.12
2008-12-31,2009-02-03,-1.3,-1.15,-1.15
2009-01-31,2009-03-12,-0.8,-0.2,-0.3
2009-02-28,2009-04-06,-0.5,-0.5,-0.44
2009-03-31,2009-05-05,-0.7,-0.55,-0.63
2009-04-30,2009-06-03,-1.0,-0.8,-0.86
2009-05-31,2009-07-02,-0.2,0.1,0.07
2009-06-30,2009-08-04,0.3,0.2,0.13
2009-07-31,2009-09-02,-0.8,-0.6,-0.59
2009-08-31,2009-10-02,0.4,0.4,0.38
2009-09-30,2009-11-04,-0.4,-0.4,-0.39
2009-10-31,2009-12-02,0.2,0.0,-0.01
2009-11-30,2010-01-06,0.1,0.2,0.16
2009-12-31,2010-02-02,0.1,0.0,-0.01
2010-01-31,2010-03-02,0.7,0.6,0.59
2010-02-28,2010-04-07,0.1,0.15,0.19
2010-03-31,2010-05-04,0.6,0.7,0.68
2010-04-30,2010-06-02,0.9,0.7,0.68
2010-05-31,2010-07-02,0.3,0.3,0.18
2010-06-30,2010-08-03,0.3,0.4,0.38
2010-07-31,2010-09-02,0.2,0.3,0.25
2010-08-31,2010-10-04,0.1,0.2,0.17
2010-09-30,2010-11-04,0.3,0.3,0.31
