Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-08-31,2007-08-06,26.3,,
2007-09-30,2007-09-10,18.1,18.6,12.6714
2007-10-31,2007-10-08,15.3,14.0,13.1571
2007-11-30,2007-11-05,14.0,12.4,12.9429
2007-12-31,2007-12-10,11.9,12.3,11.74
2008-01-31,2008-01-07,8.2,10.5,10.4
2008-02-29,2008-02-04,4.3,5.7,4.675
2008-03-31,2008-03-10,0.4,2.7,2.0667
2008-04-30,2008-04-07,4.1,0.2,-0.8714
2008-05-31,2008-05-05,3.5,3.935,2.8867
2008-06-30,2008-06-09,5.2,3.0,2.6222
2008-07-31,2008-07-07,-9.3,2.5,-0.0556
2008-08-31,2008-08-04,-15.3,-10.0,-10.1333
2008-09-30,2008-09-08,-20.2,-18.25,-17.8375
2008-10-31,2008-10-06,-27.8,-27.25,-27.3
2008-11-30,2008-11-10,-36.4,-33.0,-38.4857
2008-12-31,2008-12-08,-42.3,-40.0,-40.4875
2009-01-31,2009-01-05,-34.4,,
2009-02-28,2009-02-09,-36.1,-31.45,-32.1667
2009-03-31,2009-03-09,-42.7,-38.0,-38.2375
2009-04-30,2009-04-06,-35.3,-40.7,-39.84
2009-05-31,2009-05-04,-34.3,-28.0,-18.8143
2009-06-30,2009-06-08,-27.0,-31.0,-32.8667
2009-07-31,2009-07-06,-31.3,-25.0,-24.2429
2009-08-31,2009-08-10,-17.0,-25.8,-25.58
2009-09-30,2009-09-07,-14.6,-13.7,-12.1571
2009-10-31,2009-10-05,-12.6,-11.8,-11.7625
2009-11-30,2009-11-09,-7.0,-12.0,-11.5444
2009-12-31,2010-01-04,,,
2010-02-28,2010-02-08,-8.2,-2.65,-3.3
2010-03-31,2010-03-08,-7.5,-8.8,-8.6625
2010-04-30,2010-04-06,2.5,-5.2,-4.725
2010-05-31,2010-05-10,-6.4,-1.0,-0.7875
2010-06-30,2010-06-07,-4.1,-7.0,-7.9333
2010-07-31,2010-07-05,-1.3,-5.0,-4.9857
2010-08-31,2010-08-09,8.5,1.6,2.65
2010-09-30,2010-09-06,7.6,9.0,8.925
2010-10-31,2010-10-04,8.8,8.0,7.5111
2010-11-30,2010-11-08,14.0,10.0,10.58
2010-12-31,,,11.0,10.1167
2011-01-31,2011-01-10,10.6,11.75,11.15
2011-02-28,2011-02-07,16.7,14.0,14.0111
2011-03-31,2011-03-07,17.1,17.2,16.1
2011-04-30,2011-04-04,14.2,16.0,14.6333
2011-05-31,2011-05-09,10.9,13.8,13.675
2011-06-30,2011-06-06,3.5,8.55,8.7125
2011-07-31,2011-07-04,5.3,0.6,1.2
2011-08-31,2011-08-08,-13.5,3.4,2.95
2011-09-30,2011-09-05,-15.4,-17.7,-18.91
2011-10-31,2011-10-10,-18.5,-18.0,-18.9889
2011-11-30,2011-11-07,-21.2,-20.0,-20.75
2011-12-31,2011-12-05,-24.0,-21.0,-21.6
2012-01-31,2012-01-09,-21.1,,
2012-02-29,2012-02-06,-11.1,-15.0,-15.5857
2012-03-31,2012-03-05,-8.2,-5.0,-5.15
2012-04-30,2012-04-10,-14.7,-9.1,-8.8125
2012-05-31,2012-05-07,-24.5,-15.3,-15.9222
2012-06-30,2012-06-04,-28.9,-30.0,-30.95
2012-07-31,2012-07-09,-29.6,-26.6,-26.3778
2012-08-31,2012-08-06,-30.3,-31.0,-30.1571
2012-09-30,2012-09-10,-23.2,-30.5,-29.5364
2012-10-31,2012-10-08,-22.2,-20.9,-21.17
2012-11-30,2012-11-05,-18.8,-21.0,-20.6455
2012-12-31,2012-12-10,-16.8,-16.9,-16.625
2013-01-31,2013-01-07,-7.0,-14.15,-14.0583
2013-02-28,2013-02-04,-3.9,-1.7,-1.9375
2013-03-31,2013-03-04,-10.6,-4.25,-4.6625
2013-04-30,2013-04-08,-17.3,-12.8,-12.25
2013-05-31,2013-05-06,-15.6,-15.2,-15.685
2013-06-30,2013-06-10,-11.6,-11.25,-11.5125
2013-07-31,2013-07-08,-12.6,-11.35,-11.1944
2013-08-31,2013-08-05,-4.9,-10.0,-9.6588
2013-09-30,2013-09-09,6.5,-3.5,-3.3882
2013-10-31,2013-10-07,6.1,8.5,8.7813
2013-11-30,2013-11-04,9.3,6.15,6.6813
2013-12-31,2013-12-09,8.0,10.0,10.3533
2014-01-31,2014-01-06,11.9,9.5,9.2583
2014-02-28,2014-02-10,13.3,10.1,10.3938
2014-03-31,2014-03-10,13.9,14.0,13.6
2014-04-30,2014-04-07,14.1,13.9,14.2088
2014-05-31,2014-05-05,12.8,14.3,14.3882
2014-06-30,2014-06-09,8.5,13.275,13.4036
2014-07-31,2014-07-07,10.1,7.75,7.5417
2014-08-31,2014-08-04,2.7,9.0,8.9333
2014-09-30,2014-09-08,-9.8,1.35,1.2357
2014-10-31,2014-10-06,-13.7,-11.0,-10.2714
2014-11-30,2014-11-10,-11.9,-13.8,-13.6111
2014-12-31,2014-12-08,-2.5,-9.0,-8.6067
2015-01-31,2015-01-05,0.9,-1.0,-1.0444
2015-02-28,2015-02-09,12.4,3.0,3.0
2015-03-31,2015-03-09,18.6,15.0,14.9529
2015-04-30,2015-04-07,20.0,20.75,21.0
2015-05-31,2015-05-04,19.6,19.1,19.2533
2015-06-30,2015-06-08,17.1,18.7,18.3267
2015-07-31,2015-07-06,18.5,15.0,14.9308
2015-08-31,2015-08-10,18.4,20.25,20.0417
2015-09-30,2015-09-07,13.6,16.0,15.5807
2015-10-31,2015-10-05,11.7,11.8,11.86
2015-11-30,2015-11-09,15.1,13.1,13.2455
2015-12-31,2015-12-07,15.7,17.0,17.0929
2016-01-31,2016-01-11,9.6,11.4,11.8167
2016-02-29,2016-02-08,6.0,7.4,6.1333
2016-03-31,2016-03-07,5.5,8.325,7.7792
2016-04-30,2016-04-04,5.7,7.0,7.3083
2016-05-31,2016-05-09,6.2,6.0,6.0846
2016-06-30,2016-06-06,9.9,7.0,7.0438
2016-07-31,2016-07-04,1.7,5.0,4.3231
2016-08-31,2016-08-08,4.2,3.0,2.7
2016-09-30,2016-09-05,5.6,5.0,5.4846
2016-10-31,2016-10-10,8.5,6.0,5.9188
2016-11-30,2016-11-07,13.1,8.6,8.6765
2016-12-31,2016-12-05,10.0,14.25,13.6833
2017-01-31,2017-01-09,18.2,12.75,12.5563
2017-02-28,2017-02-06,17.4,16.8,16.6667
2017-03-31,2017-03-06,20.7,18.5,18.2895
2017-04-30,2017-04-10,23.9,21.0,20.9125
2017-05-31,2017-05-08,27.4,25.2,25.4067
2017-06-30,2017-06-06,28.4,27.4,27.0111
2017-07-31,2017-07-10,28.3,28.05,27.9063
2017-08-31,2017-08-07,27.7,27.55,27.675
2017-09-30,2017-09-04,28.2,27.0,26.6
2017-10-31,2017-10-09,29.7,28.5,28.8067
2017-11-30,2017-11-06,34.0,31.0,30.8583
2017-12-31,2017-12-04,31.1,33.4,32.6462
2018-01-31,2018-01-08,32.9,31.25,31.0667
2018-02-28,2018-02-05,31.9,33.15,33.1786
2018-03-31,2018-03-05,24.0,30.9,30.15
2018-04-30,2018-04-09,19.6,20.75,20.9571
2018-05-31,2018-05-07,19.2,21.0,21.2733
2018-06-30,2018-06-04,9.3,18.5,16.5294
2018-07-31,2018-07-09,12.1,8.75,9.4429
2018-08-31,2018-08-06,14.7,13.0,13.3182
2018-09-30,2018-09-10,12.0,14.25,13.1857
2018-10-31,2018-10-08,11.4,11.58,11.0257
2018-11-30,2018-11-05,8.8,9.8,9.1556
2018-12-31,2018-12-10,-0.3,8.3,8.1
2019-01-31,2019-01-07,-1.5,-2.3,-2.175
2019-02-28,2019-02-04,-3.7,-1.25,-1.25
2019-03-31,2019-03-04,-2.2,-3.1,-2.6
2019-04-30,2019-04-08,-0.3,-2.0,-1.5385
2019-05-31,2019-05-06,5.3,1.1,1.46
2019-06-30,2019-06-11,-3.3,2.45,2.1917
2019-07-31,2019-07-08,-5.8,0.0,-0.9818
2019-08-31,2019-08-05,-13.7,-7.0,-6.8444
2019-09-30,2019-09-09,-11.1,-13.7,-13.1818
2019-10-31,2019-10-07,-16.8,-13.0,-12.7667
2019-11-30,2019-11-04,-4.5,-13.8,-13.86
2019-12-31,2019-12-09,0.7,-5.0,-5.0
2020-01-31,2020-01-06,7.6,2.1,2.3909
2020-02-29,2020-02-10,5.2,5.7,5.0556
2020-03-31,2020-03-09,-17.1,-11.35,-10.65
2020-04-30,2020-04-06,-42.9,-37.5,-36.0154
2020-05-31,2020-05-04,-41.8,-28.0,-28.44
2020-06-30,2020-06-08,-24.8,-22.0,-20.3538
2020-07-31,2020-07-06,-18.2,-10.35,-10.8917
2020-08-31,2020-08-10,-13.4,-16.0,-15.9417
2020-09-30,2020-09-07,-8.0,-10.5,-10.6182
2020-10-31,2020-10-05,-8.3,-9.3,-10.725
2020-11-30,2020-11-09,-10.0,-15.0,-15.525
2020-12-31,2020-12-07,-2.7,-7.75,-6.9333
2021-01-31,2021-01-11,1.3,1.9,0.5857
2021-02-28,2021-02-08,-0.2,2.0,2.38
2021-03-31,2021-03-08,5.0,1.4,1.8
2021-04-30,2021-04-06,13.1,6.7,6.9923
2021-05-31,2021-05-10,21.0,15.0,15.1846
2021-06-30,2021-06-07,28.1,25.4,25.1833
2021-07-31,2021-07-05,29.8,30.0,30.2833
2021-08-31,2021-08-09,22.2,29.0,29.1
2021-09-30,2021-09-06,19.6,19.7,19.7
2021-10-31,2021-10-04,16.9,18.6,18.2769
2021-11-30,2021-11-08,18.3,15.0,14.9846
2021-12-31,2021-12-06,13.5,12.5,13.6308
2022-01-31,2022-01-10,14.9,13.0,12.7231
2022-02-28,2022-02-07,16.6,15.15,15.2167
2022-03-31,2022-03-07,-7.0,5.3,5.875
2022-04-30,2022-04-04,-18.0,-9.35,-8.725
2022-05-31,2022-05-09,-22.6,-21.6,-21.8643
2022-06-30,2022-06-07,-15.8,-21.15,-21.0917
2022-07-31,2022-07-04,-26.4,-20.0,-19.8154
2022-08-31,2022-08-08,-25.2,-28.95,-28.33
2022-09-30,2022-09-05,-31.8,-26.75,-27.1929
2022-10-31,2022-10-10,-38.3,-34.7,-34.3692
2022-11-30,2022-11-07,-30.9,-35.0,-35.0615
2022-12-31,2022-12-05,-21.0,-27.5,-26.7231
2023-01-31,2023-01-09,-17.5,-18.0,-17.2308
