Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-20,5400.0,,
2003-07-31,2003-09-18,12248.0,,
2003-08-31,2003-10-20,6485.0,,
2003-09-30,2003-11-19,8451.0,8500.0,8355.6
2003-10-31,2003-12-19,9726.0,7500.0,8100.0
2003-11-30,2004-01-19,4974.0,7500.0,6720.0
2003-12-31,2004-02-19,5723.0,6250.0,6375.0
2004-01-31,2004-03-22,1195.0,-1000.0,1157.1
2004-02-29,2004-04-20,5433.0,,
2004-03-31,2004-05-19,10200.0,6650.0,6310.0
2004-04-30,2004-06-18,6033.0,8200.0,8487.5
2004-05-31,2004-07-22,7278.6,8500.0,8127.3
2004-06-30,2004-08-20,8710.0,9000.0,9454.5
2004-07-31,2004-09-22,12563.0,11000.0,11062.5
2004-08-31,2004-10-21,2958.0,7500.0,6955.6
2004-09-30,2004-11-22,3134.3,3800.0,4250.0
2004-10-31,2004-12-21,5474.0,4700.0,5075.0
2004-11-30,2005-01-20,2869.0,3200.0,3577.8
2004-12-31,2005-02-22,5700.0,3300.0,3950.0
2005-01-31,2005-03-23,-2200.0,0.1,1.4
2005-02-28,2005-04-20,3000.0,4.3,4.0
2005-03-31,2005-05-24,4200.0,6.5,7.2
2005-04-30,2005-06-22,1300.0,2.0,2.2
2005-05-31,2005-07-20,2200.0,1.2,2.0
2005-06-30,2005-08-19,6500.0,,
2005-07-31,2005-09-27,7200.0,9.1,8.6
2005-08-31,2005-10-20,-2600.0,2.2,2.5
2005-09-30,2005-11-21,1400.0,1.0,1.1
2005-10-31,2005-12-20,0.0,0.7,0.9
2005-11-30,2006-01-19,-2300.0,0.6,0.5
2005-12-31,2006-02-21,-900.0,-1.9,-2.2
2006-01-31,2006-03-22,-10800.0,-4.5,-4.3
2006-02-28,2006-04-25,-3100.0,-3.5,-3.6
2006-03-31,2006-05-22,1200.0,-3.2,-2.0
2006-04-30,2006-06-19,-2000.0,-1.3,-2.1
2006-05-31,2006-07-19,-3200.0,-1.1,-1.5
2006-06-30,2006-08-21,2000.0,-1.0,-0.8
2006-07-31,2006-09-15,1500.0,,
2006-08-31,2006-10-18,-5800.0,-2.3,-2.6
2006-09-30,2006-11-17,2000.0,-1.5,-2.0
2006-10-31,2006-12-18,2400.0,2.4,2.1
2006-11-30,2007-01-17,3100.0,3.9,3.1
2006-12-31,2007-02-16,2500.0,2.0,2.6
2007-01-31,2007-03-22,-7800.0,-1.0,-1.0
2007-02-28,2007-04-17,-1700.0,-5.0,-4.9
2007-03-31,2007-05-22,7400.0,3.0,3.2
2007-04-30,2007-06-15,1800.0,1.2,0.2
2007-05-31,2007-07-18,1700.0,2.2,2.3
2007-06-30,2007-08-21,7800.0,4.0,4.1
2007-07-31,2007-09-17,4600.0,7.0,6.0
2007-08-31,2007-10-18,1300.0,0.0,0.4
2007-09-30,2007-11-16,3100.0,3.0,3.5
2007-10-31,2007-12-18,6100.0,3.5,3.7
2007-11-30,2008-01-17,2600.0,5.5,4.6
2007-12-31,2008-02-15,-4200.0,0.5,0.5
2008-01-31,2008-03-19,-10700.0,-7.0,-6.8
2008-02-29,2008-04-17,800.0,-3.5,-3.2
2008-03-31,2008-05-16,-2300.0,2.5,2.6
2008-04-30,2008-06-17,2300.0,-1.5,-1.1
2008-05-31,2008-07-18,-4600.0,-1.0,-1.1
2008-06-30,2008-08-18,-100.0,1.2,0.7
2008-07-31,2008-09-17,-2300.0,-3.0,-3.1
2008-08-31,2008-10-17,-9300.0,-5.5,-5.9
2008-09-30,2008-11-17,-5600.0,-6.0,-4.8
2008-10-31,2008-12-18,900.0,-4.5,-4.0
2008-11-30,2009-01-16,-6959.5,1.0,0.5
2008-12-31,2009-02-17,-700.0,-6.7,-6.4
2009-01-31,2009-03-23,-10500.0,-9.0,-10.0
2009-02-28,2009-04-17,-2000.0,-5.0,-4.6
2009-03-31,2009-05-18,356.7,-0.3,-0.4
2009-04-30,2009-06-17,2700.0,-1.5,-1.3
2009-05-31,2009-07-17,1900.0,0.0,0.8
2009-06-30,2009-08-17,4600.0,,
2009-07-31,2009-09-17,12600.0,6.4,7.7
2009-08-31,2009-10-16,-4000.0,2.5,3.1
2009-09-30,2009-11-17,3700.0,,
2009-10-31,2009-12-18,8800.0,5.8,5.6
2009-11-30,2010-01-15,4800.0,7.0,7.1
2009-12-31,2010-02-17,4400.0,5.0,4.7
