Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-01-31,2005-03-23,3500.0,4.75,5.1
2005-02-28,2005-04-20,5100.0,3.05,3.15
2005-03-31,2005-05-24,4400.0,5.8,5.56
2005-04-30,2005-06-22,3700.0,4.3,4.3
2005-05-31,2005-07-20,3200.0,3.6,2.4
2005-06-30,2005-08-19,3400.0,,
2005-07-31,2005-09-27,1000.0,2.6,2.1714
2005-08-31,2005-10-20,-700.0,0.5,0.6
2005-09-30,2005-11-21,1200.0,0.3,0.44
2005-10-31,2005-12-20,-1200.0,,
2005-11-30,2006-01-19,100.0,-0.6,-0.1
2005-12-31,2006-02-21,-2400.0,0.05,-0.1
2006-01-31,2006-03-22,-2500.0,-2.3,-2.3778
2006-02-28,2006-04-25,-2700.0,-2.0,-2.4375
2006-03-31,2006-05-22,300.0,-2.5,-2.4286
2006-04-30,2006-06-19,-900.0,-0.8,-0.5222
2006-05-31,2006-07-19,-900.0,-1.0,-0.625
2006-06-30,2006-08-21,-1100.0,-1.2,-1.72
2006-07-31,2006-09-15,,,
2006-08-31,2006-10-18,-5500.0,-3.95,-3.85
2006-09-30,2006-11-17,-900.0,-2.95,-3.1
2006-10-31,2006-12-18,1700.0,0.0,0.4364
2006-11-30,2007-01-17,4500.0,2.85,2.9083
2006-12-31,2007-02-16,700.0,3.0,3.0571
2007-01-31,2007-03-22,1300.0,2.25,2.3
2007-02-28,2007-04-17,-200.0,0.6,0.62
2007-03-31,2007-05-22,5100.0,0.45,0.3833
2007-04-30,2007-06-15,3500.0,4.0,3.42
2007-05-31,2007-07-18,,4100.0,3912.5
2007-06-30,2007-08-21,5200.0,3.0,2.7
2007-07-31,2007-09-17,-600.0,4.0,4.0556
2007-08-31,2007-10-18,4300.0,0.2,-0.1
2007-09-30,2007-11-16,3900.0,,
2007-10-31,2007-12-18,4000.0,3.0,2.82
2007-11-30,2008-01-17,2700.0,3.7,1.0333
2007-12-31,2008-02-15,-2100.0,2.5,1.8
2008-01-31,2008-03-19,-2000.0,-0.4,-0.7375
2008-02-29,2008-04-17,2100.0,-2.05,-2.0833
2008-03-31,2008-05-16,-2400.0,,
2008-04-30,2008-06-17,2200.0,-0.5,-0.2889
2008-05-31,2008-07-18,-1500.0,0.8,0.56
2008-06-30,2008-08-18,-3000.0,0.5,0.3714
2008-07-31,2008-09-17,-6400.0,-3.5,-3.3
2008-08-31,2008-10-17,-6100.0,-5.4,-5.4833
2008-09-30,2008-11-17,-5700.0,-5.65,-5.75
2008-10-31,2008-12-18,-1300.0,-5.5,-5.56
2008-11-30,2009-01-16,-4891.3,-4.75,-4.45
2008-12-31,2009-02-17,-300.0,-5.3,-5.7333
2009-01-31,2009-03-23,-5500.0,-1.85,-1.2167
2009-02-28,2009-04-17,-4000.0,-4.9,-4.58
2009-03-31,2009-05-18,-2055.7,-3.8,-3.7667
2009-04-30,2009-06-17,-300.0,-1.45,-1.3333
2009-05-31,2009-07-17,800.0,0.75,0.9
2009-06-30,2009-08-17,1000.0,1.25,1.4167
2009-07-31,2009-09-17,6800.0002,1.2,1.6556
2009-08-31,2009-10-16,1000.0,4.9,5.2667
2009-09-30,2009-11-17,6800.0002,,
2009-10-31,2009-12-18,6300.0002,5.65,5.475
2009-11-30,2010-01-15,3900.0001,5.0,5.125
2009-12-31,2010-02-17,7000.0,3.85,4.05
2010-02-28,2010-04-16,3300.0,3.0,2.9286
2010-03-31,2010-05-18,600.0,4.4,4.7667
2010-04-30,2010-06-15,1400.0,1.5,1.45
2010-05-31,2010-07-16,-3000.0,0.75,0.6167
2010-06-30,2010-08-13,-1600.0,-0.65,-1.0
2010-07-31,2010-09-16,-200.0,-0.5,0.0571
2010-08-31,2010-10-15,-1400.0,-0.75,-0.6
2010-09-30,2010-11-15,2400.0001,1.0,0.1333
2010-10-31,2010-12-17,3599.9999,,
2010-11-30,2011-01-14,-1900.0,1.7,1.9667
2010-12-31,2011-02-15,-2300.0,-0.2,-0.2167
2011-01-31,2011-03-18,-3300.0,-2.5,-2.1333
2011-02-28,2011-04-15,-2400.0001,-3.6,-4.26
2011-03-31,2011-05-16,-900.0,,
2011-04-30,2011-06-17,-2900.0,-2.7,-2.7
2011-05-31,2011-07-15,-600.0,-3.2,-3.44
2011-06-30,2011-08-16,-1600.0,0.0,-0.48
2011-07-31,2011-09-16,-2500.0,,
2011-08-31,2011-10-14,-1000.0,,
2011-09-30,2011-11-15,2100.0,-1.5,-1.18
2011-10-31,2011-12-16,300.0,0.5,0.8333
2011-11-30,2012-01-13,6100.0,0.5,0.65
2011-12-31,2012-02-15,7500.0,4.5,4.12
2012-01-31,2012-03-16,5900.0,6.0,6.02
