Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-05,8.9,8.8,8.8
2003-07-31,2003-09-02,8.9,8.9,8.9
2003-08-31,2003-10-01,8.8,8.9,8.9
2003-09-30,2003-11-05,8.8,8.8,8.8
2003-10-31,2003-12-02,8.8,8.8,8.8
2003-11-30,2004-01-08,8.8,8.8,8.8
2003-12-31,2004-02-03,8.8,8.8,8.8
2004-01-31,2004-03-02,8.8,8.8,8.8
2004-02-29,2004-04-01,8.8,8.8,8.8
2004-03-31,2004-05-04,8.8,8.8,8.8
2004-04-30,2004-06-02,9.0,8.8,8.8
2004-05-31,2004-07-01,9.0,9.0,9.0
2004-06-30,2004-08-03,9.0,9.0,9.0
2004-07-31,2004-09-01,9.0,9.0,9.0
2004-08-31,2004-10-05,9.0,9.0,9.0
2004-09-30,2004-11-04,8.9,9.0,9.0
2004-10-31,2004-12-01,8.9,8.9,8.9
2004-11-30,2005-01-07,8.9,8.9,8.9
2004-12-31,2005-02-01,8.9,8.9,8.9
2005-01-31,2005-03-04,8.8,8.9,8.9
2005-02-28,2005-04-01,8.9,8.8,8.8
2005-03-31,2005-05-03,8.9,8.9,8.9
2005-04-30,2005-06-01,8.9,8.9,8.9
2005-05-31,2005-07-01,8.8,8.9,8.9
2005-06-30,2005-08-02,8.7,8.8,8.8
2005-07-31,2005-09-01,8.6,8.7,8.7
2005-08-31,2005-10-04,8.6,8.6,8.6
2005-09-30,2005-11-04,8.4,8.6,8.6
2005-10-31,2005-12-01,8.3,8.4,8.4
2005-11-30,2006-01-06,8.3,8.3,8.3
2005-12-31,2006-02-01,8.4,8.2,8.2
2006-01-31,2006-03-01,8.3,8.4,8.4
2006-02-28,2006-04-04,8.2,8.3,8.3
2006-03-31,2006-05-03,8.1,8.2,8.2
2006-04-30,2006-06-01,8.0,8.1,8.1
2006-05-31,2006-07-03,7.9,8.0,8.0
2006-06-30,2006-08-01,7.8,7.9,7.7
2006-07-31,2006-09-01,7.8,7.8,7.8
2006-08-31,2006-10-03,7.9,7.8,7.8
2006-09-30,2006-11-03,7.8,7.8,7.8
2006-10-31,2006-12-01,7.7,7.8,7.8
2006-11-30,2007-01-05,7.6,7.6,7.6
2006-12-31,2007-01-31,7.5,7.6,7.5
2007-01-31,2007-02-28,7.4,7.4,7.4
2007-02-28,2007-03-30,7.3,7.3,7.3
2007-03-31,2007-05-02,7.2,7.2,7.2
2007-04-30,2007-06-01,7.1,7.2,7.2
2007-05-31,2007-07-03,7.0,7.0,7.0
2007-06-30,2007-07-31,6.9,7.0,7.0
2007-07-31,2007-08-31,6.9,6.9,6.9
2007-08-31,2007-10-02,6.9,6.9,6.9
2007-09-30,2007-10-31,7.3,6.9,6.9
2007-10-31,2007-12-03,7.2,7.3,7.3
2007-11-30,2008-01-07,7.2,7.2,7.2
2007-12-31,2008-01-31,7.2,7.1,7.1
2008-01-31,2008-02-29,7.1,7.2,7.2
2008-02-29,2008-04-01,7.1,7.1,7.1
2008-03-31,2008-04-30,7.1,7.1,7.1
2008-04-30,2008-05-30,7.1,7.1,7.1
2008-05-31,2008-07-01,7.2,7.1,7.1
2008-06-30,2008-07-31,7.3,7.2,7.2
2008-07-31,2008-08-29,7.3,7.3,7.3
2008-08-31,2008-10-01,7.5,7.3,7.3
2008-09-30,2008-10-31,7.5,7.5,7.5
2008-10-31,2008-11-28,7.7,7.6,7.6
2008-11-30,2009-01-08,7.8,7.8,7.8
2008-12-31,2009-01-30,8.0,7.9,7.9
2009-01-31,2009-02-27,8.2,8.1,8.1
2009-02-28,2009-04-01,8.5,8.3,8.3
2009-03-31,2009-04-30,8.9,8.7,8.7
2009-04-30,2009-06-02,9.2,9.1,9.1
2009-05-31,2009-07-02,9.5,9.4,9.3
2009-06-30,2009-07-31,9.4,9.7,9.7
