Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-09-30,2003-09-16,69.6,,
2003-10-31,2003-10-14,66.8,,
2003-11-30,2003-11-11,72.1,,
2003-12-31,2003-12-09,78.2,77.0,76.4
2004-04-30,2004-04-20,59.1,58.8,59.0
2004-05-31,2004-05-18,59.2,49.7,52.2
2004-06-30,2004-06-22,56.8,55.0,54.2
2004-07-31,2004-07-20,55.5,55.6,55.7
2004-08-31,2004-08-17,52.0,55.1,53.4
2004-09-30,2004-09-14,44.7,51.0,51.5
2004-10-31,2004-10-12,37.6,42.0,40.0
2004-11-30,2004-11-09,22.1,33.0,33.4
2004-12-31,2004-12-07,17.7,19.0,17.3
2005-01-31,2005-01-11,29.9,19.0,18.6
2005-02-28,2005-02-15,36.0,32.0,31.1
2005-03-31,2005-03-15,37.3,37.0,38.3
2005-04-30,2005-04-19,24.6,36.5,35.1
2005-05-31,2005-05-24,14.8,22.5,23.1
2005-06-30,2005-06-21,16.7,17.0,17.0
2005-07-31,2005-07-19,29.0,20.0,21.5
2005-08-31,2005-08-23,41.6,33.0,33.6
2005-09-30,2005-09-20,31.8,41.0,39.9
2005-10-31,2005-10-18,34.7,36.3,36.8
2005-11-30,2005-11-15,40.0,38.2,39.0
2005-12-31,2005-12-13,51.2,41.0,41.6
2006-01-31,2006-01-10,66.1,54.5,54.0
2006-02-28,2006-02-14,66.0,66.0,66.2
2006-03-31,2006-03-14,61.1,,
2006-04-30,2006-04-11,58.7,63.0,62.6
2006-05-31,2006-05-16,47.7,55.5,54.5
2006-06-30,2006-06-13,37.3,41.5,41.2
2006-07-31,2006-07-18,18.1,35.3,35.1
2006-08-31,2006-08-22,1.3,15.0,12.6
2006-09-30,2006-09-19,-10.2,-4.0,-3.7
2006-10-31,2006-10-17,-12.5,-9.9,-11.4
2006-11-30,2006-11-14,-11.0,-11.0,-10.6
2006-12-31,2006-12-12,-3.0,-8.5,-8.2
2007-01-31,2007-01-16,-1.8,2.0,2.7
2007-02-28,2007-02-13,6.8,3.0,1.8
2007-03-31,2007-03-13,5.1,4.5,5.3
