Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2020-01-13,2020-01-13,90.74,,
2020-01-14,2020-01-14,89.55,,
2020-01-15,2020-01-15,89.34,,
2020-01-16,2020-01-16,89.52,,
2020-01-17,2020-01-17,89.6,,
2020-01-20,2020-01-20,90.96,,
2020-01-21,2020-01-21,91.27,,
2020-01-22,2020-01-22,91.71,,
2020-01-23,2020-01-23,91.62,,
2020-01-24,2020-01-24,91.31,,
2020-01-27,2020-01-27,94.28,,
2020-01-28,2020-01-28,94.53,,
2020-01-29,2020-01-29,95.2,,
2020-01-30,2020-01-30,94.88,,
2020-01-31,2020-01-31,96.8,,
2020-02-03,2020-02-03,98.09,,
2020-02-04,2020-02-04,98.44,,
2020-02-05,2020-02-05,98.25,,
2020-02-06,2020-02-06,98.61,,
2020-02-07,2020-02-07,98.17,,
2020-02-10,2020-02-10,93.67,,
2020-02-11,2020-02-11,93.27,,
2020-02-12,2020-02-12,93.04,,
2020-02-13,2020-02-13,93.96,,
2020-02-14,2020-02-14,94.54,,
2020-02-17,2020-02-17,94.25,,
2020-02-18,2020-02-18,96.44,,
2020-02-19,2020-02-19,97.35,,
2020-02-20,2020-02-20,97.45,,
2020-02-21,2020-02-21,97.46,,
2020-02-24,2020-02-24,99.24,,
2020-02-25,2020-02-25,96.89,,
2020-02-26,2020-02-26,95.91,,
2020-02-27,2020-02-27,95.28,,
2020-02-28,2020-02-28,95.21,,
2020-03-02,2020-03-02,100.02,,
2020-03-03,2020-03-03,101.12,,
2020-03-04,2020-03-04,102.16,,
2020-03-05,2020-03-05,103.01,,
2020-03-06,2020-03-06,103.41,,
2020-03-09,2020-03-09,100.68,,
2020-03-10,2020-03-10,100.22,,
2020-03-11,2020-03-11,99.76,,
2020-03-12,2020-03-12,99.28,,
2020-03-13,2020-03-13,98.89,,
2020-03-16,2020-03-16,96.83,,
2020-03-17,2020-03-17,96.64,,
2020-03-18,2020-03-18,96.46,,
2020-03-19,2020-03-19,95.26,,
2020-03-20,2020-03-20,93.78,,
2020-03-23,2020-03-23,78.28,,
2020-03-24,2020-03-24,74.0,,
2020-03-25,2020-03-25,67.69,,
2020-03-26,2020-03-26,62.6,,
2020-03-27,2020-03-27,57.47,,
2020-03-30,2020-03-30,47.36,,
2020-03-31,2020-03-31,47.45,,
2020-04-01,2020-04-01,48.83,,
2020-04-02,2020-04-02,49.92,,
2020-04-03,2020-04-03,50.59,,
2020-04-06,2020-04-06,52.52,,
2020-04-07,2020-04-07,51.76,,
2020-04-08,2020-04-08,51.35,,
2020-04-09,2020-04-09,51.85,,
2020-04-14,2020-04-14,48.95,,
2020-04-15,2020-04-15,50.16,,
2020-04-16,2020-04-16,49.51,,
2020-04-17,2020-04-17,50.48,,
2020-04-20,2020-04-20,50.46,,
2020-04-21,2020-04-21,53.7,,
2020-04-22,2020-04-22,53.01,,
2020-04-23,2020-04-23,53.41,,
2020-04-24,2020-04-24,53.87,,
2020-04-27,2020-04-27,56.42,,
2020-04-28,2020-04-28,56.91,,
2020-04-29,2020-04-29,57.6,,
2020-04-30,2020-04-30,58.33,,
2020-05-01,2020-05-01,59.69,,
2020-05-04,2020-05-04,60.27,,
2020-05-05,2020-05-05,61.49,,
2020-05-06,2020-05-06,61.61,,
2020-05-07,2020-05-07,61.89,,
2020-05-11,2020-05-11,60.31,,
2020-05-12,2020-05-12,60.03,,
2020-05-13,2020-05-13,59.65,,
2020-05-14,2020-05-14,59.45,,
2020-05-15,2020-05-15,60.22,,
2020-05-18,2020-05-18,61.9,,
2020-05-19,2020-05-19,61.49,,
2020-05-20,2020-05-20,62.17,,
2020-05-21,2020-05-21,62.7,,
2020-05-22,2020-05-22,63.46,,
2020-05-26,2020-05-26,64.77,,
2020-05-27,2020-05-27,66.01,,
2020-05-28,2020-05-28,66.05,,
2020-05-29,2020-05-29,66.69,,
2020-06-01,2020-06-01,67.89,,
2020-06-02,2020-06-02,71.27,,
2020-06-03,2020-06-03,71.02,,
2020-06-04,2020-06-04,71.23,,
2020-06-05,2020-06-05,70.89,,
2020-06-08,2020-06-08,72.03,,
2020-06-09,2020-06-09,71.14,,
2020-06-10,2020-06-10,70.63,,
2020-06-11,2020-06-11,71.39,,
2020-06-12,2020-06-12,71.28,,
2020-06-15,2020-06-15,70.8,,
2020-06-16,2020-06-16,71.88,,
2020-06-17,2020-06-17,72.8,,
2020-06-18,2020-06-18,73.3,,
2020-06-19,2020-06-19,74.32,,
2020-06-22,2020-06-22,78.08,,
2020-06-23,2020-06-23,77.99,,
2020-06-24,2020-06-24,78.26,,
2020-06-25,2020-06-25,76.73,,
2020-06-26,2020-06-26,78.91,,
2020-06-29,2020-06-29,81.34,,
2020-06-30,2020-06-30,82.05,,
2020-07-01,2020-07-01,82.97,,
2020-07-02,2020-07-02,84.87,,
2020-07-03,2020-07-03,83.7,,
2020-07-06,2020-07-06,83.03,,
2020-07-07,2020-07-07,82.99,,
2020-07-08,2020-07-08,82.46,,
2020-07-09,2020-07-09,82.47,,
2020-07-10,2020-07-10,81.71,,
2020-07-13,2020-07-13,80.42,,
2020-07-14,2020-07-14,80.18,,
2020-07-15,2020-07-15,79.98,,
2020-07-16,2020-07-16,79.89,,
2020-07-17,2020-07-17,79.87,,
2020-07-20,2020-07-20,79.15,,
2020-07-21,2020-07-21,78.43,,
2020-07-22,2020-07-22,77.37,,
2020-07-23,2020-07-23,75.87,,
2020-07-24,2020-07-24,76.99,,
2020-07-27,2020-07-27,78.38,,
2020-07-28,2020-07-28,79.78,,
2020-07-29,2020-07-29,81.53,,
2020-07-30,2020-07-30,83.67,,
2020-07-31,2020-07-31,83.96,,
2020-08-03,2020-08-03,86.96,,
2020-08-04,2020-08-04,87.29,,
2020-08-05,2020-08-05,86.91,,
2020-08-06,2020-08-06,86.93,,
2020-08-07,2020-08-07,86.75,,
2020-08-10,2020-08-10,84.0,,
2020-08-11,2020-08-11,83.41,,
2020-08-12,2020-08-12,83.25,,
2020-08-13,2020-08-13,82.28,,
2020-08-14,2020-08-14,82.17,,
2020-08-17,2020-08-17,83.22,,
2020-08-18,2020-08-18,83.27,,
2020-08-19,2020-08-19,83.53,,
2020-08-20,2020-08-20,83.85,,
2020-08-21,2020-08-21,83.34,,
2020-08-24,2020-08-24,84.62,,
2020-08-25,2020-08-25,84.99,,
2020-08-26,2020-08-26,84.2,,
2020-08-27,2020-08-27,86.31,,
2020-08-28,2020-08-28,87.84,,
2020-09-01,2020-09-01,92.0,,
2020-09-02,2020-09-02,95.58,,
2020-09-03,2020-09-03,94.43,,
2020-09-04,2020-09-04,93.5,,
2020-09-07,2020-09-07,90.79,,
2020-09-08,2020-09-08,90.09,,
2020-09-09,2020-09-09,87.0,,
2020-09-10,2020-09-10,85.95,,
2020-09-11,2020-09-11,85.34,,
2020-09-14,2020-09-14,86.48,,
2020-09-15,2020-09-15,84.13,,
2020-09-16,2020-09-16,83.88,,
2020-09-17,2020-09-17,84.24,,
2020-09-18,2020-09-18,83.02,,
2020-09-21,2020-09-21,84.92,,
2020-09-22,2020-09-22,84.28,,
2020-09-23,2020-09-23,84.73,,
2020-09-24,2020-09-24,84.27,,
2020-09-25,2020-09-25,85.51,,
2020-09-28,2020-09-28,86.26,,
2020-09-29,2020-09-29,86.91,,
2020-09-30,2020-09-30,87.14,,
2020-10-01,2020-10-01,88.68,,
2020-10-02,2020-10-02,89.53,,
2020-10-05,2020-10-05,90.12,,
2020-10-06,2020-10-06,89.43,,
2020-10-07,2020-10-07,89.85,,
2020-10-08,2020-10-08,88.67,,
2020-10-09,2020-10-09,86.61,,
2020-10-12,2020-10-12,86.0,,
2020-10-13,2020-10-13,86.13,,
2020-10-14,2020-10-14,84.95,,
2020-10-15,2020-10-15,84.91,,
2020-10-16,2020-10-16,86.01,,
2020-10-19,2020-10-19,84.54,,
2020-10-20,2020-10-20,84.57,,
2020-10-21,2020-10-21,84.58,,
2020-10-22,2020-10-22,84.31,,
2020-10-23,2020-10-23,84.57,,
2020-10-26,2020-10-26,85.17,,
2020-10-27,2020-10-27,86.21,,
2020-10-28,2020-10-28,87.27,,
2020-10-29,2020-10-29,88.48,,
2020-10-30,2020-10-30,89.26,,
2020-11-02,2020-11-02,94.64,,
