Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2013-02-28,2013-02-28,0.063,,
2013-03-31,2013-03-31,0.01,,
2013-04-30,2013-04-30,-0.01,,
2013-05-31,2013-05-31,-0.034,,
2013-06-30,2013-06-30,-0.045,,
2013-07-31,2013-07-31,-0.036,,
2013-08-31,2013-08-31,-0.006,,
2013-09-30,2013-09-30,-0.011,,
2013-10-31,2013-10-31,-0.029,,
2013-11-30,2013-11-30,-0.039,,
2013-12-31,2013-12-31,-0.015,,
2014-01-31,2014-01-31,-0.063,,
2014-02-28,2014-02-28,-0.077,,
2014-03-31,2014-03-31,-0.062,,
2014-04-30,2014-04-30,-0.049,,
2014-05-31,2014-05-31,-0.037,,
2014-06-30,2014-06-30,-0.037,,
2014-07-31,2014-07-31,-0.055,,
2014-08-31,2014-08-31,-0.074,,
2014-09-30,2014-09-30,-0.048,,
2014-10-31,2014-10-31,-0.032,,
2014-11-30,2014-11-30,-0.099,,
2014-12-31,2014-12-31,-0.155,,
2015-01-31,2015-01-31,-0.156,,
2015-02-28,2015-02-28,-0.1,,
2015-03-31,2015-03-31,-0.045,,
2015-04-30,2015-04-30,-0.038,,
2015-05-31,2015-05-31,-0.058,,
2015-06-30,2015-06-30,-0.085,,
2015-07-31,2015-07-31,-0.096,,
2015-08-31,2015-08-31,-0.094,,
2015-09-30,2015-09-30,-0.101,,
2015-10-31,2015-10-31,-0.137,,
2015-11-30,2015-11-30,-0.108,,
2015-12-31,2015-12-31,-0.081,,
2016-01-31,2016-01-31,-0.018,,
2016-02-29,2016-02-29,0.017,,
2016-03-31,2016-03-31,-0.064,,
2016-04-30,2016-04-30,-0.092,,
2016-05-31,2016-05-31,-0.099,,
2016-06-30,2016-06-30,-0.119,,
2016-07-31,2016-07-31,-0.116,,
2016-08-31,2016-08-31,-0.086,,
2016-09-30,2016-09-30,-0.121,,
2016-10-31,2016-10-31,-0.103,,
2016-11-30,2016-11-30,-0.136,,
2016-12-31,2016-12-31,-0.116,,
2017-01-31,2017-01-31,-0.049,,
2017-02-28,2017-02-28,-0.097,,
2017-03-31,2017-03-31,-0.113,,
2017-04-30,2017-04-30,-0.121,,
2017-05-31,2017-05-31,-0.148,,
2017-06-30,2017-06-30,-0.125,,
2017-07-31,2017-07-31,-0.122,,
2017-08-31,2017-08-31,-0.166,,
2017-09-30,2017-09-30,-0.193,,
2017-10-31,2017-10-31,-0.19,,
2017-11-30,2017-11-30,-0.173,,
2017-12-31,2017-12-31,-0.136,,
2018-01-31,2018-01-31,-0.118,,
2018-02-28,2018-02-28,-0.08,,
2018-03-31,2018-03-31,-0.041,,
2018-04-30,2018-04-30,-0.048,,
2018-05-31,2018-05-31,-0.03,,
2018-06-30,2018-06-30,-0.03,,
2018-07-31,2018-07-31,0.004,,
