Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2023-06-30,2023-07-06,5.7,,
2023-07-31,2023-08-03,5.4,,
2023-08-31,2023-09-07,4.8,5.1,5.1
2023-09-30,2023-10-05,4.9,,
2023-10-31,2023-11-02,4.6,,
2023-11-30,2023-11-30,4.4,,
2023-12-31,2024-01-04,4.0,,
2024-01-31,2024-02-01,3.4,3.8,3.8
2024-02-29,2024-03-07,3.3,3.0,3.1
2024-03-31,2024-04-04,3.2,3.2,3.1
2024-04-30,2024-05-09,2.9,3.1,3.1
2024-05-31,2024-06-06,2.9,2.8,2.8
2024-06-30,2024-07-04,2.8,2.8,2.8
2024-07-31,2024-08-01,2.5,,
2024-08-31,2024-09-05,2.6,2.6,2.6
2024-09-30,2024-10-03,2.7,2.7,2.7
2024-10-31,2024-11-07,2.5,2.7,2.7
2024-11-30,2024-12-05,2.8,2.6,2.6
2024-12-31,2025-01-09,3.0,2.8,2.8
2025-01-31,2025-02-06,3.0,3.0,3.0
2025-02-28,2025-03-06,3.1,3.1,3.1
2025-03-31,2025-04-03,3.4,3.2,3.2
2025-04-30,2025-05-08,3.1,3.5,3.4
2025-05-31,2025-06-05,3.0,3.2,3.2
