Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,39.1,,
2007-09-30,2007-09-30,47.8,,
2007-12-31,2007-12-31,10.3,,
2008-03-31,2008-03-31,-5.0,,
2008-06-30,2008-06-30,-15.1,,
2008-09-30,2008-09-30,-40.6,,
2008-12-31,2008-12-31,-34.0,,
2009-03-31,2009-03-31,6.7,,
2009-06-30,2009-06-30,-16.0,,
2009-09-30,2009-09-30,11.2,,
2009-12-31,2009-12-31,15.0,,
2010-03-31,2010-03-31,19.4,,
2010-06-30,2010-06-30,18.0,,
2010-09-30,2010-09-30,-13.5,,
2010-12-31,2010-12-31,-26.5,,
2011-03-31,2011-03-31,-26.9,,
2011-06-30,2011-06-30,34.9,,
2011-09-30,2011-09-30,-21.6,,
2011-12-31,2011-12-31,-9.8,,
2012-03-31,2012-03-31,-20.1,,
2012-06-30,2012-06-30,15.3,,
2012-09-30,2012-09-30,-1.5,,
2012-12-31,2012-12-31,-7.5,,
2013-03-31,2013-03-31,-11.2,,
2013-06-30,2013-06-30,35.9,,
2013-09-30,2013-09-30,24.1,,
2013-12-31,2013-12-31,33.0,,
2014-03-31,2014-03-31,-2.3,,
2014-06-30,2014-06-30,-0.5,,
2014-09-30,2014-09-30,-26.1,,
2014-12-31,2014-12-31,12.9,,
2015-03-31,2015-03-31,-13.6,,
2015-06-30,2015-06-30,19.2,,
2015-09-30,2015-09-30,-6.6,,
2015-12-31,2015-12-31,-12.2,,
2016-03-31,2016-03-31,-4.2,,
2016-06-30,2016-06-30,3.0,,
2016-09-30,2016-09-30,-17.5,,
2016-12-31,2016-12-31,-44.8,,
2017-03-31,2017-03-31,-3.5,,
2017-06-30,2017-06-30,38.6,,
2017-09-30,2017-09-30,-4.2,,
2017-12-31,2017-12-31,-22.0,,
2018-03-31,2018-03-31,11.6,,
2018-06-30,2018-06-30,27.6,,
2018-09-30,2018-09-30,-1.7,,
2018-12-31,2018-12-31,-20.5,,
2019-03-31,2019-03-31,-12.2,,
2019-06-30,2019-06-30,7.3,,
2019-09-30,2019-09-30,-5.0,,
2019-12-31,2019-12-31,-0.8,,
2020-03-31,2020-03-31,-0.7,,
2020-06-30,2020-06-30,58.0,,
2020-09-30,2020-09-30,-71.4,,
2020-12-31,2020-12-31,-18.1,,
2021-03-31,2021-03-31,-26.6,,
2021-06-30,2021-06-30,28.1,,
2021-09-30,2021-09-30,-31.9,,
2021-12-31,2021-12-31,-19.2,,
2022-03-31,2022-03-31,1.4,,
2022-06-30,2022-06-30,0.2,,
2022-09-30,2022-09-30,-5.4,,
2022-12-31,2022-12-31,-14.2,,
2023-03-31,2023-03-31,-30.5,,
2023-06-30,2023-06-30,7.5,,
2023-09-30,2023-09-30,-6.8,,
2023-12-31,2023-12-31,-10.5,,
2024-03-31,2024-03-31,-16.0,,
2024-06-30,2024-06-30,5.4,,
2024-09-30,2024-09-30,24.6,,
2024-12-31,2024-12-31,29.4,,
2025-03-31,2025-03-31,-4.0,,
