Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.57,,
2003-09-30,2003-09-30,0.56,,
2003-12-31,2003-12-31,0.06,,
2004-03-31,2004-03-31,0.25,,
2004-06-30,2004-06-30,0.17,,
2004-09-30,2004-09-30,0.11,,
2004-12-31,2004-12-31,0.48,,
2005-03-31,2005-03-31,0.44,,
2005-06-30,2005-06-30,0.15,,
2005-09-30,2005-09-30,0.45,,
2005-12-31,2005-12-31,0.29,,
2006-03-31,2006-03-31,0.22,,
2006-06-30,2006-06-30,0.33,,
2006-09-30,2006-09-30,0.45,,
2006-12-31,2006-12-31,0.38,,
2007-03-31,2007-03-31,-0.23,,
2007-06-30,2007-06-30,0.28,,
2007-09-30,2007-09-30,0.43,,
2007-12-31,2007-12-31,0.12,,
2008-03-31,2008-03-31,0.06,,
2008-06-30,2008-06-30,0.22,,
2008-09-30,2008-09-30,-0.09,,
2008-12-31,2008-12-31,-0.58,,
2009-03-31,2009-03-31,-0.7,,
2009-06-30,2009-06-30,-0.56,,
2009-09-30,2009-09-30,-0.36,,
2009-12-31,2009-12-31,-0.43,,
2010-03-31,2010-03-31,-0.01,,
2010-06-30,2010-06-30,0.26,,
2010-09-30,2010-09-30,-0.14,,
2010-12-31,2010-12-31,0.17,,
2011-03-31,2011-03-31,0.21,,
2011-06-30,2011-06-30,-0.24,,
2011-09-30,2011-09-30,0.72,,
2011-12-31,2011-12-31,0.06,,
2012-03-31,2012-03-31,1.08,,
2012-06-30,2012-06-30,-0.17,,
2012-09-30,2012-09-30,-0.18,,
2012-12-31,2012-12-31,-0.14,,
2013-03-31,2013-03-31,0.57,,
2013-06-30,2013-06-30,0.2,,
2013-09-30,2013-09-30,0.71,,
2013-12-31,2013-12-31,1.15,,
2014-03-31,2014-03-31,0.91,,
2014-06-30,2014-06-30,0.94,,
2014-09-30,2014-09-30,0.39,,
2014-12-31,2014-12-31,0.33,,
2015-03-31,2015-03-31,0.36,,
2015-06-30,2015-06-30,0.25,,
2015-09-30,2015-09-30,0.56,,
2015-12-31,2015-12-31,0.22,,
2016-03-31,2016-03-31,0.62,,
2016-06-30,2016-06-30,0.56,,
2016-09-30,2016-09-30,0.1,,
2016-12-31,2016-12-31,0.21,,
2017-03-31,2017-03-31,0.51,,
2017-06-30,2017-06-30,0.03,,
2017-09-30,2017-09-30,0.3,,
2017-12-31,2017-12-31,-0.25,,
2018-03-31,2018-03-31,0.21,,
2018-06-30,2018-06-30,0.07,,
2018-09-30,2018-09-30,0.29,,
2018-12-31,2018-12-31,0.48,,
2019-03-31,2019-03-31,0.55,,
2019-06-30,2019-06-30,0.3,,
2019-09-30,2019-09-30,0.19,,
2019-12-31,2019-12-31,0.13,,
2020-03-31,2020-03-31,-0.15,,
2020-06-30,2020-06-30,-1.33,,
2020-09-30,2020-09-30,-1.54,,
2020-12-31,2020-12-31,-0.21,,
2021-03-31,2021-03-31,0.61,,
2021-06-30,2021-06-30,0.97,,
2021-09-30,2021-09-30,0.61,,
2021-12-31,2021-12-31,0.12,,
2022-03-31,2022-03-31,1.09,,
2022-06-30,2022-06-30,0.58,,
2022-09-30,2022-09-30,0.18,,
2022-12-31,2022-12-31,0.54,,
2023-03-31,2023-03-31,0.98,,
2023-06-30,2023-06-30,-0.64,,
2023-09-30,2023-09-30,0.34,,
2023-12-31,2023-12-31,0.21,,
2024-03-31,2024-03-31,0.78,,
2024-06-30,2024-06-30,-0.19,,
2024-09-30,2024-09-30,0.09,,
2024-12-31,2024-12-31,0.42,,
