Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,579.0,,
2003-07-31,2003-07-31,574.0,,
2003-08-31,2003-08-31,576.0,,
2003-09-30,2003-09-30,592.0,,
2003-10-31,2003-10-31,604.0,,
2003-11-30,2003-11-30,610.0,,
2003-12-31,2003-12-31,614.0,,
2004-01-31,2004-01-31,613.0,,
2004-02-29,2004-02-29,617.0,,
2004-03-31,2004-03-31,624.0,,
2004-04-30,2004-04-30,630.0,,
2004-05-31,2004-05-31,637.0,,
2004-06-30,2004-06-30,641.0,,
2004-07-31,2004-07-31,652.0,,
2004-08-31,2004-08-31,654.0,,
2004-09-30,2004-09-30,654.0,,
2004-10-31,2004-10-31,655.0,,
2004-11-30,2004-11-30,658.0,,
2004-12-31,2004-12-31,662.0,,
2005-01-31,2005-01-31,661.0,,
2005-02-28,2005-02-28,655.0,,
2005-03-31,2005-03-31,644.0,,
2005-04-30,2005-04-30,636.0,,
2005-05-31,2005-05-31,642.0,,
2005-06-30,2005-06-30,642.0,,
2005-07-31,2005-07-31,633.0,,
2005-08-31,2005-08-31,624.0,,
2005-09-30,2005-09-30,622.0,,
2005-10-31,2005-10-31,608.0,,
2005-11-30,2005-11-30,606.0,,
2005-12-31,2005-12-31,609.0,,
2006-01-31,2006-01-31,615.0,,
2006-02-28,2006-02-28,612.0,,
2006-03-31,2006-03-31,600.0,,
2006-04-30,2006-04-30,597.0,,
2006-05-31,2006-05-31,597.0,,
2006-06-30,2006-06-30,604.0,,
2006-07-31,2006-07-31,607.0,,
2006-08-31,2006-08-31,610.0,,
2006-09-30,2006-09-30,611.0,,
2006-10-31,2006-10-31,618.0,,
2006-11-30,2006-11-30,620.0,,
2006-12-31,2006-12-31,620.0,,
2007-01-31,2007-01-31,619.0,,
2007-02-28,2007-02-28,629.0,,
2007-03-31,2007-03-31,642.0,,
2007-04-30,2007-04-30,647.0,,
2007-05-31,2007-05-31,651.0,,
2007-06-30,2007-06-30,659.0,,
2007-07-31,2007-07-31,670.0,,
2007-08-31,2007-08-31,681.0,,
2007-09-30,2007-09-30,684.0,,
2007-10-31,2007-10-31,686.0,,
2007-11-30,2007-11-30,691.0,,
2007-12-31,2007-12-31,687.0,,
2008-01-31,2008-01-31,679.0,,
2008-02-29,2008-02-29,687.0,,
2008-03-31,2008-03-31,698.0,,
2008-04-30,2008-04-30,694.0,,
2008-05-31,2008-05-31,679.0,,
2008-06-30,2008-06-30,657.0,,
2008-07-31,2008-07-31,643.0,,
2008-08-31,2008-08-31,624.0,,
2008-09-30,2008-09-30,615.0,,
2008-10-31,2008-10-31,596.0,,
2008-11-30,2008-11-30,562.0,,
2008-12-31,2008-12-31,527.0,,
2009-01-31,2009-01-31,498.0,,
2009-02-28,2009-02-28,478.0,,
