Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,-3.9,,
2007-09-30,2007-09-30,0.0,,
2007-12-31,2007-12-31,1.1,,
2008-03-31,2008-03-31,24.4,,
2008-06-30,2008-06-30,29.6,,
2008-09-30,2008-09-30,36.3,,
2008-12-31,2008-12-31,47.4,,
2009-03-31,2009-03-31,35.2,,
2009-06-30,2009-06-30,48.0,,
2009-09-30,2009-09-30,34.8,,
2009-12-31,2009-12-31,40.8,,
2010-03-31,2010-03-31,-15.2,,
2010-06-30,2010-06-30,-16.6,,
2010-09-30,2010-09-30,-25.6,,
2010-12-31,2010-12-31,-18.9,,
2011-03-31,2011-03-31,-20.2,,
2011-06-30,2011-06-30,-7.1,,
2011-09-30,2011-09-30,-6.3,,
2011-12-31,2011-12-31,18.6,,
2012-03-31,2012-03-31,6.9,,
2012-06-30,2012-06-30,-6.8,,
2012-09-30,2012-09-30,11.3,,
2012-12-31,2012-12-31,30.7,,
2013-03-31,2013-03-31,-11.2,,
2013-06-30,2013-06-30,4.0,,
2013-09-30,2013-09-30,9.9,,
2013-12-31,2013-12-31,-10.5,,
2014-03-31,2014-03-31,-7.6,,
2014-06-30,2014-06-30,-25.5,,
2014-09-30,2014-09-30,-23.7,,
2014-12-31,2014-12-31,-15.1,,
2015-03-31,2015-03-31,-20.0,,
2015-06-30,2015-06-30,-12.2,,
2015-09-30,2015-09-30,1.5,,
2015-12-31,2015-12-31,1.0,,
2016-03-31,2016-03-31,2.7,,
2016-06-30,2016-06-30,0.0,,
2016-09-30,2016-09-30,0.0,,
2016-12-31,2016-12-31,0.0,,
2017-03-31,2017-03-31,9.8,,
2017-06-30,2017-06-30,-5.5,,
2017-09-30,2017-09-30,-1.5,,
2017-12-31,2017-12-31,4.4,,
2018-03-31,2018-03-31,24.8,,
2018-06-30,2018-06-30,13.8,,
2018-09-30,2018-09-30,10.3,,
2018-12-31,2018-12-31,0.0,,
2019-03-31,2019-03-31,11.7,,
2019-06-30,2019-06-30,12.5,,
2019-09-30,2019-09-30,10.5,,
2019-12-31,2019-12-31,9.9,,
2020-03-31,2020-03-31,12.0,,
2020-06-30,2020-06-30,10.7,,
2020-09-30,2020-09-30,16.0,,
2020-12-31,2020-12-31,22.8,,
2021-03-31,2021-03-31,1.7,,
2021-06-30,2021-06-30,6.4,,
2021-09-30,2021-09-30,0.9,,
2021-12-31,2021-12-31,-1.6,,
2022-03-31,2022-03-31,-0.9,,
2022-06-30,2022-06-30,4.1,,
2022-09-30,2022-09-30,4.0,,
2022-12-31,2022-12-31,-1.0,,
2023-03-31,2023-03-31,0.7,,
2023-06-30,2023-06-30,-0.9,,
2023-09-30,2023-09-30,1.6,,
2023-12-31,2023-12-31,3.4,,
2024-03-31,2024-03-31,1.0,,
2024-06-30,2024-06-30,-0.6,,
2024-09-30,2024-09-30,-0.5,,
2024-12-31,2024-12-31,0.8,,
2025-03-31,2025-03-31,-0.3,,
