Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-03-31,2011-03-27,1.0,,
2011-04-30,2011-05-02,30.0,,
2011-05-31,2011-05-30,14.0,,
2011-06-30,2011-06-26,36.0,,
2011-07-31,2011-07-31,19.0,,
2011-08-31,2011-08-29,-3.0,,
2011-09-30,2011-10-02,7.0,,
2011-10-31,2011-10-30,-15.0,,
2011-11-30,2011-11-27,-20.0,,
2011-12-31,2012-01-02,-23.0,,
2012-01-31,2012-02-02,-11.0,,
2012-02-29,2012-03-04,1.0,,
2012-03-31,2012-04-01,31.0,,
2012-04-30,2012-05-02,26.0,,
2012-05-31,2012-06-05,-21.0,,
2012-06-30,2012-07-01,-12.0,,
2012-07-31,2012-07-29,-8.0,,
2012-08-31,2012-09-02,10.0,,
2012-09-30,2012-09-30,10.0,,
2012-10-31,2012-10-28,17.0,,
2012-11-30,2012-12-02,17.0,,
2012-12-31,2012-12-30,20.0,,
2013-01-31,2013-02-03,15.0,,
2013-02-28,2013-03-03,13.0,,
2013-03-31,2013-04-01,20.0,,
2013-04-30,2013-04-28,27.0,,
2013-05-31,2013-05-30,39.0,,
2013-06-30,2013-06-27,36.0,,
2013-07-31,2013-07-30,41.0,,
2013-08-31,2013-08-29,54.0,,
2013-09-30,2013-09-27,57.0,,
2013-10-31,2013-10-30,63.0,,
2013-11-30,2013-11-28,50.0,,
2013-12-31,2013-12-31,48.0,,
2014-01-31,2014-01-31,63.0,,
2014-02-28,2014-02-27,53.0,,
2014-03-31,2014-03-28,44.0,,
2014-04-30,2014-04-28,66.0,,
2014-05-31,2014-05-29,41.0,,
2014-06-30,2014-06-27,51.0,,
2014-07-31,2014-07-30,52.0,,
2014-08-31,2014-08-28,47.0,,
2014-09-30,2014-09-30,57.0,,
2014-10-31,2014-10-30,35.0,,
2014-11-30,2014-11-27,42.0,,
2014-12-31,2015-01-07,45.0,,
2015-01-31,2015-02-04,49.0,,
