Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,21.0,,
2007-09-30,2007-09-30,21.0,,
2007-12-31,2007-12-31,12.7,,
2008-03-31,2008-03-31,37.0,,
2008-06-30,2008-06-30,36.8,,
2008-09-30,2008-09-30,47.6,,
2008-12-31,2008-12-31,67.0,,
2009-03-31,2009-03-31,71.7,,
2009-06-30,2009-06-30,46.8,,
2009-09-30,2009-09-30,35.6,,
2009-12-31,2009-12-31,22.5,,
2010-03-31,2010-03-31,2.4,,
2010-06-30,2010-06-30,-2.5,,
2010-09-30,2010-09-30,-17.1,,
2010-12-31,2010-12-31,-15.7,,
2011-03-31,2011-03-31,-19.9,,
2011-06-30,2011-06-30,-5.0,,
2011-09-30,2011-09-30,20.0,,
2011-12-31,2011-12-31,25.5,,
2012-03-31,2012-03-31,21.9,,
2012-06-30,2012-06-30,0.0,,
2012-09-30,2012-09-30,13.5,,
2012-12-31,2012-12-31,9.4,,
2013-03-31,2013-03-31,11.2,,
2013-06-30,2013-06-30,2.1,,
2013-09-30,2013-09-30,-15.9,,
2013-12-31,2013-12-31,-5.4,,
2014-03-31,2014-03-31,9.4,,
2014-06-30,2014-06-30,-2.1,,
2014-09-30,2014-09-30,-4.0,,
2014-12-31,2014-12-31,-1.4,,
2015-03-31,2015-03-31,-0.8,,
2015-06-30,2015-06-30,-3.4,,
2015-09-30,2015-09-30,-0.6,,
2015-12-31,2015-12-31,11.5,,
2016-03-31,2016-03-31,0.0,,
2016-06-30,2016-06-30,0.0,,
2016-09-30,2016-09-30,0.0,,
2016-12-31,2016-12-31,0.0,,
2017-03-31,2017-03-31,1.7,,
2017-06-30,2017-06-30,11.5,,
2017-09-30,2017-09-30,11.6,,
2017-12-31,2017-12-31,12.7,,
2018-03-31,2018-03-31,4.5,,
2018-06-30,2018-06-30,10.4,,
2018-09-30,2018-09-30,0.0,,
2018-12-31,2018-12-31,15.4,,
2019-03-31,2019-03-31,16.7,,
2019-06-30,2019-06-30,15.7,,
2019-09-30,2019-09-30,10.4,,
2019-12-31,2019-12-31,13.4,,
2020-03-31,2020-03-31,62.1,,
2020-06-30,2020-06-30,52.3,,
2020-09-30,2020-09-30,46.1,,
2020-12-31,2020-12-31,25.9,,
2021-03-31,2021-03-31,17.8,,
2021-06-30,2021-06-30,21.5,,
2021-09-30,2021-09-30,15.7,,
2021-12-31,2021-12-31,20.7,,
2022-03-31,2022-03-31,22.0,,
2022-06-30,2022-06-30,22.5,,
2022-09-30,2022-09-30,36.3,,
2022-12-31,2022-12-31,17.1,,
2023-03-31,2023-03-31,19.5,,
2023-06-30,2023-06-30,3.2,,
2023-09-30,2023-09-30,5.1,,
2023-12-31,2023-12-31,7.8,,
2024-03-31,2024-03-31,15.6,,
2024-06-30,2024-06-30,3.3,,
2024-09-30,2024-09-30,1.4,,
2024-12-31,2024-12-31,1.4,,
2025-03-31,2025-03-31,4.9,,
