Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,240.17,,
2003-07-31,2003-07-31,196.76,,
2003-08-31,2003-08-31,89.34,,
2003-09-30,2003-09-30,439.37,,
2003-10-31,2003-10-31,181.59,,
2003-11-30,2003-11-30,169.06,,
2003-12-31,2003-12-31,155.45,,
2004-01-31,2004-01-31,197.59,,
2004-02-29,2004-02-29,91.46,,
2004-03-31,2004-03-31,466.96,,
2004-04-30,2004-04-30,187.0,,
2004-05-31,2004-05-31,194.48,,
2004-06-30,2004-06-30,239.08,,
2004-07-31,2004-07-31,187.63,,
2004-08-31,2004-08-31,85.0,,
2004-09-30,2004-09-30,430.76,,
2004-10-31,2004-10-31,170.87,,
2004-11-30,2004-11-30,172.09,,
2004-12-31,2004-12-31,144.35,,
2005-01-31,2005-01-31,181.47,,
2005-02-28,2005-02-28,77.09,,
2005-03-31,2005-03-31,442.94,,
2005-04-30,2005-04-30,179.46,,
2005-05-31,2005-05-31,187.9,,
2005-06-30,2005-06-30,227.62,,
2005-07-31,2005-07-31,175.28,,
2005-08-31,2005-08-31,83.07,,
2005-09-30,2005-09-30,417.05,,
2005-10-31,2005-10-31,152.5,,
2005-11-30,2005-11-30,158.47,,
2005-12-31,2005-12-31,156.87,,
2006-01-31,2006-01-31,157.36,,
2006-02-28,2006-02-28,76.0,,
2006-03-31,2006-03-31,435.85,,
2006-04-30,2006-04-30,163.22,,
2006-05-31,2006-05-31,190.0,,
2006-06-30,2006-06-30,219.5,,
2006-07-31,2006-07-31,168.02,,
2006-08-31,2006-08-31,77.96,,
2006-09-30,2006-09-30,413.99,,
2006-10-31,2006-10-31,153.85,,
2006-11-30,2006-11-30,155.32,,
2006-12-31,2006-12-31,133.81,,
2007-01-31,2007-01-31,165.6,,
2007-02-28,2007-02-28,73.59,,
2007-03-31,2007-03-31,449.29,,
2007-04-30,2007-04-30,170.16,,
2007-05-31,2007-05-31,185.8,,
2007-06-30,2007-06-30,222.86,,
2007-07-31,2007-07-31,176.28,,
2007-08-31,2007-08-31,77.65,,
2007-09-30,2007-09-30,419.29,,
2007-10-31,2007-10-31,166.8,,
2007-11-30,2007-11-30,158.74,,
2007-12-31,2007-12-31,137.96,,
2008-01-31,2008-01-31,162.1,,
2008-02-29,2008-02-29,69.61,,
2008-03-31,2008-03-31,451.64,,
2008-04-30,2008-04-30,175.67,,
2008-05-31,2008-05-31,179.27,,
2008-06-30,2008-06-30,209.19,,
2008-07-31,2008-07-31,153.42,,
2008-08-31,2008-08-31,63.23,,
2008-09-30,2008-09-30,330.3,,
2008-10-31,2008-10-31,128.35,,
2008-11-30,2008-11-30,100.33,,
2008-12-31,2008-12-31,108.69,,
2009-01-31,2009-01-31,112.09,,
2009-02-28,2009-02-28,54.36,,
2009-03-31,2009-03-31,313.91,,
2009-04-30,2009-04-30,133.48,,
2009-05-31,2009-05-31,134.86,,
2009-06-30,2009-06-30,176.26,,
2009-07-31,2009-07-31,157.15,,
2009-08-31,2009-08-31,67.01,,
2009-09-30,2009-09-30,367.93,,
2009-10-31,2009-10-31,168.94,,
2009-11-30,2009-11-30,158.08,,
2009-12-31,2009-12-31,150.94,,
2010-01-31,2010-01-31,145.48,,
2010-02-28,2010-02-28,68.69,,
2010-03-31,2010-03-31,397.38,,
2010-04-30,2010-04-30,148.79,,
2010-05-31,2010-05-31,153.1,,
2010-06-30,2010-06-30,195.23,,
2010-07-31,2010-07-31,136.45,,
2010-08-31,2010-08-31,55.31,,
2010-09-30,2010-09-30,335.25,,
2010-10-31,2010-10-31,131.5,,
2010-11-30,2010-11-30,139.88,,
2010-12-31,2010-12-31,123.82,,
2011-01-31,2011-01-31,128.81,,
2011-02-28,2011-02-28,63.42,,
2011-03-31,2011-03-31,366.1,,
2011-04-30,2011-04-30,137.75,,
2011-05-31,2011-05-31,150.43,,
2011-06-30,2011-06-30,183.13,,
2011-07-31,2011-07-31,131.63,,
2011-08-31,2011-08-31,59.35,,
2011-09-30,2011-09-30,332.48,,
2011-10-31,2011-10-31,134.94,,
2011-11-30,2011-11-30,134.03,,
2011-12-31,2011-12-31,119.19,,
2012-01-31,2012-01-31,128.85,,
2012-02-29,2012-02-29,61.87,,
2012-03-31,2012-03-31,372.84,,
2012-04-30,2012-04-30,142.32,,
2012-05-31,2012-05-31,162.29,,
2012-06-30,2012-06-30,189.51,,
2012-07-31,2012-07-31,143.88,,
2012-08-31,2012-08-31,59.43,,
2012-09-30,2012-09-30,359.61,,
2012-10-31,2012-10-31,151.25,,
2012-11-30,2012-11-30,149.19,,
2012-12-31,2012-12-31,123.56,,
2013-01-31,2013-01-31,143.64,,
2013-02-28,2013-02-28,66.75,,
2013-03-31,2013-03-31,394.81,,
2013-04-30,2013-04-30,163.36,,
2013-05-31,2013-05-31,180.11,,
2013-06-30,2013-06-30,214.96,,
2013-07-31,2013-07-31,162.23,,
2013-08-31,2013-08-31,65.94,,
2013-09-30,2013-09-30,403.14,,
2013-10-31,2013-10-31,157.31,,
2013-11-30,2013-11-30,159.58,,
2013-12-31,2013-12-31,152.92,,
2014-01-31,2014-01-31,154.56,,
2014-02-28,2014-02-28,68.74,,
2014-03-31,2014-03-31,464.82,,
2014-04-30,2014-04-30,176.82,,
2014-05-31,2014-05-31,194.03,,
2014-06-30,2014-06-30,228.29,,
2014-07-31,2014-07-31,172.91,,
2014-08-31,2014-08-31,72.16,,
2014-09-30,2014-09-30,425.86,,
2014-10-31,2014-10-31,179.71,,
2014-11-30,2014-11-30,172.33,,
2014-12-31,2014-12-31,166.2,,
2015-01-31,2015-01-31,164.86,,
2015-02-28,2015-02-28,76.96,,
2015-03-31,2015-03-31,492.77,,
2015-04-30,2015-04-30,185.78,,
2015-05-31,2015-05-31,198.71,,
2015-06-30,2015-06-30,257.82,,
2015-07-31,2015-07-31,178.42,,
2015-08-31,2015-08-31,79.06,,
2015-09-30,2015-09-30,462.52,,
2015-10-31,2015-10-31,177.66,,
2015-11-30,2015-11-30,178.88,,
2015-12-31,2015-12-31,180.08,,
2016-01-31,2016-01-31,169.68,,
2016-02-29,2016-02-29,83.4,,
2016-03-31,2016-03-31,518.71,,
2016-04-30,2016-04-30,189.51,,
2016-05-31,2016-05-31,203.59,,
2016-06-30,2016-06-30,255.77,,
2016-07-31,2016-07-31,178.52,,
2016-08-31,2016-08-31,81.64,,
2016-09-30,2016-09-30,469.7,,
2016-10-31,2016-10-31,180.17,,
2016-11-30,2016-11-30,184.1,,
2016-12-31,2016-12-31,178.02,,
2017-01-31,2017-01-31,174.56,,
2017-02-28,2017-02-28,83.12,,
2017-03-31,2017-03-31,562.34,,
2017-04-30,2017-04-30,152.08,,
2017-05-31,2017-05-31,186.27,,
2017-06-30,2017-06-30,243.45,,
2017-07-31,2017-07-31,162.0,,
2017-08-31,2017-08-31,76.43,,
2017-09-30,2017-09-30,426.17,,
2017-10-31,2017-10-31,158.19,,
2017-11-30,2017-11-30,163.54,,
2017-12-31,2017-12-31,152.47,,
2018-01-31,2018-01-31,163.62,,
2018-02-28,2018-02-28,80.81,,
2018-03-31,2018-03-31,474.07,,
2018-04-30,2018-04-30,167.91,,
2018-05-31,2018-05-31,192.65,,
2018-06-30,2018-06-30,234.95,,
2018-07-31,2018-07-31,163.9,,
2018-08-31,2018-08-31,94.09,,
2018-09-30,2018-09-30,338.83,,
2018-10-31,2018-10-31,153.6,,
2018-11-30,2018-11-30,158.64,,
2018-12-31,2018-12-31,144.09,,
2019-01-31,2019-01-31,161.01,,
2019-02-28,2019-02-28,81.97,,
2019-03-31,2019-03-31,458.05,,
2019-04-30,2019-04-30,161.06,,
2019-05-31,2019-05-31,183.72,,
2019-06-30,2019-06-30,223.42,,
2019-07-31,2019-07-31,157.2,,
2019-08-31,2019-08-31,92.57,,
2019-09-30,2019-09-30,343.26,,
2019-10-31,2019-10-31,143.25,,
2019-11-30,2019-11-30,156.62,,
2019-12-31,2019-12-31,149.0,,
2020-01-31,2020-01-31,149.28,,
2020-02-29,2020-02-29,79.59,,
2020-03-31,2020-03-31,254.68,,
2020-04-30,2020-04-30,4.32,,
2020-05-31,2020-05-31,20.25,,
2020-06-30,2020-06-30,145.38,,
2020-07-31,2020-07-31,174.89,,
2020-08-31,2020-08-31,87.23,,
2020-09-30,2020-09-30,328.04,,
2020-10-31,2020-10-31,140.95,,
2020-11-30,2020-11-30,113.78,,
2020-12-31,2020-12-31,132.68,,
2021-01-31,2021-01-31,90.25,,
2021-02-28,2021-02-28,51.31,,
2021-03-31,2021-03-31,283.96,,
2021-04-30,2021-04-30,141.58,,
2021-05-31,2021-05-31,156.74,,
2021-06-30,2021-06-30,186.13,,
2021-07-31,2021-07-31,123.3,,
2021-08-31,2021-08-31,68.03,,
2021-09-30,2021-09-30,215.31,,
2021-10-31,2021-10-31,106.27,,
2021-11-30,2021-11-30,115.71,,
2021-12-31,2021-12-31,108.6,,
2022-01-31,2022-01-31,115.09,,
2022-02-28,2022-02-28,58.99,,
2022-03-31,2022-03-31,243.48,,
2022-04-30,2022-04-30,119.17,,
2022-05-31,2022-05-31,124.39,,
2022-06-30,2022-06-30,140.96,,
2022-07-31,2022-07-31,112.16,,
2022-08-31,2022-08-31,68.86,,
2022-09-30,2022-09-30,225.27,,
2022-10-31,2022-10-31,134.34,,
2022-11-30,2022-11-30,142.89,,
2022-12-31,2022-12-31,128.46,,
2023-01-31,2023-01-31,131.99,,
2023-02-28,2023-02-28,74.44,,
2023-03-31,2023-03-31,287.83,,
2023-04-30,2023-04-30,132.99,,
2023-05-31,2023-05-31,145.2,,
2023-06-30,2023-06-30,177.27,,
2023-07-31,2023-07-31,143.92,,
2023-08-31,2023-08-31,85.66,,
2023-09-30,2023-09-30,272.61,,
2023-10-31,2023-10-31,153.53,,
2023-11-30,2023-11-30,156.53,,
2023-12-31,2023-12-31,141.09,,
2024-01-31,2024-01-31,142.88,,
2024-02-29,2024-02-29,84.89,,
2024-03-31,2024-03-31,317.79,,
2024-04-30,2024-04-30,134.27,,
2024-05-31,2024-05-31,147.68,,
2024-06-30,2024-06-30,179.26,,
2024-07-31,2024-07-31,147.52,,
2024-08-31,2024-08-31,84.58,,
2024-09-30,2024-09-30,275.24,,
2024-10-31,2024-10-31,144.29,,
2024-11-30,2024-11-30,153.61,,
2024-12-31,2024-12-31,140.79,,
2025-01-31,2025-01-31,139.35,,
2025-02-28,2025-02-28,84.05,,
2025-03-31,2025-03-31,357.1,,
2025-04-30,2025-04-30,120.33,,
2025-05-31,2025-05-31,150.07,,
