Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2018-05-25,2018-05-25,128.9,,
2018-06-08,2018-06-08,126.7,,
2018-06-15,2018-06-15,124.7,,
2018-06-22,2018-06-22,124.9,,
2018-06-29,2018-06-29,126.4,,
2018-07-06,2018-07-06,121.7,,
2018-10-05,2018-10-05,124.4,,
2018-10-19,2018-10-19,120.1,,
2018-11-09,2018-11-09,120.8,,
2018-11-23,2018-11-23,123.9,,
2018-11-30,2018-11-30,121.6,,
2018-12-07,2018-12-07,120.7,,
2018-12-14,2018-12-14,113.1,,
2019-01-04,2019-01-04,93.1,,
2019-01-11,2019-01-11,102.6,,
2019-01-18,2019-01-18,105.3,,
2019-02-01,2019-02-01,116.9,,
2019-02-15,2019-02-15,121.4,,
2019-02-22,2019-02-22,117.9,,
2019-12-27,2019-12-27,83.7,,
2020-01-03,2020-01-03,88.2,,
2020-01-10,2020-01-10,91.3,,
2020-02-07,2020-02-07,102.1,,
2020-02-21,2020-02-21,94.7,,
2020-03-06,2020-03-06,104.7,,
2020-03-20,2020-03-20,91.8,,
2020-03-27,2020-03-27,80.2,,
2020-04-03,2020-04-03,67.8,,
2020-04-17,2020-04-17,52.2,,
2020-04-24,2020-04-24,44.5,,
2020-05-01,2020-05-01,41.1,,
2020-05-15,2020-05-15,37.9,,
2020-05-22,2020-05-22,39.3,,
2020-05-29,2020-05-29,39.9,,
2020-06-05,2020-06-05,40.5,,
2020-06-12,2020-06-12,45.0,,
2020-06-19,2020-06-19,44.5,,
2020-06-26,2020-06-26,46.5,,
2020-07-03,2020-07-03,42.8,,
2020-07-10,2020-07-10,43.9,,
2020-07-17,2020-07-17,47.9,,
2020-07-24,2020-07-24,47.4,,
2020-07-31,2020-07-31,49.2,,
2020-08-07,2020-08-07,58.2,,
2020-08-14,2020-08-14,58.5,,
2020-08-21,2020-08-21,58.7,,
2020-08-28,2020-08-28,59.3,,
2020-09-04,2020-09-04,54.0,,
2020-09-11,2020-09-11,57.5,,
2020-09-18,2020-09-18,59.4,,
2020-09-25,2020-09-25,64.0,,
2020-10-02,2020-10-02,65.9,,
2020-10-09,2020-10-09,67.6,,
2020-10-16,2020-10-16,70.6,,
2020-10-23,2020-10-23,75.0,,
2020-10-30,2020-10-30,75.1,,
2020-11-06,2020-11-06,71.9,,
2020-11-13,2020-11-13,73.5,,
2020-11-20,2020-11-20,74.4,,
2020-11-27,2020-11-27,79.1,,
2020-12-04,2020-12-04,77.2,,
2020-12-11,2020-12-11,71.8,,
2020-12-18,2020-12-18,74.8,,
2021-01-08,2021-01-08,65.8,,
2021-01-15,2021-01-15,64.4,,
