Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2003-12-31,0.37184,,
2004-12-31,2004-12-31,0.60341,,
2005-12-31,2005-12-31,1.23138,,
2006-12-31,2006-12-31,1.68432,,
2007-12-31,2007-12-31,2.56062,,
2008-12-31,2008-12-31,0.81128,,
2009-12-31,2009-12-31,-4.90266,,
2010-12-31,2010-12-31,-3.73417,,
2011-12-31,2011-12-31,-3.61248,,
2012-12-31,2012-12-31,-3.16416,,
2013-12-31,2013-12-31,-2.53177,,
2014-12-31,2014-12-31,-0.76965,,
2015-12-31,2015-12-31,-0.12002,,
2016-12-31,2016-12-31,0.16075,,
2017-12-31,2017-12-31,1.22674,,
2018-12-31,2018-12-31,1.2368,,
2019-12-31,2019-12-31,1.65163,,
2020-12-31,2020-12-31,-9.68415,,
2021-12-31,2021-12-31,-2.73733,,
2022-12-31,2022-12-31,0.71556,,
2023-12-31,2023-12-31,-0.05874,,
2024-12-31,2024-12-31,-0.10902,,
