Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-08-31,2005-09-12,1.9,2.1,2.1
2005-09-30,2005-10-10,2.1,1.9,1.8
2005-10-31,2005-11-14,1.3,1.9,1.8
2005-11-30,2005-12-12,1.3,1.3,1.2
2005-12-31,2006-01-16,1.6,1.5,1.5
2006-12-31,2007-01-15,2.3,2.5,2.5
2007-01-31,2007-02-12,2.2,2.3,2.3
2007-02-28,2007-03-12,2.7,2.3,2.3
2007-03-31,2007-04-16,2.9,2.7,2.7
2007-04-30,2007-05-14,2.3,2.7,2.7
2007-05-31,2007-06-11,2.4,2.3,2.4
2007-06-30,2007-07-09,2.1,2.4,2.5
2007-07-31,2007-08-13,2.3,2.2,2.2
2007-08-31,2007-09-10,2.4,2.3,2.3
2007-09-30,2007-10-08,2.2,2.4,2.3
2007-10-31,2007-11-12,2.3,2.2,2.2
2007-11-30,2007-12-10,2.2,2.4,2.4
2007-12-31,2008-01-14,2.5,2.3,2.3
2008-01-31,2008-02-11,3.1,2.6,2.5
2008-02-29,2008-03-10,3.0,3.2,3.2
2008-03-31,2008-04-14,3.1,3.0,3.0
2008-04-30,2008-05-12,4.6,3.2,3.2
2008-05-31,2008-06-09,5.9,4.8,5.0
2008-06-30,2008-07-14,6.4,6.5,6.5
2008-07-31,2008-08-11,6.7,6.5,6.5
2008-08-31,2008-09-08,6.4,6.6,6.6
2008-09-30,2008-10-13,5.4,6.0,6.0
2008-10-31,2008-11-10,4.9,5.1,5.0
2008-11-30,2008-12-08,5.1,4.4,4.4
2008-12-31,2009-01-09,5.0,4.7,4.6
2009-01-31,2009-02-06,4.1,3.8,3.8
2009-02-28,2009-03-06,3.7,3.7,3.7
2009-03-31,2009-04-09,3.3,3.1,3.1
2009-04-30,2009-05-08,2.4,2.3,2.3
2009-05-31,2009-06-05,1.2,1.2,1.1
2009-06-30,2009-07-10,0.1,1.1,1.0
2009-07-31,2009-08-07,0.2,-0.5,-0.5
2009-08-31,2009-09-11,0.7,0.8,0.8
2009-09-30,2009-10-09,1.4,0.9,0.8
2009-10-31,2009-11-06,2.0,2.0,2.0
2009-11-30,2009-12-11,2.0,2.1,2.0
2009-12-31,2010-01-08,2.6,1.9,1.9
2010-01-31,2010-02-05,2.5,2.6,2.8
2010-02-28,2010-03-05,2.9,2.8,2.7
2010-03-31,2010-04-09,3.6,3.1,3.1
2010-04-30,2010-05-07,4.4,3.5,3.5
2010-05-31,2010-06-11,4.4,4.7,4.7
2010-06-30,2010-07-09,4.8,5.1,5.2
2010-07-31,2010-08-06,4.7,4.5,4.5
2010-08-31,2010-09-10,4.6,4.6,4.7
2010-09-30,2010-10-08,4.6,4.3,4.3
2010-10-31,2010-11-05,3.3,4.4,4.4
2010-11-30,2010-12-10,3.3,3.5,3.5
2010-12-31,2011-01-14,2.9,3.0,3.1
2011-01-31,2011-02-11,3.2,3.0,3.0
2011-02-28,2011-03-11,3.1,3.4,3.4
2011-03-31,2011-04-08,3.0,2.9,2.9
2011-04-30,2011-05-06,3.4,3.0,3.0
2011-05-31,2011-06-10,3.4,3.4,3.3
2011-06-30,2011-07-08,3.2,3.3,3.4
2011-07-31,2011-08-05,3.3,3.2,3.2
2011-08-31,2011-09-09,3.6,3.4,3.4
2011-09-30,2011-10-07,3.8,3.7,3.7
2011-10-31,2011-11-11,3.4,3.6,3.6
2011-11-30,2011-12-09,3.2,3.3,3.3
2011-12-31,2012-01-13,3.0,3.2,3.2
2012-01-31,2012-02-10,2.4,2.3,2.6
2012-02-29,2012-03-09,3.0,2.5,2.6
2012-03-31,2012-04-13,2.5,2.6,2.7
2012-04-30,2012-05-11,2.3,1.9,1.9
2012-05-31,2012-06-08,2.1,2.3,2.3
2012-06-30,2012-07-06,2.0,2.0,2.0
2012-07-31,2012-08-10,1.3,1.6,1.6
2012-08-31,2012-09-07,1.2,1.2,1.3
2012-09-30,2012-10-16,1.2,1.0,1.0
2012-10-31,2012-11-13,1.4,1.4,1.4
2012-11-30,2012-12-18,1.4,1.5,1.5
2012-12-31,2013-01-15,1.5,1.5,1.5
2013-01-31,2013-02-12,1.4,1.4,1.4
2013-02-28,2013-03-19,1.3,1.1,1.1
2013-03-31,2013-04-16,1.3,1.4,1.4
2013-04-30,2013-05-21,0.8,0.9,0.9
2013-05-31,2013-06-18,0.8,0.9,1.0
2013-06-30,2013-07-16,1.0,1.1,1.0
2013-07-31,2013-08-13,1.1,1.2,1.2
2013-08-31,2013-09-17,1.0,1.1,1.1
2013-09-30,2013-10-15,0.7,0.9,0.9
2013-10-31,2013-11-12,0.9,0.7,0.6
2013-11-30,2013-12-17,0.7,0.9,0.9
2013-12-31,2014-01-14,1.0,0.9,0.9
2014-01-31,2014-02-18,1.2,0.7,0.8
2014-02-28,2014-03-25,1.1,1.1,1.0
2014-03-31,2014-04-15,1.0,0.9,0.9
2014-04-30,2014-05-20,1.0,1.0,1.0
2014-05-31,2014-06-17,1.0,1.1,1.1
2014-06-30,2014-07-15,1.0,1.0,1.0
2014-07-31,2014-08-19,0.9,0.9,0.9
2014-08-31,2014-09-16,0.9,0.9,0.9
2014-09-30,2014-10-14,0.8,0.9,0.9
2014-10-31,2014-11-18,0.9,0.8,0.8
2014-11-30,2014-12-16,1.4,1.0,1.0
2014-12-31,2015-01-13,0.8,1.2,1.2
2015-01-31,2015-02-17,0.5,0.4,0.4
2015-02-28,2015-03-24,0.2,0.4,0.3
2015-03-31,2015-04-14,0.1,0.1,0.1
2015-04-30,2015-05-19,0.1,0.1,0.1
2015-05-31,2015-06-16,0.1,0.1,0.1
2015-06-30,2015-07-14,0.1,0.1,0.1
2015-07-31,2015-08-18,0.3,0.2,0.2
2015-08-31,2015-09-15,0.1,0.2,0.2
2015-09-30,2015-10-13,0.2,0.2,0.2
2015-10-31,2015-11-17,0.3,0.4,0.4
2015-11-30,2015-12-15,-0.1,0.1,0.1
2015-12-31,2016-01-19,0.1,-0.1,-0.1
2016-01-31,2016-02-16,0.0,0.0,0.0
2016-02-29,2016-03-22,0.2,0.1,0.1
2016-03-31,2016-04-12,0.2,0.3,0.3
2016-04-30,2016-05-17,0.5,0.3,0.3
2016-05-31,2016-06-14,0.5,0.6,0.6
2016-06-30,2016-07-19,0.7,0.6,0.6
2016-07-31,2016-08-16,1.0,0.8,0.8
2016-08-31,2016-09-13,1.3,1.3,1.3
2016-09-30,2016-10-18,1.4,1.4,1.4
2016-10-31,2016-11-15,1.9,1.6,1.6
2016-11-30,2016-12-13,2.2,2.3,2.2
2016-12-31,2017-01-17,2.1,2.2,2.2
2017-01-31,2017-02-14,2.4,2.2,2.2
2017-02-28,2017-03-21,2.4,2.5,2.5
2017-03-31,2017-04-11,2.5,2.5,2.5
2017-04-30,2017-05-16,2.8,2.5,2.5
2017-05-31,2017-06-13,2.8,2.9,2.9
2017-06-30,2017-07-18,2.9,2.8,2.8
2017-07-31,2017-08-15,2.4,2.5,2.5
2017-08-31,2017-09-12,2.5,2.3,2.3
2017-09-30,2017-10-17,2.5,2.6,2.6
2017-10-31,2017-11-14,2.1,2.2,2.2
2017-11-30,2017-12-12,2.2,2.2,2.2
2017-12-31,2018-01-16,2.5,2.3,2.3
2018-01-31,2018-02-13,2.2,2.3,2.3
2018-02-28,2018-03-20,2.4,2.4,2.4
2018-03-31,2018-04-18,2.2,2.2,2.2
2018-04-30,2018-05-23,2.4,2.1,2.1
2018-05-31,2018-06-13,2.1,2.5,2.5
2018-06-30,2018-07-18,2.1,2.1,2.1
2018-07-31,2018-08-15,2.2,2.1,2.1
2018-08-31,2018-09-19,2.1,2.1,2.1
2018-09-30,2018-10-17,2.4,2.3,2.3
2018-10-31,2018-11-14,2.4,2.4,2.4
2018-11-30,2018-12-19,2.4,2.3,2.3
2018-12-31,2019-01-16,2.5,2.4,2.4
2019-01-31,2019-02-13,2.4,2.3,2.4
2019-02-28,2019-03-20,2.2,2.3,2.3
2019-03-31,2019-04-17,2.2,2.3,2.3
2019-04-30,2019-05-22,2.2,2.2,2.2
2019-05-31,2019-06-19,2.0,2.0,2.0
2019-06-30,2019-07-17,1.7,1.7,1.7
2019-07-31,2019-08-14,2.0,1.7,1.7
2019-08-31,2019-09-18,2.0,2.0,1.9
2019-09-30,2019-10-16,1.7,1.9,1.9
2019-10-31,2019-11-13,1.3,1.5,1.5
2019-11-30,2019-12-18,1.1,1.2,1.2
2019-12-31,2020-01-15,0.9,1.0,1.0
2020-01-31,2020-02-19,0.7,0.8,0.7
2020-02-29,2020-03-25,0.4,0.5,0.5
2020-03-31,2020-04-22,0.9,0.5,0.5
2020-04-30,2020-05-20,0.6,0.7,0.7
2020-05-31,2020-06-17,0.6,0.5,0.5
2020-06-30,2020-07-15,0.5,0.5,0.6
2020-07-31,2020-08-19,0.1,0.3,0.3
2020-08-31,2020-09-16,0.0,0.0,0.0
2020-09-30,2020-10-21,0.3,0.1,0.1
2020-10-31,2020-11-18,0.5,0.4,0.4
