Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-08-31,2005-09-12,12.9,13.2,13.1
2005-09-30,2005-10-10,10.3,10.9,10.8
2005-10-31,2005-11-14,7.7,7.2,7.2
2005-11-30,2005-12-12,12.7,9.2,9.3
2005-12-31,2006-01-16,17.2,15.3,15.3
2006-01-31,2006-02-13,16.2,13.7,13.8
2006-02-28,2006-03-13,15.0,15.7,15.5
2006-03-31,2006-04-10,13.1,13.2,13.3
2006-04-30,2006-05-08,15.7,14.8,14.4
2006-05-31,2006-06-12,13.8,15.3,15.2
2006-06-30,2006-07-10,10.9,11.5,11.6
2006-07-31,2006-08-14,9.7,8.9,9.2
2006-08-31,2006-09-11,7.6,8.9,9.0
2006-09-30,2006-10-09,5.1,6.7,6.3
2006-10-31,2006-11-13,3.8,3.7,3.7
2006-11-30,2006-12-11,2.8,1.7,1.7
2006-12-31,2007-01-15,2.0,1.4,1.4
2007-01-31,2007-02-12,-1.6,-0.3,-0.4
2007-02-28,2007-03-12,-1.1,-0.8,-0.9
2007-03-31,2007-04-16,0.7,0.2,0.1
2007-04-30,2007-05-14,-0.2,0.0,0.0
2007-05-31,2007-06-11,1.2,1.0,0.9
2007-06-30,2007-07-09,2.1,2.1,2.1
2007-07-31,2007-08-13,0.1,1.4,1.4
2007-08-31,2007-09-10,0.6,1.3,1.4
2007-09-30,2007-10-08,6.4,4.4,4.4
2007-10-31,2007-11-12,8.6,7.0,6.9
2007-11-30,2007-12-10,10.3,9.2,9.3
2007-12-31,2008-01-14,11.3,10.6,10.6
2008-01-31,2008-02-11,19.1,14.4,14.7
2008-02-29,2008-03-10,19.4,18.3,18.5
2008-03-31,2008-04-14,20.6,19.3,19.3
2008-04-30,2008-05-12,23.3,21.4,20.7
2008-05-31,2008-06-09,27.9,23.8,24.0
2008-06-30,2008-07-14,30.3,29.0,29.1
2008-07-31,2008-08-11,30.1,29.8,29.9
2008-08-31,2008-09-08,26.0,29.0,28.8
2008-09-30,2008-10-13,24.5,19.8,19.8
2008-10-31,2008-11-10,13.8,18.0,17.9
2008-11-30,2008-12-08,7.5,6.5,6.6
2008-12-31,2009-01-09,4.3,3.0,3.1
2009-01-31,2009-02-06,2.3,2.0,2.4
2009-02-28,2009-03-06,0.5,1.1,1.0
2009-03-31,2009-04-09,-0.4,-0.7,-0.7
2009-04-30,2009-05-08,-5.0,-3.5,-3.2
2009-05-31,2009-06-05,-9.4,-8.3,-7.9
2009-06-30,2009-07-10,-11.0,-12.1,-11.7
2009-07-31,2009-08-07,-12.2,-10.9,-11.1
2009-08-31,2009-09-11,-7.5,-8.4,-8.4
2009-09-30,2009-10-09,-6.5,-6.8,-6.4
2009-10-31,2009-11-06,0.1,-1.3,-1.4
2009-11-30,2009-12-11,4.0,4.0,4.3
2009-12-31,2010-01-08,6.9,6.5,6.3
2010-01-31,2010-02-05,8.4,6.5,6.7
2010-02-28,2010-03-05,6.9,7.8,7.8
2010-03-31,2010-04-09,10.1,7.1,7.0
2010-04-30,2010-05-07,13.1,13.1,13.0
2010-05-31,2010-06-11,11.2,10.7,11.0
2010-06-30,2010-07-09,10.7,10.2,10.2
2010-07-31,2010-08-06,10.8,11.4,11.4
2010-08-31,2010-09-10,8.1,8.9,8.8
2010-09-30,2010-10-08,9.5,8.6,8.7
2010-10-31,2010-11-05,8.0,7.3,7.3
2010-11-30,2010-12-13,9.0,8.3,8.5
2010-12-31,2011-01-14,12.5,10.2,10.2
2011-01-31,2011-02-11,13.4,12.7,12.8
2011-02-28,2011-03-11,14.6,14.4,14.4
2011-03-31,2011-04-08,14.6,12.5,12.3
2011-04-30,2011-05-06,17.6,16.3,15.3
2011-05-31,2011-06-10,15.7,16.2,16.4
2011-06-30,2011-07-08,17.0,16.1,16.1
2011-07-31,2011-08-05,18.5,18.7,18.5
2011-08-31,2011-09-09,16.2,16.8,17.0
2011-09-30,2011-10-07,17.5,17.1,17.0
2011-10-31,2011-11-11,14.1,14.5,14.6
2011-11-30,2011-12-09,13.4,12.9,12.8
2011-12-31,2012-01-13,8.7,9.1,9.1
2012-01-31,2012-02-10,7.0,6.8,6.7
2012-02-29,2012-03-09,7.3,7.0,6.7
2012-03-31,2012-04-13,5.8,4.8,4.8
2012-04-30,2012-05-11,1.2,2.1,2.2
2012-05-31,2012-06-08,0.1,1.2,1.2
2012-06-30,2012-07-06,-2.3,-2.2,-2.3
2012-07-31,2012-08-10,-2.4,-1.5,-1.7
2012-08-31,2012-09-07,1.4,1.4,1.4
2012-09-30,2012-10-16,-1.2,-0.6,-0.5
2012-10-31,2012-11-13,0.1,-0.5,-0.6
2012-11-30,2012-12-18,-0.3,-0.1,0.0
2012-12-31,2013-01-15,0.3,0.4,0.6
2013-01-31,2013-02-12,1.8,1.0,1.0
2013-02-28,2013-03-19,2.5,0.8,0.8
2013-03-31,2013-04-16,0.4,0.7,0.7
2013-04-30,2013-05-21,-0.1,0.3,0.2
2013-05-31,2013-06-18,2.2,2.5,2.2
2013-06-30,2013-07-16,4.2,4.2,4.2
2013-07-31,2013-08-13,5.0,5.5,5.1
2013-08-31,2013-09-17,2.8,3.0,3.0
2013-09-30,2013-10-15,1.1,2.2,2.4
2013-10-31,2013-11-12,-0.3,0.1,0.2
2013-11-30,2013-12-17,-1.0,-1.0,-0.8
2013-12-31,2014-01-14,-1.2,-1.5,-1.4
2014-01-31,2014-02-18,-3.1,-2.9,-2.8
2014-02-28,2014-03-25,-5.7,-5.3,-5.3
