Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-30,0.6,0.4,0.3
2003-09-30,2003-12-23,0.8,0.7,0.7
2003-12-31,2004-03-26,0.9,0.7,0.7
2004-03-31,2004-06-30,0.7,0.6,0.6
2004-06-30,2004-09-29,0.9,0.9,0.9
2004-09-30,2004-12-23,0.5,0.4,0.4
2004-12-31,2005-03-23,0.7,0.7,0.7
2005-03-31,2005-06-30,0.4,0.5,0.5
2005-06-30,2005-09-28,0.5,0.5,0.5
2005-09-30,2005-12-22,0.4,0.4,0.4
2005-12-31,2006-03-29,0.6,0.6,0.6
2006-03-31,2006-06-30,0.7,0.6,0.6
2006-06-30,2006-09-27,0.7,0.7,0.8
2006-09-30,2006-12-21,0.7,0.6,0.7
2006-12-31,2007-03-28,0.7,0.7,0.8
2007-03-31,2007-06-29,0.7,0.6,0.7
2007-06-30,2007-09-26,0.8,0.7,0.8
2007-09-30,2007-12-20,0.7,0.7,0.8
2007-12-31,2008-03-28,0.6,0.6,0.6
2008-03-31,2008-06-27,0.3,0.4,0.4
2008-06-30,2008-09-30,0.0,0.0,0.1
2008-09-30,2008-12-23,-0.6,-0.2,-0.5
2008-12-31,2009-03-27,-1.6,-1.2,-1.2
2009-03-31,2009-06-30,-2.4,-1.9,-2.1
2009-06-30,2009-09-29,-0.6,-0.8,-0.7
2009-09-30,2009-12-22,-0.2,-0.3,-0.3
2009-12-31,2010-03-30,0.4,0.2,0.2
2010-03-31,2010-07-12,0.3,0.4,0.3
2010-06-30,2010-09-28,1.2,1.1,1.1
2010-09-30,2010-12-22,0.7,0.4,0.8
2010-12-31,2011-03-29,-0.5,-0.6,-0.6
2011-03-31,2011-06-28,0.5,0.5,0.5
2011-06-30,2011-10-05,0.1,0.2,0.2
2011-09-30,2011-12-22,0.6,0.5,0.5
2011-12-31,2012-03-28,-0.3,-0.2,-0.2
2012-03-31,2012-06-28,-0.3,-0.3,-0.3
2012-06-30,2012-09-27,-0.4,-0.5,-0.5
2012-09-30,2012-12-21,0.9,1.0,1.0
2012-12-31,2013-03-27,-0.3,-0.3,-0.3
2013-03-31,2013-06-27,0.3,0.3,0.3
2013-06-30,2013-09-26,0.7,0.7,0.7
2013-09-30,2013-12-20,0.8,0.8,0.8
2013-12-31,2014-03-28,0.7,0.7,0.7
2014-03-31,2014-06-27,0.8,0.8,0.8
2014-06-30,2014-09-30,0.9,0.8,0.8
2014-09-30,2014-12-23,0.7,0.7,0.7
2014-12-31,2015-03-31,0.6,0.5,0.5
2015-03-31,2015-06-30,0.4,0.4,0.4
2015-06-30,2015-09-30,0.7,0.7,0.7
2015-09-30,2015-12-23,0.4,0.5,0.5
2015-12-31,2016-03-31,0.6,0.5,0.5
2016-03-31,2016-06-30,0.4,0.4,0.4
2016-06-30,2016-09-30,0.7,0.6,0.6
2016-09-30,2016-12-23,0.6,0.5,0.5
2016-12-31,2017-03-31,0.7,0.7,0.7
2017-03-31,2017-06-30,0.2,0.2,0.2
2017-06-30,2017-09-29,0.3,0.3,0.3
2017-09-30,2017-12-22,0.4,0.4,0.4
2017-12-31,2018-03-29,0.4,0.4,0.4
2018-03-31,2018-06-29,0.2,0.1,0.1
2018-06-30,2018-09-28,0.4,0.4,0.4
2018-09-30,2018-12-21,0.6,0.6,0.6
2018-12-31,2019-03-29,0.2,0.2,0.2
2019-03-31,2019-06-28,0.5,0.5,0.5
2019-06-30,2019-09-30,-0.2,-0.2,-0.2
2019-09-30,2019-12-20,0.4,0.3,0.3
2019-12-31,2020-03-31,0.0,0.0,0.0
2020-03-31,2020-06-30,-2.2,-2.0,-2.0
2020-06-30,2020-09-30,-19.8,-20.4,-20.3
2020-09-30,2020-12-22,16.0,15.5,15.5
2020-12-31,2021-03-31,1.3,1.0,1.0
2021-03-31,2021-06-30,-1.6,-1.5,-1.5
2021-06-30,2021-09-30,5.5,4.8,4.8
2021-09-30,2021-12-22,1.1,1.3,1.3
2021-12-31,2022-03-31,1.3,1.0,1.0
2022-03-31,2022-06-30,0.8,0.8,0.8
2022-06-30,2022-09-30,0.2,-0.1,-0.1
2022-09-30,2022-12-22,-0.3,-0.2,-0.2
2022-12-31,2023-03-31,0.1,0.0,0.0
2023-03-31,2023-06-30,0.1,0.1,0.1
2023-06-30,2023-09-29,0.2,0.2,0.2
2023-09-30,2023-12-22,-0.1,0.0,0.0
2023-12-31,2024-03-28,-0.3,-0.3,-0.3
2024-03-31,2024-06-28,0.7,0.6,0.6
2024-06-30,2024-09-30,0.5,0.6,0.6
2024-09-30,2024-12-23,0.0,0.1,0.1
2024-12-31,2025-03-28,0.1,0.1,0.1
2025-03-31,2025-05-15,0.7,0.6,0.6
