Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,156.0,,
2003-07-31,2003-07-31,145.0,,
2003-08-31,2003-08-31,155.0,,
2003-09-30,2003-09-30,155.0,,
2003-10-31,2003-10-31,157.0,,
2003-11-30,2003-11-30,151.0,,
2003-12-31,2003-12-31,141.0,,
2004-01-31,2004-01-31,143.0,,
2004-02-29,2004-02-29,139.0,,
2004-03-31,2004-03-31,144.0,,
2004-04-30,2004-04-30,144.0,,
2004-05-31,2004-05-31,145.0,,
2004-06-30,2004-06-30,147.0,,
2004-07-31,2004-07-31,137.0,,
2004-08-31,2004-08-31,138.0,,
2004-09-30,2004-09-30,130.0,,
2004-10-31,2004-10-31,136.0,,
2004-11-30,2004-11-30,139.0,,
2004-12-31,2004-12-31,143.0,,
2005-01-31,2005-01-31,140.0,,
2005-02-28,2005-02-28,143.0,,
2005-03-31,2005-03-31,139.0,,
2005-04-30,2005-04-30,133.0,,
2005-05-31,2005-05-31,128.0,,
2005-06-30,2005-06-30,129.0,,
2005-07-31,2005-07-31,140.0,,
2005-08-31,2005-08-31,152.0,,
2005-09-30,2005-09-30,156.0,,
2005-10-31,2005-10-31,143.0,,
2005-11-30,2005-11-30,139.0,,
2005-12-31,2005-12-31,145.0,,
2006-01-31,2006-01-31,148.0,,
2006-02-28,2006-02-28,149.0,,
2006-03-31,2006-03-31,148.0,,
2006-04-30,2006-04-30,153.0,,
2006-05-31,2006-05-31,146.0,,
2006-06-30,2006-06-30,137.0,,
2006-07-31,2006-07-31,135.0,,
2006-08-31,2006-08-31,132.0,,
2006-09-30,2006-09-30,137.0,,
2006-10-31,2006-10-31,137.0,,
2006-11-30,2006-11-30,136.0,,
2006-12-31,2006-12-31,132.0,,
2007-01-31,2007-01-31,142.0,,
2007-02-28,2007-02-28,153.0,,
2007-03-31,2007-03-31,153.0,,
2007-04-30,2007-04-30,136.0,,
2007-05-31,2007-05-31,124.0,,
2007-06-30,2007-06-30,117.0,,
2007-07-31,2007-07-31,115.0,,
2007-08-31,2007-08-31,113.0,,
2007-09-30,2007-09-30,129.0,,
2007-10-31,2007-10-31,128.0,,
2007-11-30,2007-11-30,124.0,,
2007-12-31,2007-12-31,110.0,,
2008-01-31,2008-01-31,116.0,,
2008-02-29,2008-02-29,115.0,,
2008-03-31,2008-03-31,120.0,,
2008-04-30,2008-04-30,116.0,,
2008-05-31,2008-05-31,121.0,,
2008-06-30,2008-06-30,122.0,,
2008-07-31,2008-07-31,134.0,,
2008-08-31,2008-08-31,140.0,,
2008-09-30,2008-09-30,155.0,,
2008-10-31,2008-10-31,177.0,,
2008-11-30,2008-11-30,228.0,,
2008-12-31,2008-12-31,263.0,,
2009-01-31,2009-01-31,277.0,,
2009-02-28,2009-02-28,283.0,,
2009-03-31,2009-03-31,300.0,,
2009-04-30,2009-04-30,311.0,,
2009-05-31,2009-05-31,306.0,,
2009-06-30,2009-06-30,269.0,,
2009-07-31,2009-07-31,233.0,,
2009-08-31,2009-08-31,214.0,,
2009-09-30,2009-09-30,205.0,,
2009-10-31,2009-10-31,191.0,,
2009-11-30,2009-11-30,182.0,,
2009-12-31,2009-12-31,167.0,,
2010-01-31,2010-01-31,166.0,,
2010-02-28,2010-02-28,161.0,,
2010-03-31,2010-03-31,177.0,,
2010-04-30,2010-04-30,173.0,,
2010-05-31,2010-05-31,160.0,,
2010-06-30,2010-06-30,151.0,,
2010-07-31,2010-07-31,141.0,,
2010-08-31,2010-08-31,143.0,,
2010-09-30,2010-09-30,145.0,,
2010-10-31,2010-10-31,160.0,,
2010-11-30,2010-11-30,160.0,,
2010-12-31,2010-12-31,148.0,,
2011-01-31,2011-01-31,143.0,,
2011-02-28,2011-02-28,127.0,,
2011-03-31,2011-03-31,123.0,,
2011-04-30,2011-04-30,117.0,,
2011-05-31,2011-05-31,145.0,,
2011-06-30,2011-06-30,156.0,,
2011-07-31,2011-07-31,164.0,,
2011-08-31,2011-08-31,151.0,,
2011-09-30,2011-09-30,148.0,,
2011-10-31,2011-10-31,163.0,,
2011-11-30,2011-11-30,165.0,,
2011-12-31,2011-12-31,165.0,,
2012-01-31,2012-01-31,173.0,,
2012-02-29,2012-02-29,175.0,,
2012-03-31,2012-03-31,173.0,,
2012-04-30,2012-04-30,156.0,,
2012-05-31,2012-05-31,148.0,,
2012-06-30,2012-06-30,151.0,,
2012-07-31,2012-07-31,143.0,,
2012-08-31,2012-08-31,131.0,,
2012-09-30,2012-09-30,129.0,,
2012-10-31,2012-10-31,147.0,,
2012-11-30,2012-11-30,159.0,,
2012-12-31,2012-12-31,146.0,,
2013-01-31,2013-01-31,133.0,,
2013-02-28,2013-02-28,138.0,,
2013-03-31,2013-03-31,141.0,,
2013-04-30,2013-04-30,142.0,,
2013-05-31,2013-05-31,119.0,,
2013-06-30,2013-06-30,124.0,,
2013-07-31,2013-07-31,122.0,,
2013-08-31,2013-08-31,133.0,,
2013-09-30,2013-09-30,125.0,,
2013-10-31,2013-10-31,120.0,,
2013-11-30,2013-11-30,111.0,,
2013-12-31,2013-12-31,111.0,,
2014-01-31,2014-01-31,117.0,,
2014-02-28,2014-02-28,116.0,,
2014-03-31,2014-03-31,126.0,,
2014-04-30,2014-04-30,121.0,,
2014-05-31,2014-05-31,118.0,,
2014-06-30,2014-06-30,112.0,,
2014-07-31,2014-07-31,92.0,,
2014-08-31,2014-08-31,95.0,,
2014-09-30,2014-09-30,91.0,,
2014-10-31,2014-10-31,102.0,,
2014-11-30,2014-11-30,103.0,,
2014-12-31,2014-12-31,107.0,,
2015-01-31,2015-01-31,114.0,,
2015-02-28,2015-02-28,108.0,,
2015-03-31,2015-03-31,110.0,,
2015-04-30,2015-04-30,110.0,,
2015-05-31,2015-05-31,119.0,,
2015-06-30,2015-06-30,113.0,,
2015-07-31,2015-07-31,107.0,,
2015-08-31,2015-08-31,106.0,,
2015-09-30,2015-09-30,112.0,,
2015-10-31,2015-10-31,105.0,,
2015-11-30,2015-11-30,102.0,,
2015-12-31,2015-12-31,98.0,,
2016-01-31,2016-01-31,111.0,,
2016-02-29,2016-02-29,112.0,,
2016-03-31,2016-03-31,111.0,,
2016-04-30,2016-04-30,102.0,,
2016-05-31,2016-05-31,104.0,,
2016-06-30,2016-06-30,112.0,,
2016-07-31,2016-07-31,122.0,,
2016-08-31,2016-08-31,119.0,,
2016-09-30,2016-09-30,114.0,,
2016-10-31,2016-10-31,118.0,,
2016-11-30,2016-11-30,123.0,,
2016-12-31,2016-12-31,121.0,,
2017-01-31,2017-01-31,117.0,,
2017-02-28,2017-02-28,106.0,,
2017-03-31,2017-03-31,95.0,,
2017-04-30,2017-04-30,89.0,,
2017-05-31,2017-05-31,96.0,,
2017-06-30,2017-06-30,112.0,,
2017-07-31,2017-07-31,110.0,,
2017-08-31,2017-08-31,107.0,,
2017-09-30,2017-09-30,102.0,,
2017-10-31,2017-10-31,100.0,,
2017-11-30,2017-11-30,109.0,,
2017-12-31,2017-12-31,107.0,,
2018-01-31,2018-01-31,102.0,,
2018-02-28,2018-02-28,97.0,,
2018-03-31,2018-03-31,95.0,,
2018-04-30,2018-04-30,108.0,,
2018-05-31,2018-05-31,95.0,,
2018-06-30,2018-06-30,98.0,,
2018-07-31,2018-07-31,87.0,,
2018-08-31,2018-08-31,90.0,,
2018-09-30,2018-09-30,84.0,,
2018-10-31,2018-10-31,83.0,,
2018-11-30,2018-11-30,91.0,,
2018-12-31,2018-12-31,91.0,,
2019-01-31,2019-01-31,91.0,,
2019-02-28,2019-02-28,88.0,,
2019-03-31,2019-03-31,92.0,,
2019-04-30,2019-04-30,108.0,,
2019-05-31,2019-05-31,101.0,,
2019-06-30,2019-06-30,103.0,,
2019-07-31,2019-07-31,98.0,,
2019-08-31,2019-08-31,115.0,,
2019-09-30,2019-09-30,119.0,,
2019-10-31,2019-10-31,120.0,,
2019-11-30,2019-11-30,116.0,,
2019-12-31,2019-12-31,110.0,,
2020-01-31,2020-01-31,107.0,,
2020-02-29,2020-02-29,107.0,,
2020-03-31,2020-03-31,106.0,,
2020-04-30,2020-04-30,106.0,,
2020-05-31,2020-05-31,117.0,,
2020-06-30,2020-06-30,132.0,,
2020-07-31,2020-07-31,155.0,,
2020-08-31,2020-08-31,235.0,,
2020-09-30,2020-09-30,317.0,,
2020-10-31,2020-10-31,375.0,,
2020-11-30,2020-11-30,398.0,,
2020-12-31,2020-12-31,354.0,,
2021-01-31,2021-01-31,314.0,,
2021-02-28,2021-02-28,200.0,,
2021-03-31,2021-03-31,152.0,,
2021-04-30,2021-04-30,111.0,,
2021-05-31,2021-05-31,106.0,,
2021-06-30,2021-06-30,99.0,,
2021-07-31,2021-07-31,96.0,,
2021-08-31,2021-08-31,100.0,,
2021-09-30,2021-09-30,106.0,,
2021-10-31,2021-10-31,99.0,,
2021-11-30,2021-11-30,79.0,,
2021-12-31,2021-12-31,73.0,,
2022-01-31,2022-01-31,68.0,,
2022-02-28,2022-02-28,76.0,,
2022-03-31,2022-03-31,70.0,,
2022-04-30,2022-04-30,58.0,,
2022-05-31,2022-05-31,52.0,,
2022-06-30,2022-06-30,55.0,,
2022-07-31,2022-07-31,65.0,,
2022-08-31,2022-08-31,70.0,,
2022-09-30,2022-09-30,78.0,,
2022-10-31,2022-10-31,90.0,,
2022-11-30,2022-11-30,96.0,,
2022-12-31,2022-12-31,97.0,,
2023-01-31,2023-01-31,92.0,,
2023-02-28,2023-02-28,86.0,,
2023-03-31,2023-03-31,80.0,,
2023-04-30,2023-04-30,90.0,,
2023-05-31,2023-05-31,97.0,,
2023-06-30,2023-06-30,110.0,,
2023-07-31,2023-07-31,105.0,,
2023-08-31,2023-08-31,91.0,,
2023-09-30,2023-09-30,75.0,,
2023-10-31,2023-10-31,59.0,,
2023-11-30,2023-11-30,91.0,,
2023-12-31,2023-12-31,114.0,,
2024-01-31,2024-01-31,133.0,,
2024-02-29,2024-02-29,111.0,,
2024-03-31,2024-03-31,89.0,,
2024-04-30,2024-04-30,98.0,,
2024-05-31,2024-05-31,99.0,,
2024-06-30,2024-06-30,111.0,,
2024-07-31,2024-07-31,86.0,,
2024-08-31,2024-08-31,83.0,,
2024-09-30,2024-09-30,92.0,,
2024-10-31,2024-10-31,99.0,,
2024-11-30,2024-11-30,112.0,,
2024-12-31,2024-12-31,114.0,,
2025-01-31,2025-01-31,124.0,,
2025-02-28,2025-02-28,117.0,,
2025-03-31,2025-03-31,110.0,,
