Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-04-30,2004-05-06,,59.0,58.9
2004-05-31,2004-06-03,,59.0,58.9
2004-06-30,2004-07-05,,57.7,57.6
2004-07-31,2004-08-04,,56.5,56.7
2004-08-31,2004-09-03,,56.0,56.0
2004-09-30,2004-10-05,,56.5,56.4
2004-10-31,2004-11-03,,54.5,54.5
2004-11-30,2004-12-03,,55.8,55.9
2004-12-31,2005-01-06,,56.5,56.6
2005-01-31,2005-02-03,,55.5,55.2
2005-02-28,2005-03-03,,56.0,55.9
2005-03-31,2005-04-05,,55.1,55.1
2005-04-30,2005-05-05,,56.5,56.6
2005-05-31,2005-06-03,,56.0,56.2
2005-06-30,2005-07-04,,54.6,54.8
2005-07-31,2005-08-03,,55.3,55.4
2005-08-31,2005-09-05,,56.0,56.0
2005-09-30,2005-10-05,,55.0,55.2
2005-10-31,2005-11-03,,55.0,55.0
2005-11-30,2005-12-05,,56.0,56.0
2005-12-31,2006-01-05,,56.0,55.9
2006-01-31,2006-02-03,,57.5,57.5
2006-02-28,2006-03-03,,57.1,56.9
2006-03-31,2006-04-05,,58.5,58.4
2006-04-30,2006-05-04,,57.6,57.6
2006-05-31,2006-06-05,,58.9,58.8
2006-06-30,2006-07-05,,59.0,59.0
2006-07-31,2006-08-03,,58.5,58.5
2006-08-31,2006-09-05,,57.5,57.7
2006-09-30,2006-10-04,,56.5,56.8
2006-10-31,2006-11-03,,56.7,56.8
2006-11-30,2006-12-05,,58.8,58.6
2006-12-31,2007-01-04,,59.5,59.4
2007-01-31,2007-02-05,,60.0,60.0
2007-02-28,2007-03-05,,59.0,59.2
2007-03-31,2007-04-04,,57.5,57.5
2007-04-30,2007-05-03,,57.5,57.6
2007-05-31,2007-06-05,,57.0,57.1
2007-06-30,2007-07-04,,57.0,57.2
2007-07-31,2007-08-03,,57.5,57.5
2007-08-31,2007-09-05,,56.5,56.6
2007-09-30,2007-10-03,,56.8,56.4
2007-10-31,2007-11-05,,56.0,56.0
2007-11-30,2007-12-05,,52.9,52.9
2007-12-31,2008-01-04,,51.6,51.5
2008-01-31,2008-02-05,,52.0,51.9
2008-02-29,2008-03-05,,52.0,52.0
2008-03-31,2008-04-03,,53.3,53.3
2008-04-30,2008-05-06,,51.7,51.6
2008-05-31,2008-06-04,,50.5,50.4
2008-06-30,2008-07-03,,49.5,49.5
2008-07-31,2008-08-05,,46.6,46.5
2008-08-31,2008-09-03,,47.0,46.9
2008-09-30,2008-10-03,,48.0,48.1
2008-10-31,2008-11-05,,44.5,44.4
2008-11-30,2008-12-03,,41.2,41.2
2008-12-31,2009-01-06,,39.0,38.9
2009-01-31,2009-02-04,,40.3,40.1
2009-02-28,2009-03-04,,41.9,41.8
2009-03-31,2009-04-03,,43.5,43.4
2009-04-30,2009-05-06,,46.3,46.3
2009-05-31,2009-06-03,,49.5,49.5
2009-06-30,2009-07-03,,51.5,51.6
2009-07-31,2009-08-05,,51.8,51.7
2009-08-31,2009-09-03,,54.0,53.8
2009-09-30,2009-10-05,,54.5,54.4
2009-10-31,2009-11-04,,55.5,55.3
2009-11-30,2009-12-03,,57.0,57.0
2009-12-31,2010-01-06,,56.8,56.7
2010-01-31,2010-02-03,,56.5,56.4
2010-02-28,2010-03-03,,55.0,54.9
2010-03-31,2010-04-07,,58.0,58.0
2010-04-30,2010-05-06,,57.0,56.8
2010-05-31,2010-06-03,,55.7,55.6
2010-06-30,2010-07-05,,55.0,55.0
2010-07-31,2010-08-04,,54.5,54.4
2010-08-31,2010-09-03,,52.9,52.9
2010-09-30,2010-10-05,,51.0,51.1
2010-10-31,2010-11-03,,52.6,52.6
2010-11-30,2010-12-03,,53.2,53.4
2010-12-31,2011-01-06,,52.8,52.7
2011-01-31,2011-02-03,,51.3,51.3
2011-02-28,2011-03-03,,53.7,53.4
2011-03-31,2011-04-05,,52.6,52.6
2011-04-30,2011-05-05,,56.0,56.0
2011-05-31,2011-06-03,,54.2,54.1
2011-06-30,2011-07-05,,53.5,53.6
2011-07-31,2011-08-03,,53.2,53.3
2011-08-31,2011-09-05,,54.0,53.8
2011-09-30,2011-10-05,,50.5,50.6
2011-10-31,2011-11-03,,52.0,51.9
2011-11-30,2011-12-05,,50.5,50.6
2011-12-31,2012-01-05,,51.5,51.4
2012-01-31,2012-02-03,,53.3,53.3
2012-02-29,2012-03-05,,55.0,54.8
2012-03-31,2012-04-04,,53.4,53.3
2012-04-30,2012-05-03,,54.1,54.2
2012-05-31,2012-06-07,,52.4,52.2
2012-06-30,2012-07-04,,52.9,52.6
2012-07-31,2012-08-03,,51.6,51.6
2012-08-31,2012-09-04,,51.2,51.2
2012-09-30,2012-10-03,,53.0,52.9
2012-10-31,2012-11-05,,52.0,52.0
2012-11-30,2012-12-05,,51.0,51.2
2012-12-31,2013-01-04,,50.2,50.3
2013-01-31,2013-02-05,,49.5,49.7
2013-02-28,2013-03-05,,51.0,51.2
2013-03-31,2013-04-04,,51.5,51.4
2013-04-30,2013-05-03,,52.4,52.3
2013-05-31,2013-06-05,,53.1,53.1
2013-06-30,2013-07-03,,54.5,54.4
2013-07-31,2013-08-05,,57.4,57.3
2013-08-31,2013-09-04,,59.7,59.6
2013-09-30,2013-10-03,,60.5,60.4
2013-10-31,2013-11-05,,60.0,59.9
2013-11-30,2013-12-04,,62.0,61.7
2013-12-31,2014-01-06,,60.3,60.3
2014-01-31,2014-02-05,,59.0,59.0
2014-02-28,2014-03-05,,58.0,58.1
2014-03-31,2014-04-03,,58.2,58.3
2014-04-30,2014-05-06,,57.8,57.7
2014-05-31,2014-06-04,,58.2,58.4
2014-06-30,2014-07-03,,58.3,58.5
2014-07-31,2014-08-05,,58.0,57.9
2014-08-31,2014-09-03,,58.5,58.5
2014-09-30,2014-10-03,,59.0,59.2
2014-10-31,2014-11-05,,58.5,58.5
2014-11-30,2014-12-03,,56.5,56.6
2014-12-31,2015-01-06,,58.5,58.4
2015-01-31,2015-02-04,,56.3,56.4
2015-02-28,2015-03-04,,57.5,57.4
2015-03-31,2015-04-07,,57.0,56.9
2015-04-30,2015-05-06,,58.5,58.5
2015-05-31,2015-06-03,,59.2,59.2
2015-06-30,2015-07-03,,57.5,57.4
2015-07-31,2015-08-05,,58.0,58.0
2015-08-31,2015-09-03,,57.7,57.7
2015-09-30,2015-10-05,,56.0,56.0
2015-10-31,2015-11-04,,54.5,54.4
2015-11-30,2015-12-03,,55.0,55.1
2015-12-31,2016-01-06,,55.6,55.7
2016-01-31,2016-02-03,,55.4,55.3
2016-02-29,2016-03-03,,55.1,55.1
2016-03-31,2016-04-05,,53.5,53.6
2016-04-30,2016-05-05,,53.5,53.6
2016-05-31,2016-06-03,,52.5,52.5
