Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2013-02-28,2013-02-28,2.99,,
2013-03-31,2013-03-31,2.9,,
2013-04-30,2013-04-30,2.5,,
2013-05-31,2013-05-31,2.41,,
2013-06-30,2013-06-30,2.22,,
2013-07-31,2013-07-31,2.39,,
2013-08-31,2013-08-31,2.39,,
2013-09-30,2013-09-30,2.35,,
2013-10-31,2013-10-31,2.26,,
2013-11-30,2013-11-30,2.31,,
2013-12-31,2013-12-31,2.06,,
2014-01-31,2014-01-31,1.94,,
2014-02-28,2014-02-28,1.86,,
2014-03-31,2014-03-31,1.97,,
2014-04-30,2014-04-30,2.38,,
2014-05-31,2014-05-31,2.67,,
2014-06-30,2014-06-30,2.57,,
2014-07-31,2014-07-31,2.31,,
2014-08-31,2014-08-31,2.06,,
2014-09-30,2014-09-30,1.92,,
2014-10-31,2014-10-31,2.06,,
2014-11-30,2014-11-30,1.98,,
2014-12-31,2014-12-31,2.02,,
2015-01-31,2015-01-31,2.11,,
2015-02-28,2015-02-28,1.96,,
2015-03-31,2015-03-31,1.91,,
2015-04-30,2015-04-30,1.99,,
2015-05-31,2015-05-31,1.79,,
2015-06-30,2015-06-30,1.85,,
2015-07-31,2015-07-31,1.95,,
2015-08-31,2015-08-31,1.98,,
2015-09-30,2015-09-30,2.11,,
2015-10-31,2015-10-31,2.28,,
2015-11-30,2015-11-30,2.51,,
2015-12-31,2015-12-31,2.54,,
2016-01-31,2016-01-31,2.6,,
2016-02-29,2016-02-29,2.85,,
2016-03-31,2016-03-31,2.8,,
2016-04-30,2016-04-30,2.73,,
2016-05-31,2016-05-31,2.9,,
2016-06-30,2016-06-30,2.99,,
2016-07-31,2016-07-31,2.81,,
2016-08-31,2016-08-31,3.03,,
2016-09-30,2016-09-30,2.81,,
2016-10-31,2016-10-31,2.47,,
2016-11-30,2016-11-30,2.37,,
2016-12-31,2016-12-31,2.48,,
2017-01-31,2017-01-31,2.48,,
2017-02-28,2017-02-28,2.54,,
2017-03-31,2017-03-31,2.02,,
2017-04-30,2017-04-30,1.8,,
2017-05-31,2017-05-31,1.58,,
2017-06-30,2017-06-30,1.42,,
2017-07-31,2017-07-31,1.39,,
2017-08-31,2017-08-31,1.46,,
2017-09-30,2017-09-30,1.68,,
2017-10-31,2017-10-31,1.9,,
2017-11-30,2017-11-30,1.72,,
2017-12-31,2017-12-31,1.71,,
2018-01-31,2018-01-31,1.75,,
2018-02-28,2018-02-28,1.78,,
2018-03-31,2018-03-31,2.33,,
2018-04-30,2018-04-30,2.31,,
2018-05-31,2018-05-31,2.51,,
2018-06-30,2018-06-30,2.61,,
2018-07-31,2018-07-31,2.74,,
2018-08-31,2018-08-31,2.49,,
2018-09-30,2018-09-30,2.54,,
2018-10-31,2018-10-31,2.33,,
2018-11-30,2018-11-30,2.32,,
2018-12-31,2018-12-31,2.38,,
2019-01-31,2019-01-31,2.2,,
2019-02-28,2019-02-28,2.03,,
2019-03-31,2019-03-31,1.97,,
2019-04-30,2019-04-30,2.11,,
2019-05-31,2019-05-31,1.91,,
2019-06-30,2019-06-30,1.95,,
2019-07-31,2019-07-31,2.04,,
2019-08-31,2019-08-31,2.28,,
2019-09-30,2019-09-30,2.24,,
2019-10-31,2019-10-31,2.47,,
2019-11-30,2019-11-30,2.67,,
2019-12-31,2019-12-31,2.52,,
2020-01-31,2020-01-31,2.66,,
2020-02-29,2020-02-29,2.81,,
2020-03-31,2020-03-31,2.26,,
2020-04-30,2020-04-30,1.04,,
2020-05-31,2020-05-31,0.59,,
2020-06-30,2020-06-30,0.78,,
2020-07-31,2020-07-31,1.54,,
2020-08-31,2020-08-31,1.48,,
2020-09-30,2020-09-30,1.19,,
2020-10-31,2020-10-31,0.82,,
2020-11-30,2020-11-30,1.02,,
2020-12-31,2020-12-31,0.91,,
2021-01-31,2021-01-31,0.5,,
2021-02-28,2021-02-28,0.41,,
2021-03-31,2021-03-31,1.25,,
2021-04-30,2021-04-30,3.05,,
2021-05-31,2021-05-31,3.9,,
2021-06-30,2021-06-30,4.04,,
2021-07-31,2021-07-31,3.51,,
2021-08-31,2021-08-31,3.09,,
2021-09-30,2021-09-30,3.07,,
2021-10-31,2021-10-31,3.51,,
2021-11-30,2021-11-30,3.41,,
2021-12-31,2021-12-31,3.67,,
2022-01-31,2022-01-31,4.19,,
2022-02-28,2022-02-28,4.55,,
2022-03-31,2022-03-31,4.88,,
2022-04-30,2022-04-30,5.12,,
2022-05-31,2022-05-31,5.26,,
2022-06-30,2022-06-30,5.44,,
2022-07-31,2022-07-31,5.1,,
2022-08-31,2022-08-31,5.7,,
2022-09-30,2022-09-30,6.48,,
2022-10-31,2022-10-31,6.41,,
2022-11-30,2022-11-30,6.23,,
2022-12-31,2022-12-31,6.23,,
2023-01-31,2023-01-31,6.19,,
2023-02-28,2023-02-28,6.13,,
2023-03-31,2023-03-31,5.82,,
2023-04-30,2023-04-30,5.12,,
2023-05-31,2023-05-31,4.61,,
2023-06-30,2023-06-30,4.0,,
2023-07-31,2023-07-31,4.13,,
2023-08-31,2023-08-31,4.01,,
2023-09-30,2023-09-30,3.87,,
2023-10-31,2023-10-31,3.7,,
2023-11-30,2023-11-30,3.87,,
2023-12-31,2023-12-31,3.91,,
2024-01-31,2024-01-31,4.28,,
2024-02-29,2024-02-29,4.28,,
2024-03-31,2024-03-31,4.77,,
2024-04-30,2024-04-30,4.88,,
2024-05-31,2024-05-31,4.8,,
2024-06-30,2024-06-30,4.65,,
2024-07-31,2024-07-31,4.47,,
2024-08-31,2024-08-31,4.45,,
2024-09-30,2024-09-30,4.26,,
2024-10-31,2024-10-31,4.38,,
2024-11-30,2024-11-30,4.25,,
2024-12-31,2024-12-31,4.05,,
2025-01-31,2025-01-31,4.02,,
2025-02-28,2025-02-28,3.78,,
2025-03-31,2025-03-31,2.86,,
2025-04-30,2025-04-30,2.74,,
