Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-12-31,2010-02-17,1.2,1.1,1.1
2010-01-31,2010-03-17,1.4,1.3,1.3
2010-02-28,2010-04-21,1.7,1.6,1.5
2010-03-31,2010-05-12,1.9,2.0,1.9
2010-04-30,2010-06-16,1.9,2.0,2.0
2010-05-31,2010-07-14,1.8,1.9,1.9
2010-06-30,2010-08-11,1.6,1.6,1.6
2010-07-31,2010-09-15,1.8,1.7,1.6
2010-08-31,2010-10-13,2.0,2.2,2.1
2010-09-30,2010-11-17,2.2,2.3,2.3
2010-10-31,2010-12-15,2.3,2.4,2.3
2010-11-30,2011-01-19,2.3,2.3,2.3
2010-12-31,2011-02-16,2.3,2.3,2.3
2011-01-31,2011-03-16,2.2,2.2,2.2
2011-02-28,2011-04-13,2.2,2.2,2.2
2011-03-31,2011-05-18,2.1,2.2,2.2
2011-04-30,2011-06-15,2.0,2.1,2.1
2011-05-31,2011-07-13,2.1,2.0,2.0
2011-06-30,2011-08-17,2.2,2.3,2.3
2011-07-31,2011-09-14,2.1,2.1,2.1
2011-08-31,2011-10-12,1.8,1.9,1.9
2011-09-30,2011-11-16,1.7,1.6,1.7
2011-10-31,2011-12-14,1.8,1.7,1.7
2011-11-30,2012-01-18,1.9,1.9,1.9
2011-12-31,2012-02-15,2.0,1.9,1.9
2012-01-31,2012-03-14,1.7,1.9,1.9
2012-02-29,2012-04-18,1.6,1.6,1.6
2012-03-31,2012-05-16,1.6,1.4,1.4
2012-04-30,2012-06-20,1.8,1.8,1.8
2012-05-31,2012-07-18,1.8,1.9,1.9
2012-06-30,2012-08-15,1.8,1.9,1.8
2012-07-31,2012-09-12,1.9,1.8,1.8
2012-08-31,2012-10-17,2.0,2.0,2.0
2012-09-30,2012-11-14,1.9,2.0,2.0
2012-10-31,2012-12-12,1.7,1.9,1.9
2012-11-30,2013-01-23,1.4,1.5,1.5
2012-12-31,2013-02-20,1.3,1.3,1.3
2013-01-31,2013-03-20,1.2,1.5,1.5
2013-02-28,2013-04-17,1.0,1.2,1.1
2013-03-31,2013-05-15,0.8,0.8,0.9
2013-04-30,2013-06-12,0.9,0.8,0.8
2013-05-31,2013-07-17,1.0,1.1,1.1
2013-06-30,2013-08-14,1.1,1.1,1.4
2013-07-31,2013-09-11,1.0,1.0,1.0
2013-08-31,2013-10-16,0.8,1.0,1.0
2013-09-30,2013-11-13,0.8,0.9,0.9
2013-10-31,2013-12-18,0.8,0.9,0.9
2013-11-30,2014-01-22,0.9,1.0,1.0
2013-12-31,2014-02-19,1.0,0.9,0.9
2014-01-31,2014-03-19,1.3,1.2,1.2
2014-02-28,2014-04-16,1.4,1.7,1.7
2014-03-31,2014-05-14,1.3,1.5,1.5
2014-04-30,2014-06-11,0.9,1.2,1.2
2014-05-31,2014-07-16,0.7,0.8,0.8
2014-06-30,2014-08-13,0.6,0.7,0.7
2014-07-31,2014-09-17,0.7,0.7,0.7
2014-08-31,2014-10-15,0.9,0.8,0.8
2014-09-30,2014-11-12,1.3,1.1,1.1
2014-10-31,2014-12-17,1.6,1.6,1.6
2014-11-30,2015-01-21,1.8,1.9,1.9
2014-12-31,2015-02-18,1.7,1.8,1.8
2015-01-31,2015-03-18,1.6,1.8,1.8
2015-02-28,2015-04-17,1.8,1.7,1.7
2015-03-31,2015-05-13,2.2,2.1,2.1
2015-04-30,2015-06-17,2.7,2.5,2.5
2015-05-31,2015-07-15,2.8,3.0,3.0
2015-06-30,2015-08-12,2.8,2.8,2.8
2015-07-31,2015-09-16,2.9,2.9,2.9
2015-08-31,2015-10-14,2.8,3.0,3.0
2015-09-30,2015-11-11,2.5,2.6,2.7
2015-10-31,2015-12-16,2.0,2.3,2.3
2015-11-30,2016-01-20,1.9,1.8,1.8
2015-12-31,2016-02-17,2.0,1.8,1.9
2016-01-31,2016-03-16,2.2,2.1,2.1
2016-02-29,2016-04-20,2.2,2.1,2.1
2016-03-31,2016-05-18,2.1,2.3,2.3
2016-04-30,2016-06-15,2.3,2.0,2.1
2016-05-31,2016-07-20,2.2,2.4,2.4
2016-06-30,2016-08-17,2.3,2.3,2.3
2016-07-31,2016-09-14,2.1,2.2,2.2
2016-08-31,2016-10-19,2.3,2.1,2.1
2016-09-30,2016-11-16,2.4,2.4,2.4
2016-10-31,2016-12-14,2.6,2.6,2.5
2016-11-30,2017-01-18,2.7,2.6,2.6
2016-12-31,2017-02-15,2.6,2.7,2.7
