Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-06-30,2009-06-30,3.0,,
2009-12-31,2009-12-31,11.0,,
2010-06-30,2010-06-30,8.0,,
2010-12-31,2010-12-31,3.0,,
2011-06-30,2011-06-30,6.0,,
2011-12-31,2011-12-31,0.0,,
2012-06-30,2012-06-30,7.0,,
2012-12-31,2012-12-31,1.0,,
2013-06-30,2013-06-30,5.0,,
2013-12-31,2013-12-31,4.0,,
2014-06-30,2014-06-30,1.0,,
2014-12-31,2014-12-31,1.0,,
2015-06-30,2015-06-30,0.0,,
2015-12-31,2015-12-31,5.0,,
2016-06-30,2016-06-30,0.0,,
2016-12-31,2016-12-31,0.0,,
2017-06-30,2017-06-30,1.0,,
2017-12-31,2017-12-31,0.0,,
2018-06-30,2018-06-30,1.0,,
2018-12-31,2018-12-31,2.0,,
2019-06-30,2019-06-30,1.0,,
2019-12-31,2019-12-31,0.0,,
2021-12-31,2021-12-31,4.0,,
2022-06-30,2022-06-30,4.0,,
2022-12-31,2022-12-31,11.0,,
2023-06-30,2023-06-30,3.0,,
2023-12-31,2023-12-31,4.0,,
2024-06-30,2024-06-30,2.0,,
2024-12-31,2024-12-31,2.0,,
