Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-15.971,,
2003-07-31,2003-07-31,-18.912,,
2003-08-31,2003-08-31,-15.295,,
2003-09-30,2003-09-30,-18.974,,
2003-10-31,2003-10-31,-18.935,,
2003-11-30,2003-11-30,-10.012,,
2003-12-31,2003-12-31,-8.178,,
2004-01-31,2004-01-31,-0.124,,
2004-02-29,2004-02-29,-6.822,,
2004-03-31,2004-03-31,-2.416,,
2004-04-30,2004-04-30,-6.602,,
2004-05-31,2004-05-31,3.289,,
2004-06-30,2004-06-30,0.009,,
2004-07-31,2004-07-31,-3.612,,
2004-08-31,2004-08-31,2.679,,
2004-09-30,2004-09-30,-3.33,,
2004-10-31,2004-10-31,-0.245,,
2004-11-30,2004-11-30,-4.337,,
2004-12-31,2004-12-31,-5.162,,
2005-01-31,2005-01-31,-1.783,,
2005-02-28,2005-02-28,-2.158,,
2005-03-31,2005-03-31,-7.736,,
2005-04-30,2005-04-30,-12.594,,
2005-05-31,2005-05-31,-15.015,,
2005-06-30,2005-06-30,-17.014,,
2005-07-31,2005-07-31,-9.977,,
2005-08-31,2005-08-31,-16.674,,
2005-09-30,2005-09-30,-10.686,,
2005-10-31,2005-10-31,-8.55,,
2005-11-30,2005-11-30,-12.666,,
2005-12-31,2005-12-31,-13.149,,
2006-01-31,2006-01-31,-14.438,,
2006-02-28,2006-02-28,-8.822,,
2006-03-31,2006-03-31,-8.721,,
2006-04-30,2006-04-30,-2.258,,
2006-05-31,2006-05-31,-5.657,,
2006-06-30,2006-06-30,-5.38,,
2006-07-31,2006-07-31,-0.007,,
2006-08-31,2006-08-31,-5.03,,
2006-09-30,2006-09-30,-1.042,,
2006-10-31,2006-10-31,-6.85,,
2006-11-30,2006-11-30,1.002,,
2006-12-31,2006-12-31,-0.472,,
2007-01-31,2007-01-31,-3.766,,
2007-02-28,2007-02-28,5.852,,
2007-03-31,2007-03-31,4.296,,
2007-04-30,2007-04-30,1.084,,
2007-05-31,2007-05-31,3.366,,
2007-06-30,2007-06-30,10.256,,
2007-07-31,2007-07-31,-0.033,,
2007-08-31,2007-08-31,3.278,,
2007-09-30,2007-09-30,5.273,,
2007-10-31,2007-10-31,0.179,,
2007-11-30,2007-11-30,3.0,,
2007-12-31,2007-12-31,-1.799,,
2008-01-31,2008-01-31,2.235,,
2008-02-29,2008-02-29,-0.801,,
2008-03-31,2008-03-31,2.321,,
2008-04-30,2008-04-30,-8.575,,
2008-05-31,2008-05-31,-10.281,,
2008-06-30,2008-06-30,-3.103,,
2008-07-31,2008-07-31,-8.733,,
2008-08-31,2008-08-31,-15.749,,
2008-09-30,2008-09-30,-21.078,,
2008-10-31,2008-10-31,-27.797,,
2008-11-30,2008-11-30,-33.001,,
2008-12-31,2008-12-31,-31.461,,
2009-01-31,2009-01-31,-38.431,,
2009-02-28,2009-02-28,-44.121,,
2009-03-31,2009-03-31,-47.648,,
2009-04-30,2009-04-30,-39.236,,
2009-05-31,2009-05-31,-35.925,,
2009-06-30,2009-06-30,-31.447,,
2009-07-31,2009-07-31,-30.423,,
2009-08-31,2009-08-31,-25.102,,
2009-09-30,2009-09-30,-21.09,,
2009-10-31,2009-10-31,-15.439,,
2009-11-30,2009-11-30,-18.338,,
2009-12-31,2009-12-31,-20.131,,
2010-01-31,2010-01-31,-15.106,,
2010-02-28,2010-02-28,-15.458,,
2010-03-31,2010-03-31,-14.303,,
2010-04-30,2010-04-30,-10.908,,
2010-05-31,2010-05-31,-5.236,,
2010-06-30,2010-06-30,-7.786,,
2010-07-31,2010-07-31,-3.778,,
2010-08-31,2010-08-31,-2.783,,
2010-09-30,2010-09-30,-3.094,,
2010-10-31,2010-10-31,-2.403,,
2010-11-30,2010-11-30,-3.67,,
2010-12-31,2010-12-31,1.535,,
2011-01-31,2011-01-31,-1.115,,
2011-02-28,2011-02-28,0.199,,
2011-03-31,2011-03-31,7.034,,
2011-04-30,2011-04-30,0.752,,
2011-05-31,2011-05-31,1.459,,
2011-06-30,2011-06-30,2.209,,
2011-07-31,2011-07-31,-4.8,,
2011-08-31,2011-08-31,-1.133,,
2011-09-30,2011-09-30,-7.099,,
2011-10-31,2011-10-31,-13.034,,
2011-11-30,2011-11-30,-12.34,,
2011-12-31,2011-12-31,-14.465,,
2012-01-31,2012-01-31,-4.121,,
2012-02-29,2012-02-29,-2.807,,
2012-03-31,2012-03-31,-2.284,,
2012-04-30,2012-04-30,0.418,,
2012-05-31,2012-05-31,-12.51,,
2012-06-30,2012-06-30,-8.127,,
2012-07-31,2012-07-31,-2.491,,
2012-08-31,2012-08-31,-11.147,,
2012-09-30,2012-09-30,-6.439,,
2012-10-31,2012-10-31,-1.675,,
2012-11-30,2012-11-30,-9.693,,
2012-12-31,2012-12-31,-4.813,,
2013-01-31,2013-01-31,-8.126,,
2013-02-28,2013-02-28,-8.807,,
2013-03-31,2013-03-31,-4.255,,
2013-04-30,2013-04-30,-5.236,,
2013-05-31,2013-05-31,-6.486,,
2013-06-30,2013-06-30,-11.132,,
2013-07-31,2013-07-31,-3.508,,
2013-08-31,2013-08-31,2.166,,
2013-09-30,2013-09-30,12.23,,
2013-10-31,2013-10-31,2.684,,
2013-11-30,2013-11-30,11.279,,
2013-12-31,2013-12-31,7.837,,
2014-01-31,2014-01-31,5.2,,
2014-02-28,2014-02-28,5.188,,
2014-03-31,2014-03-31,1.775,,
2014-04-30,2014-04-30,8.777,,
2014-05-31,2014-05-31,6.527,,
2014-06-30,2014-06-30,10.188,,
2014-07-31,2014-07-31,5.474,,
2014-08-31,2014-08-31,7.817,,
2014-09-30,2014-09-30,4.581,,
2014-10-31,2014-10-31,2.713,,
2014-11-30,2014-11-30,4.592,,
2014-12-31,2014-12-31,5.158,,
2015-01-31,2015-01-31,4.857,,
2015-02-28,2015-02-28,8.182,,
2015-03-31,2015-03-31,1.134,,
2015-04-30,2015-04-30,3.123,,
2015-05-31,2015-05-31,0.204,,
2015-06-30,2015-06-30,-2.492,,
2015-07-31,2015-07-31,1.122,,
2015-08-31,2015-08-31,-0.525,,
2015-09-30,2015-09-30,-1.734,,
2015-10-31,2015-10-31,-3.596,,
2015-11-30,2015-11-30,-5.763,,
2015-12-31,2015-12-31,-6.187,,
2016-01-31,2016-01-31,-3.818,,
2016-02-29,2016-02-29,-7.82,,
2016-03-31,2016-03-31,-3.174,,
2016-04-30,2016-04-30,-2.528,,
2016-05-31,2016-05-31,-0.789,,
2016-06-30,2016-06-30,2.162,,
2016-07-31,2016-07-31,-1.565,,
2016-08-31,2016-08-31,-0.531,,
2016-09-30,2016-09-30,0.284,,
2016-10-31,2016-10-31,-0.243,,
2016-11-30,2016-11-30,7.877,,
2016-12-31,2016-12-31,4.796,,
2017-01-31,2017-01-31,8.841,,
2017-02-28,2017-02-28,10.175,,
2017-03-31,2017-03-31,8.854,,
2017-04-30,2017-04-30,6.821,,
2017-05-31,2017-05-31,9.553,,
2017-06-30,2017-06-30,12.155,,
2017-07-31,2017-07-31,15.08,,
2017-08-31,2017-08-31,11.793,,
2017-09-30,2017-09-30,9.635,,
2017-10-31,2017-10-31,7.771,,
2017-11-30,2017-11-30,11.185,,
2017-12-31,2017-12-31,12.114,,
2018-01-31,2018-01-31,12.84,,
2018-02-28,2018-02-28,5.17,,
2018-03-31,2018-03-31,-2.782,,
2018-04-30,2018-04-30,4.164,,
2018-05-31,2018-05-31,2.561,,
2018-06-30,2018-06-30,6.153,,
2018-07-31,2018-07-31,8.394,,
2018-08-31,2018-08-31,7.786,,
2018-09-30,2018-09-30,4.988,,
2018-10-31,2018-10-31,0.777,,
2018-11-30,2018-11-30,6.164,,
2018-12-31,2018-12-31,9.1,,
2019-01-31,2019-01-31,4.513,,
2019-02-28,2019-02-28,-0.505,,
2019-03-31,2019-03-31,-2.76,,
2019-04-30,2019-04-30,-5.498,,
2019-05-31,2019-05-31,-12.102,,
2019-06-30,2019-06-30,-9.514,,
2019-07-31,2019-07-31,-14.957,,
2019-08-31,2019-08-31,-10.552,,
2019-09-30,2019-09-30,-24.996,,
2019-10-31,2019-10-31,-17.559,,
2019-11-30,2019-11-30,-12.85,,
2019-12-31,2019-12-31,-18.57,,
2020-01-31,2020-01-31,-13.804,,
2020-02-29,2020-02-29,-10.173,,
2020-03-31,2020-03-31,-22.074,,
2020-04-30,2020-04-30,-49.827,,
2020-05-31,2020-05-31,-46.102,,
2020-06-30,2020-06-30,-37.516,,
2020-07-31,2020-07-31,-16.312,,
2020-08-31,2020-08-31,-26.219,,
2020-09-30,2020-09-30,-19.993,,
2020-10-31,2020-10-31,-2.904,,
2020-11-30,2020-11-30,-19.524,,
2020-12-31,2020-12-31,-10.904,,
2021-01-31,2021-01-31,-24.115,,
2021-02-28,2021-02-28,-13.166,,
2021-03-31,2021-03-31,7.6,,
2021-04-30,2021-04-30,7.508,,
2021-05-31,2021-05-31,17.224,,
2021-06-30,2021-06-30,19.145,,
2021-07-31,2021-07-31,24.34,,
2021-08-31,2021-08-31,18.116,,
2021-09-30,2021-09-30,19.342,,
2021-10-31,2021-10-31,22.092,,
2021-11-30,2021-11-30,26.469,,
2021-12-31,2021-12-31,24.764,,
2022-01-31,2022-01-31,22.225,,
2022-02-28,2022-02-28,19.835,,
2022-03-31,2022-03-31,19.603,,
2022-04-30,2022-04-30,11.176,,
2022-05-31,2022-05-31,19.891,,
2022-06-30,2022-06-30,10.479,,
2022-07-31,2022-07-31,7.338,,
2022-08-31,2022-08-31,-4.881,,
2022-09-30,2022-09-30,-8.323,,
2022-10-31,2022-10-31,2.425,,
2022-11-30,2022-11-30,-4.866,,
2022-12-31,2022-12-31,-6.568,,
2023-01-31,2023-01-31,-2.441,,
2023-02-28,2023-02-28,-7.832,,
2023-03-31,2023-03-31,-6.064,,
2023-04-30,2023-04-30,-10.491,,
2023-05-31,2023-05-31,-12.109,,
2023-06-30,2023-06-30,-10.188,,
2023-07-31,2023-07-31,0.338,,
2023-08-31,2023-08-31,-9.548,,
2023-09-30,2023-09-30,-9.323,,
2023-10-31,2023-10-31,-1.241,,
2023-11-30,2023-11-30,-13.199,,
2023-12-31,2023-12-31,-8.568,,
2024-01-31,2024-01-31,-12.775,,
2024-02-29,2024-02-29,-10.832,,
2024-03-31,2024-03-31,-9.064,,
2024-04-30,2024-04-30,-3.824,,
2024-05-31,2024-05-31,-14.776,,
2024-06-30,2024-06-30,-7.854,,
2024-07-31,2024-07-31,-4.996,,
2024-08-31,2024-08-31,-9.881,,
2024-09-30,2024-09-30,-16.657,,
2024-10-31,2024-10-31,-9.908,,
2024-11-30,2024-11-30,-6.866,,
2024-12-31,2024-12-31,-27.235,,
2025-01-31,2025-01-31,-19.775,,
2025-02-28,2025-02-28,-7.165,,
2025-03-31,2025-03-31,-14.397,,
2025-04-30,2025-04-30,-11.491,,
2025-05-31,2025-05-31,-15.776,,
