Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-16.3,,
2003-07-31,2003-07-31,-12.0,,
2003-08-31,2003-08-31,-2.7,,
2003-09-30,2003-09-30,-1.3,,
2003-10-31,2003-10-31,-9.0,,
2003-11-30,2003-11-30,-0.8,,
2003-12-31,2003-12-31,5.3,,
2004-01-31,2004-01-31,15.2,,
2004-02-29,2004-02-29,14.1,,
2004-03-31,2004-03-31,8.9,,
2004-04-30,2004-04-30,22.4,,
2004-05-31,2004-05-31,7.2,,
2004-06-30,2004-06-30,16.3,,
2004-07-31,2004-07-31,4.1,,
2004-08-31,2004-08-31,17.3,,
2004-09-30,2004-09-30,21.3,,
2004-10-31,2004-10-31,14.3,,
2004-11-30,2004-11-30,7.8,,
2004-12-31,2004-12-31,15.9,,
2005-01-31,2005-01-31,6.3,,
2005-02-28,2005-02-28,12.6,,
2005-03-31,2005-03-31,1.7,,
2005-04-30,2005-04-30,3.5,,
2005-05-31,2005-05-31,3.8,,
2005-06-30,2005-06-30,-7.8,,
2005-07-31,2005-07-31,-2.2,,
2005-08-31,2005-08-31,-3.6,,
2005-09-30,2005-09-30,-5.9,,
2005-10-31,2005-10-31,0.0,,
2005-11-30,2005-11-30,1.8,,
2005-12-31,2005-12-31,-3.6,,
2006-01-31,2006-01-31,9.0,,
2006-02-28,2006-02-28,19.0,,
2006-03-31,2006-03-31,7.6,,
2006-04-30,2006-04-30,19.7,,
2006-05-31,2006-05-31,11.2,,
2006-06-30,2006-06-30,14.5,,
2006-07-31,2006-07-31,16.0,,
2006-08-31,2006-08-31,12.7,,
2006-09-30,2006-09-30,7.2,,
2006-10-31,2006-10-31,15.2,,
2006-11-30,2006-11-30,15.2,,
2006-12-31,2006-12-31,20.3,,
2007-01-31,2007-01-31,19.4,,
2007-02-28,2007-02-28,19.2,,
2007-03-31,2007-03-31,14.6,,
2007-04-30,2007-04-30,14.8,,
2007-05-31,2007-05-31,16.3,,
2007-06-30,2007-06-30,11.7,,
2007-07-31,2007-07-31,2.6,,
2007-08-31,2007-08-31,11.3,,
2007-09-30,2007-09-30,14.3,,
2007-10-31,2007-10-31,11.9,,
2007-11-30,2007-11-30,3.9,,
2007-12-31,2007-12-31,9.7,,
2008-01-31,2008-01-31,-1.6,,
2008-02-29,2008-02-29,-14.1,,
2008-03-31,2008-03-31,0.7,,
2008-04-30,2008-04-30,-0.4,,
2008-05-31,2008-05-31,-13.6,,
2008-06-30,2008-06-30,-15.3,,
2008-07-31,2008-07-31,-19.9,,
2008-08-31,2008-08-31,-23.5,,
2008-09-30,2008-09-30,-19.1,,
2008-10-31,2008-10-31,-29.0,,
2008-11-30,2008-11-30,-37.5,,
2008-12-31,2008-12-31,-40.2,,
2009-01-31,2009-01-31,-48.8,,
2009-02-28,2009-02-28,-46.6,,
