Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2023-09-30,2023-10-18,6.9,6.8,6.8
2023-10-31,2023-11-15,6.6,6.7,6.7
2023-11-30,2023-12-20,6.3,6.6,6.5
2023-12-31,2024-01-17,6.4,6.1,6.1
2024-01-31,2024-02-14,6.5,6.8,6.8
2024-02-29,2024-03-20,6.1,6.0,6.0
2024-03-31,2024-04-17,6.0,5.8,5.8
2024-04-30,2024-05-22,5.9,5.4,5.4
2024-05-31,2024-06-19,5.7,5.5,5.5
2024-06-30,2024-07-17,5.7,5.6,5.6
2024-07-31,2024-08-14,5.2,5.5,5.5
2024-08-31,2024-09-18,5.6,5.6,5.6
2024-09-30,2024-10-16,4.9,5.2,5.2
2024-10-31,2024-11-20,5.0,4.9,4.9
2024-11-30,2024-12-18,5.0,5.1,5.1
2024-12-31,2025-01-15,4.4,4.8,4.8
2025-01-31,2025-02-19,5.0,5.1,5.1
2025-02-28,2025-03-26,5.0,4.9,4.9
2025-03-31,2025-04-16,4.7,4.8,4.8
2025-04-30,2025-05-21,5.4,4.8,4.8
2025-05-31,2025-06-18,,,
