Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-04-30,2004-05-05,,58.0,58.0
2004-10-31,2004-11-02,,56.2,56.1
2004-12-31,2005-01-05,,56.2,56.3
2005-01-31,2005-02-02,,56.8,56.6
2005-02-28,2005-03-02,,55.2,55.6
2005-07-31,2005-08-02,,55.0,55.4
2005-08-31,2005-09-02,,54.5,54.3
2005-09-30,2005-10-04,,56.7,56.8
2005-10-31,2005-11-02,,57.0,56.9
2005-11-30,2005-12-02,,54.6,54.8
2005-12-31,2006-01-04,,54.8,54.8
2006-01-31,2006-02-02,,53.0,52.8
2006-02-28,2006-03-02,,51.3,51.8
2006-03-31,2006-04-04,,52.3,52.3
2006-04-30,2006-05-03,,54.5,54.4
2006-05-31,2006-06-02,,54.0,54.0
2006-06-30,2006-07-04,,53.0,53.1
2006-07-31,2006-08-02,,51.5,51.2
2006-08-31,2006-09-04,,53.0,53.2
2006-09-30,2006-10-03,,55.0,54.7
2006-10-31,2006-11-02,,53.0,53.4
2006-11-30,2006-12-04,,56.9,56.9
2006-12-31,2007-01-03,,54.5,54.7
2007-01-31,2007-02-02,,57.0,57.2
2007-02-28,2007-03-02,,57.5,57.1
2007-03-31,2007-04-03,,57.3,57.1
2007-04-30,2007-05-02,,59.0,58.7
2007-05-31,2007-06-04,,59.5,59.7
2007-06-30,2007-07-03,,57.7,57.6
2007-07-31,2007-08-02,,59.0,59.0
2007-08-31,2007-09-04,,60.6,60.7
2007-09-30,2007-10-02,,63.0,62.5
2007-10-31,2007-11-02,,59.5,59.3
2007-11-30,2007-12-04,,57.0,57.0
2007-12-31,2008-01-03,,53.7,54.1
2008-01-31,2008-02-04,,55.0,54.9
2008-02-29,2008-03-04,,53.0,52.9
2008-03-31,2008-04-02,,52.0,51.8
2008-04-30,2008-05-02,,47.0,47.1
2008-05-31,2008-06-03,,45.8,45.7
2008-06-30,2008-07-02,,43.1,42.7
2008-07-31,2008-08-04,,37.5,37.6
2008-08-31,2008-09-02,,36.0,35.9
2008-09-30,2008-10-02,,38.9,39.4
2008-10-31,2008-11-04,,37.8,38.9
2008-11-30,2008-12-02,,33.5,33.6
2008-12-31,2009-01-05,,30.5,30.6
2009-01-31,2009-02-03,,29.0,28.8
2009-02-28,2009-03-03,,34.2,33.9
2009-03-31,2009-04-02,,27.8,27.6
2009-04-30,2009-05-05,,31.9,31.2
2009-05-31,2009-06-02,,39.5,39.4
2009-06-30,2009-07-02,,46.0,46.3
2009-07-31,2009-08-04,,45.0,45.0
2009-08-31,2009-09-02,,48.0,48.2
2009-09-30,2009-10-02,,48.1,48.2
2009-10-31,2009-11-03,,47.2,47.2
2009-11-30,2009-12-02,,46.9,46.8
2009-12-31,2010-01-05,,47.4,47.4
2010-01-31,2010-02-02,,47.0,46.9
2010-02-28,2010-03-02,,48.9,48.6
2010-03-31,2010-04-06,,48.7,48.8
2010-04-30,2010-05-05,,53.2,53.0
2010-05-31,2010-06-02,,58.0,58.1
2010-06-30,2010-07-02,,58.5,58.4
2010-07-31,2010-08-03,,58.0,58.1
2010-08-31,2010-09-02,,53.2,53.3
2010-09-30,2010-10-04,,51.4,51.3
2010-10-31,2010-11-02,,53.0,53.1
2010-11-30,2010-12-02,,51.3,51.2
2010-12-31,2011-01-05,,51.0,50.6
2011-01-31,2011-02-02,,49.5,49.6
2011-02-28,2011-03-02,,52.8,52.6
2011-03-31,2011-04-04,,54.8,54.6
2011-04-30,2011-05-04,,55.9,56.0
2011-05-31,2011-06-02,,53.5,53.3
2011-06-30,2011-07-04,,53.8,53.7
2011-07-31,2011-08-02,,53.1,53.1
2011-08-31,2011-09-02,,53.2,53.1
2011-09-30,2011-10-04,,51.6,51.5
2011-10-31,2011-11-02,,50.0,50.0
2011-11-30,2011-12-02,,52.0,52.2
2011-12-31,2012-01-04,,51.5,51.6
2012-01-31,2012-02-02,,52.5,52.8
2012-02-29,2012-03-02,,51.3,51.2
2012-03-31,2012-04-03,,53.4,53.5
2012-04-30,2012-05-02,,54.0,54.4
2012-05-31,2012-06-06,,54.5,54.2
2012-06-30,2012-07-03,,52.9,52.9
2012-07-31,2012-08-02,,48.7,48.7
2012-08-31,2012-09-04,,50.0,50.1
2012-09-30,2012-10-02,,49.9,50.5
2012-10-31,2012-11-02,,49.0,49.2
2012-11-30,2012-12-04,,50.5,50.8
2012-12-31,2013-01-03,,49.5,49.7
2013-01-31,2013-02-04,,49.2,49.1
2013-02-28,2013-03-04,,49.0,48.8
2013-03-31,2013-04-03,,48.0,47.7
2013-04-30,2013-05-02,,48.0,48.1
2013-05-31,2013-06-04,,49.8,49.7
2013-06-30,2013-07-02,,51.2,51.1
2013-07-31,2013-08-02,,51.5,51.6
2013-08-31,2013-09-03,,56.9,57.1
2013-09-30,2013-10-02,,59.5,59.9
2013-10-31,2013-11-04,,58.7,58.8
2013-11-30,2013-12-03,,59.0,59.2
2013-12-31,2014-01-03,,62.0,62.2
2014-01-31,2014-02-04,,61.5,61.5
2014-02-28,2014-03-04,,63.2,63.1
2014-03-31,2014-04-02,,63.0,62.8
2014-04-30,2014-05-02,,62.2,62.3
2014-05-31,2014-06-03,,61.0,60.8
2014-06-30,2014-07-02,,59.8,59.8
2014-07-31,2014-08-04,,62.0,62.0
2014-08-31,2014-09-02,,61.5,61.6
2014-09-30,2014-10-02,,63.5,63.3
2014-10-31,2014-11-04,,63.5,63.3
2014-11-30,2014-12-02,,61.0,60.9
2014-12-31,2015-01-05,,59.0,59.2
2015-01-31,2015-02-03,,57.0,57.3
2015-02-28,2015-03-03,,59.0,59.0
2015-03-31,2015-04-02,,59.8,59.7
2015-04-30,2015-05-05,,57.4,57.6
2015-05-31,2015-06-02,,55.0,55.3
2015-06-30,2015-07-02,,56.5,56.5
2015-07-31,2015-08-04,,58.5,58.2
2015-08-31,2015-09-02,,57.5,57.5
2015-09-30,2015-10-02,,57.5,57.3
2015-10-31,2015-11-03,,58.8,59.1
2015-11-30,2015-12-02,,58.5,58.5
2015-12-31,2016-01-05,,56.0,55.9
2016-01-31,2016-02-02,,57.5,57.5
2016-02-29,2016-03-02,,55.5,55.5
2016-03-31,2016-04-04,,54.1,54.2
2016-04-30,2016-05-04,,54.0,54.0
2016-05-31,2016-06-02,,52.0,52.1
2016-06-30,2016-07-04,,50.7,50.7
2016-07-31,2016-08-02,,44.0,43.5
2016-08-31,2016-09-02,,46.3,46.4
2016-09-30,2016-10-04,,49.0,49.1
2016-10-31,2016-11-02,,51.8,51.7
2016-11-30,2016-12-02,,52.2,52.3
2016-12-31,2017-01-04,,52.5,52.5
2017-01-31,2017-02-02,,53.8,54.0
2017-02-28,2017-03-02,,52.0,52.2
2017-03-31,2017-04-04,,52.5,52.5
2017-04-30,2017-05-03,,52.0,51.9
2017-05-31,2017-06-02,,52.6,52.7
2017-06-30,2017-07-04,,55.0,54.9
2017-07-31,2017-08-02,,54.0,54.2
2017-08-31,2017-09-04,,52.0,52.0
2017-09-30,2017-10-03,,51.1,51.1
2017-10-31,2017-11-02,,48.5,48.5
2017-11-30,2017-12-04,,51.0,50.7
2017-12-31,2018-01-03,,53.0,52.9
2018-01-31,2018-02-02,,52.0,52.0
2018-02-28,2018-03-02,,50.5,50.5
2018-03-31,2018-04-04,,51.0,50.8
2018-04-30,2018-05-02,,50.5,50.8
2018-05-31,2018-06-04,,52.0,51.9
2018-06-30,2018-07-03,,52.5,52.4
2018-07-31,2018-08-02,,52.8,52.8
2018-08-31,2018-09-04,,54.9,54.9
2018-09-30,2018-10-02,,52.9,52.9
2018-10-31,2018-11-02,,52.0,52.0
2018-11-30,2018-12-04,,52.5,52.5
2018-12-31,2019-01-03,,52.9,52.9
2019-01-31,2019-02-04,,52.5,52.6
2019-02-28,2019-03-04,,50.5,50.6
2019-03-31,2019-04-02,,49.8,49.6
