Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,55.5,,
2007-09-30,2007-09-30,47.8,,
2007-12-31,2007-12-31,18.6,,
2008-03-31,2008-03-31,-14.4,,
2008-06-30,2008-06-30,-34.7,,
2008-09-30,2008-09-30,-10.3,,
2008-12-31,2008-12-31,-26.9,,
2009-03-31,2009-03-31,27.1,,
2009-06-30,2009-06-30,21.0,,
2009-09-30,2009-09-30,13.1,,
2009-12-31,2009-12-31,15.0,,
2010-03-31,2010-03-31,19.4,,
2010-06-30,2010-06-30,18.0,,
2010-09-30,2010-09-30,0.0,,
2010-12-31,2010-12-31,19.4,,
2011-03-31,2011-03-31,27.4,,
2011-06-30,2011-06-30,0.0,,
2011-09-30,2011-09-30,0.0,,
2011-12-31,2011-12-31,-9.8,,
2012-03-31,2012-03-31,17.7,,
2012-06-30,2012-06-30,0.0,,
2012-09-30,2012-09-30,17.2,,
2012-12-31,2012-12-31,2.0,,
2013-03-31,2013-03-31,28.5,,
2013-06-30,2013-06-30,6.9,,
2013-09-30,2013-09-30,8.7,,
2013-12-31,2013-12-31,11.5,,
2014-03-31,2014-03-31,18.9,,
2014-06-30,2014-06-30,19.9,,
2014-09-30,2014-09-30,13.1,,
2014-12-31,2014-12-31,-6.8,,
2015-03-31,2015-03-31,18.9,,
2015-06-30,2015-06-30,5.3,,
2015-09-30,2015-09-30,2.3,,
2015-12-31,2015-12-31,-7.2,,
2016-03-31,2016-03-31,10.9,,
2016-06-30,2016-06-30,11.1,,
2016-09-30,2016-09-30,-11.7,,
2016-12-31,2016-12-31,-12.1,,
2017-03-31,2017-03-31,0.0,,
2017-06-30,2017-06-30,-23.4,,
2017-09-30,2017-09-30,8.6,,
2017-12-31,2017-12-31,13.6,,
2018-03-31,2018-03-31,11.6,,
2018-06-30,2018-06-30,8.8,,
2018-09-30,2018-09-30,-0.9,,
2018-12-31,2018-12-31,-1.1,,
2019-03-31,2019-03-31,-3.8,,
2019-06-30,2019-06-30,-4.0,,
2019-09-30,2019-09-30,-5.0,,
2019-12-31,2019-12-31,-1.6,,
2020-03-31,2020-03-31,65.3,,
2020-06-30,2020-06-30,-25.9,,
2020-09-30,2020-09-30,13.4,,
2020-12-31,2020-12-31,14.0,,
2021-03-31,2021-03-31,12.2,,
2021-06-30,2021-06-30,4.7,,
2021-09-30,2021-09-30,-2.3,,
2021-12-31,2021-12-31,-4.5,,
2022-03-31,2022-03-31,8.5,,
2022-06-30,2022-06-30,-19.4,,
2022-09-30,2022-09-30,-23.2,,
2022-12-31,2022-12-31,-21.6,,
2023-03-31,2023-03-31,7.6,,
2023-06-30,2023-06-30,-12.6,,
2023-09-30,2023-09-30,3.4,,
2023-12-31,2023-12-31,-28.9,,
2024-03-31,2024-03-31,16.0,,
2024-06-30,2024-06-30,2.5,,
2024-09-30,2024-09-30,9.2,,
2024-12-31,2024-12-31,-5.5,,
2025-03-31,2025-03-31,-2.0,,
