Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,26776.0,,
2003-09-30,2003-09-30,26954.0,,
2003-12-31,2003-12-31,26955.0,,
2004-03-31,2004-03-31,26930.0,,
2004-06-30,2004-06-30,26900.0,,
2004-09-30,2004-09-30,27114.0,,
2004-12-31,2004-12-31,27115.0,,
2005-03-31,2005-03-31,27067.0,,
2005-06-30,2005-06-30,27123.0,,
2005-09-30,2005-09-30,27372.0,,
2005-12-31,2005-12-31,27203.0,,
2006-03-31,2006-03-31,27160.0,,
2006-06-30,2006-06-30,27145.0,,
2006-09-30,2006-09-30,27316.0,,
2006-12-31,2006-12-31,27249.0,,
2007-03-31,2007-03-31,27071.0,,
2007-06-30,2007-06-30,27078.0,,
2007-09-30,2007-09-30,27349.0,,
2007-12-31,2007-12-31,27410.0,,
2008-03-31,2008-03-31,27291.0,,
2008-06-30,2008-06-30,27321.0,,
2008-09-30,2008-09-30,27349.0,,
2008-12-31,2008-12-31,27194.0,,
2009-03-31,2009-03-31,26909.0,,
2009-06-30,2009-06-30,26682.0,,
2009-09-30,2009-09-30,26883.0,,
2009-12-31,2009-12-31,26852.0,,
2010-03-31,2010-03-31,26646.0,,
2010-06-30,2010-06-30,26683.0,,
2010-09-30,2010-09-30,27060.0,,
2010-12-31,2010-12-31,26968.0,,
2011-03-31,2011-03-31,26830.0,,
2011-06-30,2011-06-30,26759.0,,
2011-09-30,2011-09-30,26790.0,,
2011-12-31,2011-12-31,26807.0,,
2012-03-31,2012-03-31,26803.0,,
2012-06-30,2012-06-30,26981.0,,
2012-09-30,2012-09-30,27203.0,,
2012-12-31,2012-12-31,27298.0,,
2013-03-31,2013-03-31,27127.0,,
2013-06-30,2013-06-30,27162.0,,
2013-09-30,2013-09-30,27526.0,,
2013-12-31,2013-12-31,27633.0,,
2014-03-31,2014-03-31,27645.0,,
2014-06-30,2014-06-30,27699.0,,
2014-09-30,2014-09-30,27992.0,,
2014-12-31,2014-12-31,28042.0,,
2015-03-31,2015-03-31,27962.0,,
2015-06-30,2015-06-30,27828.0,,
2015-09-30,2015-09-30,28169.0,,
2015-12-31,2015-12-31,28370.0,,
2016-03-31,2016-03-31,28164.0,,
2016-06-30,2016-06-30,28228.0,,
2016-09-30,2016-09-30,28402.0,,
2016-12-31,2016-12-31,28444.0,,
2017-03-31,2017-03-31,28347.0,,
2017-06-30,2017-06-30,28454.0,,
2017-09-30,2017-09-30,28569.0,,
2017-12-31,2017-12-31,28726.0,,
2018-03-31,2018-03-31,28753.0,,
2018-06-30,2018-06-30,28787.0,,
2018-09-30,2018-09-30,29028.0,,
2018-12-31,2018-12-31,29098.0,,
2019-03-31,2019-03-31,29056.0,,
2019-06-30,2019-06-30,29203.0,,
2019-09-30,2019-09-30,29319.0,,
2019-12-31,2019-12-31,29433.0,,
2020-03-31,2020-03-31,29072.0,,
2020-06-30,2020-06-30,28816.0,,
2020-09-30,2020-09-30,28850.0,,
2020-12-31,2020-12-31,28635.0,,
2021-03-31,2021-03-31,28413.0,,
2021-06-30,2021-06-30,28539.0,,
2021-09-30,2021-09-30,28982.0,,
2021-12-31,2021-12-31,28915.0,,
2022-03-31,2022-03-31,28685.0,,
2022-06-30,2022-06-30,28758.0,,
2022-09-30,2022-09-30,28924.0,,
2022-12-31,2022-12-31,28885.0,,
2023-03-31,2023-03-31,28960.0,,
2023-06-30,2023-06-30,28796.0,,
2023-09-30,2023-09-30,28757.0,,
2023-12-31,2023-12-31,28693.0,,
2024-03-31,2024-03-31,28527.0,,
2024-06-30,2024-06-30,28547.0,,
2024-09-30,2024-09-30,28729.0,,
