Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2004-03-26,0.9,1.1,1.1
2004-03-31,2004-06-30,,,
2004-06-30,2004-08-27,1.1,0.8,0.8
2004-09-30,2004-11-26,0.5,0.5,0.6
2004-12-31,2005-02-25,0.4,0.6,0.6
2005-03-31,2005-05-25,0.3,0.4,0.4
2005-06-30,2005-08-26,0.2,0.3,0.4
2005-09-30,2005-11-25,0.5,0.4,0.4
2005-12-31,2006-02-24,0.7,0.7,0.8
2006-03-31,2006-05-25,0.2,0.4,0.4
2006-06-30,2006-08-25,1.0,0.8,0.8
2006-09-30,2006-11-24,0.4,0.6,0.6
2006-12-31,2007-02-23,1.0,0.8,0.8
2007-03-31,2007-05-25,0.6,0.6,0.5
2007-06-30,2007-08-24,0.8,0.7,0.7
2007-09-30,2007-11-23,1.0,0.9,0.8
2007-12-31,2008-02-27,0.2,0.6,0.6
2008-03-31,2008-05-23,1.3,0.5,0.6
2008-06-30,2008-08-22,-0.1,0.5,0.4
2008-09-30,2008-11-26,-0.2,-0.3,-0.3
2008-12-31,2009-02-25,-0.7,-0.6,-0.5
2009-03-31,2009-05-22,-1.2,-1.0,-1.0
2009-06-30,2009-08-28,-0.7,-0.8,-0.7
2009-09-30,2009-11-25,0.0,-0.2,-0.1
2009-12-31,2010-02-26,0.4,0.3,0.3
2010-03-31,2010-05-25,0.0,-0.2,-0.1
2010-06-30,2010-08-27,0.7,0.5,0.6
2010-09-30,2010-11-24,0.3,0.6,0.6
2010-12-31,2011-02-25,-0.1,-0.2,-0.2
2011-03-31,2011-05-25,-0.6,0.1,0.1
2011-06-30,2011-10-05,-0.8,-0.3,-0.3
2011-09-30,2011-11-24,0.0,0.2,0.0
2011-12-31,2012-02-24,0.5,0.2,0.1
2012-03-31,2012-05-24,0.1,0.3,0.2
2012-06-30,2012-08-24,-0.4,-0.2,-0.3
2012-09-30,2012-11-27,0.6,0.6,0.7
2012-12-31,2013-02-27,0.2,-0.1,0.0
2013-03-31,2013-05-23,0.1,0.3,0.3
2013-06-30,2013-08-23,0.4,0.4,0.4
2013-09-30,2013-11-27,0.8,0.6,0.6
2013-12-31,2014-02-26,0.4,0.6,0.6
2014-03-31,2014-05-22,0.8,0.6,0.6
2014-09-30,2014-11-26,0.8,0.6,0.6
2014-12-31,2015-02-26,0.5,0.8,0.9
2015-03-31,2015-05-28,0.5,0.7,0.7
2015-06-30,2015-08-28,0.7,0.7,0.7
2015-09-30,2015-11-27,0.8,0.7,0.7
2015-12-31,2016-02-25,0.7,0.8,0.7
2016-03-31,2016-05-26,0.7,0.5,0.6
2016-06-30,2016-08-26,0.9,0.8,0.8
2016-09-30,2016-11-25,0.7,0.8,0.8
2016-12-31,2017-02-22,0.7,0.7,0.6
2017-03-31,2017-05-25,0.3,0.3,0.3
2017-06-30,2017-08-24,0.1,0.3,0.4
2017-09-30,2017-11-23,0.6,0.4,0.4
2017-12-31,2018-02-22,0.3,0.4,0.4
2018-03-31,2018-05-25,0.2,0.1,0.1
2018-06-30,2018-08-10,0.3,0.4,0.4
2018-09-30,2018-11-09,0.5,0.5,0.5
2018-12-31,2019-02-11,0.4,0.3,0.3
2019-03-31,2019-05-10,0.7,0.5,0.6
2019-06-30,2019-08-09,0.5,0.3,0.4
2019-09-30,2019-12-20,0.3,0.4,0.4
2019-12-31,2020-03-31,0.0,0.1,0.1
2020-03-31,2020-06-30,-2.9,-1.7,-1.7
2020-06-30,2020-09-30,-23.6,-23.1,-22.7
2020-09-30,2020-12-22,19.5,18.3,18.3
2020-12-31,2021-03-31,-1.7,-0.2,-0.2
2021-03-31,2021-06-30,-4.6,-3.9,-3.9
2021-06-30,2021-09-30,7.2,7.3,7.3
2021-09-30,2021-12-22,2.7,2.0,2.0
2021-12-31,2022-03-31,0.5,1.2,1.2
2022-03-31,2022-06-30,0.6,0.6,0.6
2022-06-30,2022-09-30,0.1,-0.2,-0.2
2022-09-30,2022-12-22,-1.1,-0.5,-0.5
2022-12-31,2023-03-31,0.2,0.1,0.1
2023-03-31,2023-06-30,0.0,0.0,0.0
2023-06-30,2023-09-29,0.5,0.7,0.7
2023-09-30,2023-12-22,-0.5,-0.4,-0.4
2023-12-31,2024-03-28,-0.1,-0.1,-0.1
2024-03-31,2024-06-28,0.4,0.2,0.2
2024-06-30,2024-09-30,0.2,0.2,0.2
2024-09-30,2024-12-23,0.5,0.5,0.5
2024-12-31,2025-03-28,0.1,0.0,0.0
2025-03-31,2025-05-15,0.2,0.5,0.5
