Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,287234.0,,
2003-09-30,2003-09-30,289510.0,,
2003-12-31,2003-12-31,292235.0,,
2004-03-31,2004-03-31,293887.0,,
2004-06-30,2004-06-30,296185.0,,
2004-09-30,2004-09-30,297291.0,,
2004-12-31,2004-12-31,298783.0,,
2005-03-31,2005-03-31,300832.0,,
2005-06-30,2005-06-30,303559.0,,
2005-09-30,2005-09-30,305918.0,,
2005-12-31,2005-12-31,305297.0,,
2006-03-31,2006-03-31,308788.0,,
2006-06-30,2006-06-30,307296.0,,
2006-09-30,2006-09-30,310020.0,,
2006-12-31,2006-12-31,311660.0,,
2007-03-31,2007-03-31,322327.0,,
2007-06-30,2007-06-30,319628.0,,
2007-09-30,2007-09-30,323425.0,,
2007-12-31,2007-12-31,322492.0,,
2008-03-31,2008-03-31,319071.0,,
2008-06-30,2008-06-30,322925.0,,
2008-09-30,2008-09-30,316966.0,,
2008-12-31,2008-12-31,322422.0,,
2009-03-31,2009-03-31,320427.0,,
2009-06-30,2009-06-30,327075.0,,
2009-09-30,2009-09-30,326226.0,,
2009-12-31,2009-12-31,328181.0,,
2010-03-31,2010-03-31,329401.0,,
2010-06-30,2010-06-30,329048.0,,
2010-09-30,2010-09-30,327940.0,,
2010-12-31,2010-12-31,325807.0,,
2011-03-31,2011-03-31,318757.0,,
2011-06-30,2011-06-30,322508.0,,
2011-09-30,2011-09-30,322513.0,,
2011-12-31,2011-12-31,321268.0,,
2012-03-31,2012-03-31,328392.0,,
2012-06-30,2012-06-30,331133.0,,
2012-09-30,2012-09-30,329273.0,,
2012-12-31,2012-12-31,330466.0,,
2013-03-31,2013-03-31,328783.0,,
2013-06-30,2013-06-30,334298.0,,
2013-09-30,2013-09-30,340201.0,,
2013-12-31,2013-12-31,344999.0,,
2014-03-31,2014-03-31,344918.0,,
2014-06-30,2014-06-30,344335.0,,
2014-09-30,2014-09-30,344655.0,,
2014-12-31,2014-12-31,351528.0,,
2015-03-31,2015-03-31,358282.0,,
2015-06-30,2015-06-30,366745.0,,
2015-09-30,2015-09-30,373967.0,,
2015-12-31,2015-12-31,374799.0,,
2016-03-31,2016-03-31,372926.0,,
2016-06-30,2016-06-30,372851.0,,
2016-09-30,2016-09-30,370130.0,,
2016-12-31,2016-12-31,368290.0,,
2017-03-31,2017-03-31,368849.0,,
2017-06-30,2017-06-30,375675.0,,
2017-09-30,2017-09-30,377111.0,,
2017-12-31,2017-12-31,377799.0,,
2018-03-31,2018-03-31,382488.0,,
2018-06-30,2018-06-30,380137.0,,
2018-09-30,2018-09-30,381367.0,,
2018-12-31,2018-12-31,386489.0,,
2019-03-31,2019-03-31,385409.0,,
2019-06-30,2019-06-30,391052.0,,
2019-09-30,2019-09-30,390720.0,,
2019-12-31,2019-12-31,393961.0,,
2020-03-31,2020-03-31,389049.0,,
2020-06-30,2020-06-30,383332.0,,
2020-09-30,2020-09-30,392641.0,,
2020-12-31,2020-12-31,394748.0,,
2021-03-31,2021-03-31,396682.0,,
2021-06-30,2021-06-30,398701.0,,
2021-09-30,2021-09-30,394958.0,,
2021-12-31,2021-12-31,387966.0,,
2022-03-31,2022-03-31,386881.0,,
2022-06-30,2022-06-30,382940.0,,
2022-09-30,2022-09-30,385064.0,,
2022-12-31,2022-12-31,393659.0,,
2023-03-31,2023-03-31,391014.0,,
2023-06-30,2023-06-30,397092.0,,
2023-09-30,2023-09-30,397057.0,,
2023-12-31,2023-12-31,400427.0,,
2024-03-31,2024-03-31,405889.0,,
2024-06-30,2024-06-30,410664.0,,
2024-09-30,2024-09-30,413884.0,,
2024-12-31,2024-12-31,421732.0,,
