Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-04,21.9,,
2003-07-31,2003-08-05,19.2,,
2003-08-31,2003-09-02,19.1,,
2003-09-30,2003-10-03,18.6,,
2003-10-31,2003-11-05,16.7,,
2003-11-30,2003-12-03,14.1,,
2003-12-31,2004-01-06,15.4,,
2004-01-31,2004-02-04,16.0,,
2004-02-29,2004-03-03,17.8,,
2004-03-31,2004-04-02,18.5,,
2004-04-30,2004-05-05,19.1,,
2004-05-31,2004-06-08,20.4,,
2004-06-30,2004-07-02,21.5,,
2004-07-31,2004-08-04,22.1,,
2004-08-31,2004-09-03,21.3,,
2004-09-30,2004-10-06,20.5,,
2004-10-31,2004-11-04,18.5,,
2004-11-30,2004-12-03,16.8,,
2004-12-31,2005-01-07,15.1,,
2005-01-31,2005-02-03,13.7,,
2005-02-28,2005-03-04,12.1,,
2005-03-31,2005-04-05,9.7,,
2005-04-30,2005-05-06,7.8,,
2005-05-31,2005-06-07,5.7,,
2005-06-30,2005-07-07,3.7,,
2005-07-31,2005-08-05,2.3,2.1,2.3
2005-08-31,2005-09-07,2.5,,
2005-09-30,2005-10-06,3.0,,
2005-10-31,2005-11-04,3.9,,
2005-11-30,2005-12-02,4.5,,
2005-12-31,2006-01-09,5.1,,
2006-01-31,2006-02-09,5.1,,
2006-02-28,2006-03-08,5.5,,
2006-03-31,2006-04-06,6.2,,
2006-04-30,2006-05-04,8.0,,
2006-05-31,2006-06-08,9.1,,
2006-06-30,2006-07-06,9.4,10.0,10.0
2006-07-31,2006-08-03,8.8,8.9,9.0
2006-08-31,2006-09-07,8.2,7.8,7.8
2006-09-30,2006-10-04,8.0,7.9,8.0
2006-10-31,2006-11-09,8.6,8.3,8.3
2006-11-30,2006-12-07,9.6,9.2,9.2
2006-12-31,2007-01-05,9.9,10.3,10.3
2007-01-31,2007-02-08,9.9,9.6,9.5
2007-02-28,2007-03-08,9.9,9.4,9.4
2007-03-31,2007-04-05,11.1,10.5,10.5
2007-04-30,2007-05-10,10.9,10.6,10.5
2007-05-31,2007-06-07,10.6,10.8,10.9
2007-06-30,2007-07-04,10.7,10.9,11.0
2007-07-31,2007-08-02,11.2,11.1,11.1
2007-08-31,2007-09-05,11.4,11.5,11.4
2007-09-30,2007-10-04,10.7,11.1,11.2
2007-10-31,2007-11-08,8.9,9.4,9.5
2007-11-30,2007-12-05,6.3,6.9,7.0
2007-12-31,2008-01-08,5.2,4.7,4.8
2008-01-31,2008-02-05,4.5,4.5,4.5
2008-02-29,2008-03-06,4.2,4.2,4.0
2008-03-31,2008-04-08,1.1,2.4,2.5
2008-04-30,2008-05-02,-0.9,-0.8,-0.7
2008-05-31,2008-06-05,-3.8,-3.5,-3.2
2008-06-30,2008-07-10,-6.1,-5.9,-5.9
