Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,16.1,,
2007-09-30,2007-09-30,13.8,,
2007-12-31,2007-12-31,23.0,,
2008-03-31,2008-03-31,40.1,,
2008-06-30,2008-06-30,50.4,,
2008-09-30,2008-09-30,50.1,,
2008-12-31,2008-12-31,66.1,,
2009-03-31,2009-03-31,69.2,,
2009-06-30,2009-06-30,66.7,,
2009-09-30,2009-09-30,6.3,,
2009-12-31,2009-12-31,32.3,,
2010-03-31,2010-03-31,3.0,,
2010-06-30,2010-06-30,3.0,,
2010-09-30,2010-09-30,-21.8,,
2010-12-31,2010-12-31,-0.3,,
2011-03-31,2011-03-31,14.3,,
2011-06-30,2011-06-30,23.0,,
2011-09-30,2011-09-30,3.6,,
2011-12-31,2011-12-31,-15.0,,
2012-03-31,2012-03-31,-3.3,,
2012-06-30,2012-06-30,1.5,,
2012-09-30,2012-09-30,1.7,,
2012-12-31,2012-12-31,3.7,,
2013-03-31,2013-03-31,6.6,,
2013-06-30,2013-06-30,3.8,,
2013-09-30,2013-09-30,-14.6,,
2013-12-31,2013-12-31,-26.3,,
2014-03-31,2014-03-31,-19.1,,
2014-06-30,2014-06-30,-16.3,,
2014-09-30,2014-09-30,-20.3,,
2014-12-31,2014-12-31,-20.3,,
2015-03-31,2015-03-31,-11.0,,
2015-06-30,2015-06-30,-14.1,,
2015-09-30,2015-09-30,-14.6,,
2015-12-31,2015-12-31,-6.4,,
2016-03-31,2016-03-31,-8.6,,
2016-06-30,2016-06-30,-15.2,,
2016-09-30,2016-09-30,-11.6,,
2016-12-31,2016-12-31,-1.1,,
2017-03-31,2017-03-31,-2.8,,
2017-06-30,2017-06-30,-9.6,,
2017-09-30,2017-09-30,-19.7,,
2017-12-31,2017-12-31,-19.2,,
2018-03-31,2018-03-31,-15.0,,
2018-06-30,2018-06-30,0.9,,
2018-09-30,2018-09-30,-0.6,,
2018-12-31,2018-12-31,-11.8,,
2019-03-31,2019-03-31,-0.9,,
2019-06-30,2019-06-30,-6.0,,
2019-09-30,2019-09-30,-9.1,,
2019-12-31,2019-12-31,-15.3,,
2020-03-31,2020-03-31,16.4,,
2020-06-30,2020-06-30,26.4,,
2020-09-30,2020-09-30,59.8,,
2020-12-31,2020-12-31,41.1,,
2021-03-31,2021-03-31,36.1,,
2021-06-30,2021-06-30,19.5,,
2021-09-30,2021-09-30,20.9,,
2021-12-31,2021-12-31,13.9,,
2022-03-31,2022-03-31,18.0,,
2022-06-30,2022-06-30,37.0,,
2022-09-30,2022-09-30,29.1,,
2022-12-31,2022-12-31,44.3,,
2023-03-31,2023-03-31,36.1,,
2023-06-30,2023-06-30,41.2,,
2023-09-30,2023-09-30,47.4,,
2023-12-31,2023-12-31,39.7,,
2024-03-31,2024-03-31,34.2,,
2024-06-30,2024-06-30,34.3,,
2024-09-30,2024-09-30,31.1,,
2024-12-31,2024-12-31,3.5,,
2025-03-31,2025-03-31,2.8,,
