Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-08-31,2010-10-26,0.6,0.2,0.23
2010-09-30,2010-11-24,0.6,0.5,0.45
2010-10-31,2010-12-23,-0.4,0.35,0.4
2010-11-30,2011-01-25,0.0,0.45,0.45
2010-12-31,2011-02-25,-1.3,-1.1,-0.97
2011-01-31,2011-03-30,1.3,,
2011-02-28,2011-04-27,0.6,0.2,0.33
2011-03-31,2011-05-25,0.6,0.5,0.67
2011-04-30,2011-06-29,-1.2,,
2011-05-31,2011-07-26,1.6,0.8,0.7
2011-06-30,2011-08-26,-0.1,-0.1,-0.14
2011-07-31,2011-10-06,0.2,-0.1,-0.18
2011-08-31,2011-11-01,0.3,0.0,-0.15
2011-09-30,2011-11-24,0.1,0.0,0.05
2011-10-31,2011-12-23,-0.7,-0.1,-0.06
2011-11-30,2012-01-25,0.6,0.4,0.38
2011-12-31,2012-02-24,0.2,0.1,0.13
2012-01-31,2012-03-29,0.2,0.2,0.23
2012-02-29,2012-04-25,-0.4,0.2,0.13
2012-03-31,2012-05-24,0.5,0.3,0.33
2012-04-30,2012-06-29,0.0,0.0,0.1
2012-05-31,2012-07-25,0.9,0.15,0.24
2012-06-30,2012-08-24,-1.7,-1.8,-1.63
2012-07-31,2012-09-28,1.1,1.45,1.49
2012-08-31,2012-10-25,1.0,0.3,0.39
2012-09-30,2012-11-27,-0.5,-0.5,-0.52
2012-10-31,2012-12-21,0.1,-0.2,-0.2
2012-11-30,2013-01-25,0.0,-0.05,-0.04
2012-12-31,2013-02-27,-0.4,0.0,0.03
2013-01-31,2013-03-28,0.3,0.25,0.21
2013-02-28,2013-04-25,0.8,0.2,0.17
2013-03-31,2013-05-23,0.2,0.1,0.07
2013-04-30,2013-06-28,0.2,0.05,0.03
2013-05-31,2013-07-25,0.2,0.2,0.23
2013-06-30,2013-08-23,0.0,0.1,0.1
2013-07-31,2013-09-27,0.2,0.5,0.58
2013-08-31,2013-10-25,0.4,0.4,0.41
2013-09-30,2013-11-27,0.2,0.35,0.37
2013-10-31,2013-12-20,0.1,0.3,0.28
2013-11-30,2014-01-28,0.4,0.3,0.32
2013-12-31,2014-02-26,0.2,0.4,0.4
2014-01-31,2014-03-28,0.4,0.3,0.24
2014-02-28,2014-04-29,0.2,0.25,0.28
2014-03-31,2014-05-22,0.4,0.3,0.27
2014-04-30,2014-06-27,0.3,0.3,0.33
2014-05-31,2014-07-25,0.3,0.2,0.24
2014-06-30,2014-08-15,0.3,0.3,0.27
2014-07-31,2014-09-30,0.3,0.3,0.32
2014-08-31,2014-10-24,0.0,0.3,0.28
2014-09-30,2014-11-26,0.5,0.4,0.39
2014-10-31,2014-12-23,0.3,0.2,0.22
2014-11-30,2015-01-27,0.1,0.3,0.3
2014-12-31,2015-02-26,0.6,0.4,0.36
2015-01-31,2015-03-31,-0.2,0.3,0.26
2015-02-28,2015-04-28,0.3,0.5,0.45
2015-03-31,2015-05-28,0.1,0.3,0.31
2015-04-30,2015-06-30,0.2,0.3,0.3
2015-05-31,2015-07-28,0.3,0.3,0.26
2015-06-30,2015-08-28,0.5,0.4,0.36
2015-07-31,2015-09-30,0.2,0.2,0.19
2015-08-31,2015-10-27,0.0,0.2,0.21
2015-09-30,2015-11-27,0.4,0.3,0.36
2015-10-31,2015-12-23,0.1,0.2,0.18
2015-11-30,2016-01-28,0.2,0.2,0.22
2015-12-31,2016-02-25,0.2,0.3,0.27
2016-01-31,2016-03-31,0.2,0.2,0.21
2016-02-29,2016-04-27,0.1,0.15,0.15
2016-03-31,2016-05-26,-0.1,0.2,0.21
2016-04-30,2016-06-30,0.6,0.2,0.2
2016-05-31,2016-07-27,-0.1,0.1,0.08
2016-06-30,2016-08-26,0.2,0.1,0.06
2016-07-31,2016-09-30,0.4,0.1,0.1
2016-08-31,2016-10-27,0.2,0.05,0.04
2016-09-30,2016-11-25,0.2,0.2,0.2
2016-10-31,2016-12-23,0.3,0.2,0.22
2016-11-30,2017-01-26,0.3,0.25,0.24
2016-12-31,2017-02-22,0.2,0.1,0.08
2017-01-31,2017-03-31,-0.1,0.2,0.17
2017-02-28,2017-04-28,0.2,0.3,0.26
2017-03-31,2017-05-25,0.2,0.0,0.05
2017-04-30,2017-06-30,0.2,0.15,0.16
2017-05-31,2017-07-26,0.2,0.1,0.1
2017-06-30,2017-08-24,0.4,0.2,0.23
2017-07-31,2017-09-29,-0.2,0.05,0.02
2017-08-31,2017-10-25,0.2,0.3,0.28
2017-09-30,2017-11-23,0.1,0.2,0.2
2017-10-31,2017-12-22,0.2,0.1,0.15
2017-11-30,2018-01-26,0.4,0.2,0.18
2017-12-31,2018-02-22,0.0,0.0,0.05
2018-01-31,2018-03-29,0.2,0.2,0.17
2018-02-28,2018-04-27,-0.2,0.1,0.11
2018-03-31,2018-05-25,0.1,0.1,0.1
2018-04-30,2018-06-29,0.3,0.3,0.31
2018-05-31,2018-07-10,0.3,0.2,0.24
2018-06-30,2018-08-10,0.0,0.2,0.15
2018-07-31,2018-09-10,0.3,0.2,0.13
2018-08-31,2018-10-10,0.0,0.1,0.11
2018-09-30,2018-11-09,-0.1,0.1,0.13
2018-10-31,2018-12-10,0.2,0.1,0.12
2018-11-30,2019-01-11,0.3,0.1,0.13
2018-12-31,2019-02-11,-0.2,0.0,-0.01
2019-01-31,2019-03-12,0.3,0.2,0.18
