Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,19.2,,
2007-09-30,2007-09-30,2.0,,
2007-12-31,2007-12-31,2.8,,
2008-03-31,2008-03-31,36.8,,
2008-06-30,2008-06-30,36.1,,
2008-09-30,2008-09-30,45.1,,
2008-12-31,2008-12-31,62.0,,
2009-03-31,2009-03-31,51.8,,
2009-06-30,2009-06-30,45.2,,
2009-09-30,2009-09-30,37.1,,
2009-12-31,2009-12-31,27.0,,
2010-03-31,2010-03-31,4.6,,
2010-06-30,2010-06-30,3.8,,
2010-09-30,2010-09-30,-22.5,,
2010-12-31,2010-12-31,-9.0,,
2011-03-31,2011-03-31,-21.1,,
2011-06-30,2011-06-30,-6.6,,
2011-09-30,2011-09-30,30.1,,
2011-12-31,2011-12-31,14.2,,
2012-03-31,2012-03-31,7.5,,
2012-06-30,2012-06-30,18.8,,
2012-09-30,2012-09-30,6.4,,
2012-12-31,2012-12-31,7.3,,
2013-03-31,2013-03-31,0.7,,
2013-06-30,2013-06-30,-1.5,,
2013-09-30,2013-09-30,-3.1,,
2013-12-31,2013-12-31,-4.5,,
2014-03-31,2014-03-31,-12.9,,
2014-06-30,2014-06-30,-13.3,,
2014-09-30,2014-09-30,-18.4,,
2014-12-31,2014-12-31,-13.6,,
2015-03-31,2015-03-31,0.0,,
2015-06-30,2015-06-30,-4.0,,
2015-09-30,2015-09-30,7.3,,
2015-12-31,2015-12-31,12.9,,
2016-03-31,2016-03-31,13.8,,
2016-06-30,2016-06-30,1.2,,
2016-09-30,2016-09-30,0.0,,
2016-12-31,2016-12-31,0.0,,
2017-03-31,2017-03-31,0.0,,
2017-06-30,2017-06-30,10.9,,
2017-09-30,2017-09-30,9.4,,
2017-12-31,2017-12-31,15.1,,
2018-03-31,2018-03-31,14.4,,
2018-06-30,2018-06-30,11.1,,
2018-09-30,2018-09-30,0.0,,
2018-12-31,2018-12-31,3.1,,
2019-03-31,2019-03-31,11.7,,
2019-06-30,2019-06-30,12.6,,
2019-09-30,2019-09-30,13.3,,
2019-12-31,2019-12-31,9.9,,
2020-03-31,2020-03-31,63.5,,
2020-06-30,2020-06-30,37.6,,
2020-09-30,2020-09-30,22.2,,
2020-12-31,2020-12-31,28.6,,
2021-03-31,2021-03-31,0.7,,
2021-06-30,2021-06-30,1.7,,
2021-09-30,2021-09-30,1.6,,
2021-12-31,2021-12-31,1.9,,
2022-03-31,2022-03-31,7.7,,
2022-06-30,2022-06-30,8.5,,
2022-09-30,2022-09-30,27.3,,
2022-12-31,2022-12-31,18.0,,
2023-03-31,2023-03-31,2.8,,
2023-06-30,2023-06-30,2.6,,
2023-09-30,2023-09-30,0.0,,
2023-12-31,2023-12-31,4.1,,
2024-03-31,2024-03-31,3.4,,
2024-06-30,2024-06-30,0.0,,
2024-09-30,2024-09-30,0.9,,
2024-12-31,2024-12-31,1.2,,
2025-03-31,2025-03-31,3.0,,
