Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-06-30,12.4,,
2007-09-30,2007-09-30,1.3,,
2007-12-31,2007-12-31,23.3,,
2008-03-31,2008-03-31,29.2,,
2008-06-30,2008-06-30,37.0,,
2008-09-30,2008-09-30,53.1,,
2008-12-31,2008-12-31,60.2,,
2009-03-31,2009-03-31,50.5,,
2009-06-30,2009-06-30,46.3,,
2009-09-30,2009-09-30,42.5,,
2009-12-31,2009-12-31,31.8,,
2010-03-31,2010-03-31,-6.6,,
2010-06-30,2010-06-30,-23.0,,
2010-09-30,2010-09-30,-12.5,,
2010-12-31,2010-12-31,-0.5,,
2011-03-31,2011-03-31,-21.1,,
2011-06-30,2011-06-30,0.7,,
2011-09-30,2011-09-30,-6.2,,
2011-12-31,2011-12-31,18.0,,
2012-03-31,2012-03-31,17.7,,
2012-06-30,2012-06-30,2.1,,
2012-09-30,2012-09-30,1.6,,
2012-12-31,2012-12-31,24.7,,
2013-03-31,2013-03-31,-13.6,,
2013-06-30,2013-06-30,-0.6,,
2013-09-30,2013-09-30,-3.7,,
2013-12-31,2013-12-31,-3.3,,
2014-03-31,2014-03-31,-12.8,,
2014-06-30,2014-06-30,-14.1,,
2014-09-30,2014-09-30,-10.4,,
2014-12-31,2014-12-31,-11.9,,
2015-03-31,2015-03-31,-11.2,,
2015-06-30,2015-06-30,-7.3,,
2015-09-30,2015-09-30,-1.9,,
2015-12-31,2015-12-31,-11.0,,
2016-03-31,2016-03-31,4.5,,
2016-06-30,2016-06-30,0.0,,
2016-09-30,2016-09-30,0.0,,
2016-12-31,2016-12-31,11.3,,
2017-03-31,2017-03-31,-3.1,,
2017-06-30,2017-06-30,-26.3,,
2017-09-30,2017-09-30,0.0,,
2017-12-31,2017-12-31,1.4,,
2018-03-31,2018-03-31,9.7,,
2018-06-30,2018-06-30,0.8,,
2018-09-30,2018-09-30,10.4,,
2018-12-31,2018-12-31,6.6,,
2019-03-31,2019-03-31,1.1,,
2019-06-30,2019-06-30,1.9,,
2019-09-30,2019-09-30,10.4,,
2019-12-31,2019-12-31,4.0,,
2020-03-31,2020-03-31,-3.8,,
2020-06-30,2020-06-30,22.6,,
2020-09-30,2020-09-30,14.5,,
2020-12-31,2020-12-31,7.3,,
2021-03-31,2021-03-31,0.9,,
2021-06-30,2021-06-30,-14.2,,
2021-09-30,2021-09-30,-5.7,,
2021-12-31,2021-12-31,-6.4,,
2022-03-31,2022-03-31,3.3,,
2022-06-30,2022-06-30,-2.1,,
2022-09-30,2022-09-30,24.8,,
2022-12-31,2022-12-31,7.9,,
2023-03-31,2023-03-31,12.9,,
2023-06-30,2023-06-30,3.9,,
2023-09-30,2023-09-30,1.3,,
2023-12-31,2023-12-31,2.7,,
2024-03-31,2024-03-31,9.3,,
2024-06-30,2024-06-30,5.6,,
2024-09-30,2024-09-30,0.0,,
2024-12-31,2024-12-31,-0.7,,
2025-03-31,2025-03-31,2.9,,
