Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-01,19.2,,
2003-07-31,2003-07-29,17.9,,
2003-08-31,2003-08-29,16.6,,
2003-09-30,2003-09-30,15.5,,
2003-10-31,2003-10-31,16.1,,
2003-11-30,2003-11-28,15.2,,
2003-12-31,2003-12-31,15.6,,
2004-01-31,2004-01-29,14.3,,
2004-02-29,2004-02-26,17.1,14.7,14.8
2004-03-31,2004-03-30,16.7,16.6,16.6
2004-04-30,2004-04-29,18.9,,
2004-05-31,2004-05-27,19.5,19.2,19.0
2004-06-30,2004-06-29,19.1,,
2004-07-31,2004-07-29,20.3,19.0,18.9
2004-08-31,2004-09-01,18.9,19.9,20.0
2004-09-30,2004-09-30,17.8,17.7,17.7
2004-10-31,2004-10-28,15.3,16.3,16.3
2004-11-30,2004-11-30,15.0,13.6,13.6
2004-12-31,2004-12-30,12.7,12.6,12.7
2005-01-31,2005-01-27,12.6,,
2005-02-28,2005-03-01,10.2,10.0,10.4
2005-03-31,2005-03-31,7.9,8.6,8.7
2005-04-30,2005-04-28,7.0,6.4,6.5
2005-05-31,2005-06-02,5.5,5.5,5.5
2005-06-30,2005-06-30,4.1,4.7,4.7
2005-07-31,2005-07-28,2.6,2.5,2.6
2005-08-31,2005-09-01,2.3,2.6,2.5
2005-09-30,2005-09-29,1.8,2.2,2.1
2005-10-31,2005-11-01,3.3,2.1,2.1
2005-11-30,2005-11-29,2.4,2.7,2.8
2005-12-31,2005-12-30,3.0,3.0,3.0
2006-01-31,2006-01-31,4.4,3.3,3.4
2006-02-28,2006-02-28,3.7,4.3,4.3
2006-03-31,2006-03-30,5.3,4.5,4.6
2006-04-30,2006-04-27,4.8,5.2,5.1
2006-05-31,2006-05-31,4.7,5.1,5.2
2006-06-30,2006-06-29,5.0,5.2,5.3
2006-07-31,2006-08-01,5.9,5.4,5.4
2006-08-31,2006-08-31,6.6,6.2,6.2
2006-09-30,2006-09-28,8.2,7.0,7.0
2006-10-31,2006-10-31,8.0,7.9,8.0
2006-11-30,2006-11-30,9.6,8.4,8.4
2006-12-31,2006-12-28,10.5,9.9,9.9
2007-01-31,2007-01-30,9.3,9.9,9.9
2007-02-28,2007-02-28,10.2,9.8,9.8
2007-03-31,2007-03-28,9.3,9.6,9.6
2007-04-30,2007-04-26,10.2,9.5,9.6
2007-05-31,2007-05-31,10.3,10.4,10.4
2007-06-30,2007-06-28,11.1,10.3,10.4
2007-07-31,2007-07-26,9.9,10.6,10.5
2007-08-31,2007-08-30,9.6,9.7,9.7
2007-09-30,2007-09-27,9.0,8.7,8.8
2007-10-31,2007-10-31,9.7,8.5,8.6
2007-11-30,2007-11-29,6.9,8.4,8.2
2007-12-31,2007-12-28,4.8,5.3,5.1
2008-01-31,2008-01-31,4.2,4.2,4.2
2008-02-29,2008-02-29,2.7,3.6,3.5
2008-03-31,2008-03-28,1.1,2.0,2.0
2008-04-30,2008-04-30,-1.0,0.0,0.0
2008-05-31,2008-05-29,-4.4,-2.1,-2.1
2008-06-30,2008-07-01,-6.3,-6.4,-6.3
2008-07-31,2008-07-31,-8.1,-7.3,-7.4
2008-08-31,2008-08-28,-10.5,-9.6,-9.8
2008-09-30,2008-10-02,-12.4,-12.4,-12.4
2008-10-31,2008-10-30,-14.6,-14.7,-14.6
2008-11-30,2008-11-27,-13.9,-15.1,-15.3
2008-12-31,2009-01-06,-15.9,-14.6,-12.4
2009-01-31,2009-01-29,-16.6,-16.7,-16.7
2009-02-28,2009-02-26,-17.6,-17.1,-17.2
2009-03-31,2009-04-02,-15.7,-18.1,-18.1
2009-04-30,2009-04-30,-15.0,-15.8,-15.8
2009-05-31,2009-05-29,-11.3,-13.7,-13.8
2009-06-30,2009-06-30,-9.3,-10.8,-10.8
2009-07-31,2009-07-30,-6.2,-7.6,-7.6
2009-08-31,2009-08-27,-2.7,-3.9,-4.3
2009-09-30,2009-10-02,0.0,-0.3,-0.7
2009-10-31,2009-10-30,2.0,1.8,1.9
2009-11-30,2009-12-01,2.7,2.4,2.4
2009-12-31,2009-12-31,5.9,5.6,5.6
2010-01-31,2010-01-29,8.6,7.3,7.4
2010-02-28,2010-02-26,9.2,11.0,10.9
2010-03-31,2010-03-30,9.0,8.2,8.3
2010-04-30,2010-04-29,10.5,9.7,9.7
2010-05-31,2010-06-03,9.8,9.6,9.6
