Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-10-31,2008-11-10,-0.5,-0.2,-0.3
2008-11-30,2008-12-08,0.2,-0.4,-0.4
2008-12-31,2009-01-09,0.2,-0.2,-0.2
2009-01-31,2009-02-06,0.4,0.1,0.0
2009-02-28,2009-03-06,0.0,0.2,0.1
2009-03-31,2009-04-09,0.2,0.1,0.0
2009-04-30,2009-05-08,0.4,0.1,0.1
2009-05-31,2009-06-05,0.2,0.3,0.2
2009-06-30,2009-07-10,-0.8,0.2,0.2
2009-07-31,2009-08-07,0.5,0.1,0.0
2009-08-31,2009-09-11,0.2,0.2,0.2
2009-09-30,2009-10-09,0.5,0.2,0.1
2009-10-31,2009-11-06,0.3,0.2,0.2
2009-11-30,2009-12-11,-0.1,0.2,0.2
2009-12-31,2010-01-08,0.7,0.1,0.1
2010-01-31,2010-02-05,0.3,0.3,0.3
2010-02-28,2010-03-05,0.3,0.2,0.2
2010-03-31,2010-04-09,0.7,0.3,0.3
2010-04-30,2010-05-07,1.1,0.3,0.3
2010-05-31,2010-06-11,0.1,0.4,0.4
2010-06-30,2010-07-09,-0.3,0.1,0.1
2010-07-31,2010-08-06,0.2,0.1,0.1
2010-08-31,2010-09-10,0.1,0.1,0.1
2010-09-30,2010-10-08,0.4,0.2,0.2
2010-10-31,2010-11-05,0.4,0.2,0.2
2010-11-30,2010-12-10,0.2,0.3,0.3
2010-12-31,2011-01-14,0.2,0.3,0.3
2011-01-31,2011-02-11,0.7,0.3,0.3
2011-02-28,2011-03-11,0.1,0.4,0.4
2011-03-31,2011-04-08,0.4,0.3,0.3
2011-04-30,2011-05-06,0.6,0.3,0.3
2011-05-31,2011-06-10,0.2,0.3,0.3
2011-06-30,2011-07-08,0.2,0.2,0.1
2011-07-31,2011-08-05,0.3,0.2,0.2
2011-08-31,2011-09-09,0.2,0.1,0.1
2011-09-30,2011-10-07,0.3,0.1,0.1
2011-10-31,2011-11-11,-0.1,0.1,0.1
2011-11-30,2011-12-09,0.0,0.0,0.0
2011-12-31,2012-01-13,-0.1,0.0,0.0
2012-01-31,2012-02-10,0.3,0.0,0.1
2012-02-29,2012-03-09,0.5,0.1,0.1
2012-03-31,2012-04-13,0.1,0.2,0.3
2012-04-30,2012-05-11,0.6,0.2,0.2
2012-05-31,2012-06-08,0.0,0.2,0.2
2012-06-30,2012-07-06,-0.2,0.0,0.0
2012-07-31,2012-08-10,0.0,0.1,0.1
2012-08-31,2012-09-07,0.1,0.0,0.1
2012-09-30,2012-10-16,0.3,0.1,0.1
2012-10-31,2012-11-13,0.1,0.1,0.1
2012-11-30,2012-12-18,0.0,0.1,0.1
2012-12-31,2013-01-15,0.0,0.0,0.0
2013-01-31,2013-02-12,0.2,0.1,0.1
2013-02-28,2013-03-19,0.3,0.3,0.2
2013-03-31,2013-04-16,0.1,0.2,0.2
2013-04-30,2013-05-21,0.1,0.3,0.3
2013-05-31,2013-06-18,0.1,0.1,0.1
2013-06-30,2013-07-16,0.0,0.1,0.0
2013-07-31,2013-08-13,0.1,0.1,0.1
2013-08-31,2013-09-17,0.0,0.1,0.1
2013-09-30,2013-10-15,-0.1,0.1,0.1
2013-10-31,2013-11-12,0.1,0.1,0.0
2013-11-30,2013-12-17,-0.1,0.0,0.0
2013-12-31,2014-01-14,0.1,0.0,0.0
2014-01-31,2014-02-18,0.5,0.1,0.1
2014-02-28,2014-03-25,0.1,0.0,0.0
2014-03-31,2014-04-15,0.1,0.1,0.1
2014-04-30,2014-05-20,0.0,0.1,0.1
2014-05-31,2014-06-17,0.0,0.1,0.0
2014-06-30,2014-07-15,0.0,0.0,0.0
2014-07-31,2014-08-19,0.0,0.0,0.0
2014-08-31,2014-09-16,0.1,0.0,0.0
2014-09-30,2014-10-14,-0.1,0.0,0.0
2014-10-31,2014-11-18,0.1,0.0,0.0
2014-11-30,2014-12-16,0.5,0.0,0.0
2014-12-31,2015-01-13,0.0,-0.1,-0.1
2015-01-31,2015-02-17,0.2,0.1,0.1
2015-02-28,2015-03-24,0.1,0.1,0.1
2015-03-31,2015-04-14,0.0,0.1,0.1
2015-04-30,2015-05-19,0.0,0.0,0.0
2015-05-31,2015-06-16,0.0,0.0,0.0
2015-06-30,2015-07-14,0.0,0.0,0.0
2015-07-31,2015-08-18,0.1,0.0,0.0
2015-08-31,2015-09-15,0.0,0.0,0.0
2015-09-30,2015-10-13,0.1,0.0,0.0
2015-10-31,2015-11-17,-0.1,0.0,0.0
2015-11-30,2015-12-15,-0.2,0.0,0.0
2015-12-31,2016-01-19,0.2,0.0,0.0
2016-01-31,2016-02-16,0.1,0.1,0.1
2016-02-29,2016-03-22,0.2,0.1,0.1
2016-03-31,2016-04-12,0.1,0.1,0.1
2016-04-30,2016-05-17,0.2,0.1,0.1
2016-05-31,2016-06-14,0.0,0.1,0.1
2016-06-30,2016-07-19,0.1,0.1,0.1
2016-07-31,2016-08-16,0.4,0.1,0.1
2016-08-31,2016-09-13,0.2,0.2,0.2
2016-09-30,2016-10-18,0.1,0.2,0.2
2016-10-31,2016-11-15,0.4,0.1,0.1
2016-11-30,2016-12-13,0.0,0.2,0.1
2016-12-31,2017-01-17,0.0,0.2,0.2
2017-01-31,2017-02-14,0.5,0.3,0.2
2017-02-28,2017-03-21,0.0,0.2,0.2
2017-03-31,2017-04-11,0.3,0.2,0.2
2017-04-30,2017-05-16,0.5,0.2,0.2
2017-05-31,2017-06-13,0.1,0.2,0.2
2017-06-30,2017-07-18,0.2,0.1,0.1
2017-07-31,2017-08-15,0.1,0.1,0.1
2017-08-31,2017-09-12,0.2,0.1,0.1
2017-09-30,2017-10-17,0.0,0.1,0.1
2017-10-31,2017-11-14,0.1,0.2,0.2
2017-11-30,2017-12-12,0.2,0.2,0.2
2017-12-31,2018-01-16,0.3,0.2,0.2
2018-01-31,2018-02-13,0.3,0.2,0.3
2018-02-28,2018-03-20,0.2,0.2,0.2
2018-03-31,2018-04-18,0.1,0.2,0.2
2018-04-30,2018-05-23,0.1,0.3,0.2
2018-05-31,2018-06-13,0.2,0.2,0.2
2018-06-30,2018-07-18,0.2,0.2,0.2
2018-07-31,2018-08-15,0.0,0.2,0.2
2018-08-31,2018-09-19,0.1,0.2,0.2
2018-09-30,2018-10-17,0.1,0.2,0.1
2018-10-31,2018-11-14,0.3,0.2,0.2
2018-11-30,2018-12-19,0.1,0.2,0.1
2018-12-31,2019-01-16,0.2,0.1,0.1
2019-01-31,2019-02-13,0.4,0.2,0.2
2019-02-28,2019-03-20,0.1,0.2,0.1
2019-03-31,2019-04-17,0.0,0.1,0.1
2019-04-30,2019-05-22,0.2,0.2,0.2
2019-05-31,2019-06-19,0.1,0.2,0.2
2019-06-30,2019-07-17,0.1,0.1,0.1
2019-07-31,2019-08-14,0.4,0.1,0.1
2019-08-31,2019-09-18,0.2,0.2,0.1
2019-09-30,2019-10-16,-0.1,0.1,0.1
2019-10-31,2019-11-13,-0.1,0.1,0.1
2019-11-30,2019-12-18,-0.1,0.1,0.1
2019-12-31,2020-01-15,-0.1,0.0,0.0
2020-01-31,2020-02-19,0.1,0.1,0.1
2020-02-29,2020-03-25,-0.1,0.0,0.0
2020-03-31,2020-04-22,0.3,0.0,0.0
2020-04-30,2020-05-20,-0.1,0.0,0.0
2020-05-31,2020-06-17,0.0,0.0,0.0
2020-06-30,2020-07-15,0.0,0.0,0.1
2020-07-31,2020-08-19,-0.1,0.1,0.1
2020-08-31,2020-09-16,0.1,0.1,0.1
2020-09-30,2020-10-21,0.2,0.0,0.0
2020-10-31,2020-11-18,0.2,0.1,0.1
