Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-10-31,2008-11-10,-5.6,-2.5,-2.7
2008-11-30,2008-12-08,-3.3,-3.0,-3.2
2008-12-31,2009-01-09,-2.0,-2.0,-2.0
2009-01-31,2009-02-06,1.5,0.5,0.7
2009-02-28,2009-03-06,0.6,0.2,0.2
2009-03-31,2009-04-09,1.0,0.9,0.9
2009-04-30,2009-05-08,-1.0,0.8,0.7
2009-05-31,2009-06-05,0.4,0.8,0.7
2009-06-30,2009-07-10,1.5,0.8,1.0
2009-07-31,2009-08-07,-1.4,-0.8,-0.6
2009-08-31,2009-09-11,2.2,1.0,1.1
2009-09-30,2009-10-09,-0.5,-0.8,-0.4
2009-10-31,2009-11-06,2.6,1.5,1.4
2009-11-30,2009-12-11,0.1,0.5,0.8
2009-12-31,2010-01-08,0.1,-0.2,-0.4
2010-01-31,2010-02-05,2.0,0.8,0.7
2010-02-28,2010-03-05,0.1,0.2,0.3
2010-03-31,2010-04-09,3.6,1.2,1.3
2010-04-30,2010-05-07,0.6,1.0,0.8
2010-05-31,2010-06-11,-0.6,-1.0,-0.7
2010-06-30,2010-07-09,-0.2,-0.4,-0.4
2010-07-31,2010-08-06,-1.0,-0.5,-0.3
2010-08-31,2010-09-10,-0.5,0.1,0.1
2010-09-30,2010-10-08,0.7,0.4,0.5
2010-10-31,2010-11-05,2.1,0.9,0.9
2010-11-30,2010-12-13,0.9,0.5,0.6
2010-12-31,2011-01-14,3.4,1.7,1.5
2011-01-31,2011-02-11,1.7,1.4,1.5
2011-02-28,2011-03-11,1.1,1.5,1.5
2011-03-31,2011-04-08,3.7,2.1,1.9
2011-04-30,2011-05-06,2.6,1.6,1.7
2011-05-31,2011-06-10,-2.0,-1.0,-0.9
2011-06-30,2011-07-08,0.4,-0.1,0.0
2011-07-31,2011-08-05,0.6,0.7,0.6
2011-08-31,2011-09-09,-1.9,-1.5,-1.4
2011-09-30,2011-10-07,1.7,1.2,1.1
2011-10-31,2011-11-11,-0.8,-0.3,-0.2
2011-11-30,2011-12-09,0.1,-0.1,-0.2
2011-12-31,2012-01-13,-0.6,-0.2,-0.1
2012-01-31,2012-02-10,0.5,0.2,0.3
2012-02-29,2012-03-09,2.1,1.0,1.0
2012-03-31,2012-04-13,1.9,1.4,1.3
2012-04-30,2012-05-11,-1.5,-0.9,-0.9
2012-05-31,2012-06-08,-2.5,-1.6,-1.6
2012-06-30,2012-07-06,-2.2,-2.1,-2.3
2012-07-31,2012-08-10,1.3,1.3,1.1
