Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,84.8,,
2003-09-30,2003-09-30,86.3,,
2003-12-31,2003-12-31,87.2,,
2004-03-31,2004-03-31,90.9,,
2004-06-30,2004-06-30,90.4,,
2004-09-30,2004-09-30,88.7,,
2004-12-31,2004-12-31,88.9,,
2005-03-31,2005-03-31,89.3,,
2005-06-30,2005-06-30,91.3,,
2005-09-30,2005-09-30,91.5,,
2005-12-31,2005-12-31,94.9,,
2006-03-31,2006-03-31,96.0,,
2006-06-30,2006-06-30,98.7,,
2006-09-30,2006-09-30,98.9,,
2006-12-31,2006-12-31,97.3,,
2007-03-31,2007-03-31,98.1,,
2007-06-30,2007-06-30,97.9,,
2007-09-30,2007-09-30,97.4,,
2007-12-31,2007-12-31,97.1,,
2008-03-31,2008-03-31,99.1,,
2008-06-30,2008-06-30,97.8,,
2008-09-30,2008-09-30,98.5,,
2008-12-31,2008-12-31,98.3,,
2009-03-31,2009-03-31,95.7,,
2009-06-30,2009-06-30,98.0,,
2009-09-30,2009-09-30,98.0,,
2009-12-31,2009-12-31,97.7,,
2010-03-31,2010-03-31,97.2,,
2010-06-30,2010-06-30,95.8,,
2010-09-30,2010-09-30,93.1,,
2010-12-31,2010-12-31,91.0,,
2011-03-31,2011-03-31,87.6,,
2011-06-30,2011-06-30,89.3,,
2011-09-30,2011-09-30,90.1,,
2011-12-31,2011-12-31,91.0,,
2012-03-31,2012-03-31,89.7,,
2012-06-30,2012-06-30,89.3,,
2012-09-30,2012-09-30,88.1,,
2012-12-31,2012-12-31,88.9,,
2013-03-31,2013-03-31,89.6,,
2013-06-30,2013-06-30,89.8,,
2013-09-30,2013-09-30,89.4,,
2013-12-31,2013-12-31,89.9,,
2014-03-31,2014-03-31,91.8,,
2014-06-30,2014-06-30,91.4,,
2014-09-30,2014-09-30,91.6,,
2014-12-31,2014-12-31,91.3,,
2015-03-31,2015-03-31,94.1,,
2015-06-30,2015-06-30,95.8,,
2015-09-30,2015-09-30,96.6,,
2015-12-31,2015-12-31,95.8,,
2016-03-31,2016-03-31,95.2,,
2016-06-30,2016-06-30,96.1,,
2016-09-30,2016-09-30,96.1,,
2016-12-31,2016-12-31,95.7,,
2017-03-31,2017-03-31,94.4,,
2017-06-30,2017-06-30,94.3,,
2017-09-30,2017-09-30,95.2,,
2017-12-31,2017-12-31,96.4,,
2018-03-31,2018-03-31,98.2,,
2018-06-30,2018-06-30,97.4,,
2018-09-30,2018-09-30,97.2,,
2018-12-31,2018-12-31,95.7,,
2019-03-31,2019-03-31,95.7,,
2019-06-30,2019-06-30,98.0,,
2019-09-30,2019-09-30,99.8,,
2019-12-31,2019-12-31,103.7,,
2020-03-31,2020-03-31,107.9,,
2020-06-30,2020-06-30,114.1,,
2020-09-30,2020-09-30,125.3,,
2020-12-31,2020-12-31,118.8,,
2021-03-31,2021-03-31,114.2,,
2021-06-30,2021-06-30,109.2,,
2021-09-30,2021-09-30,107.4,,
2021-12-31,2021-12-31,105.1,,
2022-03-31,2022-03-31,100.2,,
2022-06-30,2022-06-30,101.8,,
2022-09-30,2022-09-30,99.4,,
2022-12-31,2022-12-31,98.6,,
2023-03-31,2023-03-31,98.4,,
2023-06-30,2023-06-30,99.0,,
2023-09-30,2023-09-30,100.4,,
2023-12-31,2023-12-31,98.9,,
2024-03-31,2024-03-31,100.0,,
2024-06-30,2024-06-30,98.4,,
2024-09-30,2024-09-30,96.6,,
