Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-01-31,2004-02-16,38.0,,
2004-02-29,2004-03-15,38.0,,
2004-03-31,2004-04-19,45.0,38.0,37.4
2004-04-30,2004-05-17,46.0,48.0,47.3
2004-05-31,2004-06-14,44.0,46.0,44.4
2004-06-30,2004-07-19,17.0,40.0,39.9
2004-07-31,2004-08-16,3.0,10.0,9.9
2004-08-31,2004-09-20,-12.0,-2.0,-0.5
2004-09-30,2004-10-18,-30.0,-15.0,-13.8
2004-10-31,2004-11-15,-41.0,-35.0,-32.8
2004-11-30,2004-12-20,-48.0,-43.0,-41.1
2004-12-31,2005-01-17,-37.0,-50.5,-49.0
2005-01-31,2005-02-14,-36.0,-33.0,-32.5
2005-02-28,2005-03-14,-32.0,-34.5,-34.3
2005-03-31,2005-04-18,-37.0,-29.5,-29.2
2005-04-30,2005-05-16,-40.0,-35.0,-34.9
2005-05-31,2005-06-13,-49.0,-38.0,-38.3
2005-06-30,2005-07-18,-42.0,-45.0,-44.7
2005-07-31,2005-08-15,-36.0,-39.5,-40.1
2005-08-31,2005-09-19,-26.0,-32.0,-32.7
2005-09-30,2005-10-17,-21.0,-22.0,-21.5
2005-10-31,2005-11-14,-9.0,-18.0,-16.9
2005-11-30,2005-12-19,4.0,-5.0,-5.3
2005-12-31,2006-01-17,8.0,8.0,8.7
2006-01-31,2006-02-15,9.0,10.0,9.9
2006-02-28,2006-03-15,17.0,10.0,11.0
2006-03-31,2006-04-18,13.0,20.0,18.9
2006-04-30,2006-05-15,15.0,14.0,14.3
2006-05-31,2006-06-14,20.0,14.0,13.4
2006-06-30,2006-07-17,28.0,20.0,20.3
2006-07-31,2006-08-14,31.0,30.0,29.1
2006-08-31,2006-09-13,35.0,32.0,31.5
2006-09-30,2006-10-11,45.0,,
2006-10-31,2006-11-15,48.0,45.0,44.3
2006-11-30,2006-12-18,47.0,46.0,47.3
2006-12-31,2007-01-15,37.0,45.0,45.9
2007-01-31,2007-02-14,28.0,34.0,33.5
2007-02-28,2007-03-12,24.0,25.0,24.8
2007-03-31,2007-04-11,25.5,21.0,21.6
2007-04-30,2007-05-14,28.9,24.0,24.4
2007-05-31,2007-06-13,23.9,25.0,24.8
2007-06-30,2007-07-11,10.6,20.0,20.3
2007-07-31,2007-08-13,12.6,9.1,8.5
2007-08-31,2007-09-12,-1.8,10.0,9.3
2007-09-30,2007-10-10,-14.6,,
2007-10-31,2007-11-12,-22.2,-18.0,-19.2
2007-11-30,2007-12-12,-40.6,-28.5,-28.1
