Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-30,2.0,1.9,1.8
2003-09-30,2003-12-23,2.1,1.9,1.9
2003-12-31,2004-03-26,2.7,2.5,2.5
2004-03-31,2004-06-30,3.4,3.1,3.0
2004-06-30,2004-09-29,3.6,3.7,3.7
2004-09-30,2004-12-23,3.1,3.0,3.0
2004-12-31,2005-03-23,2.9,2.6,2.9
2005-03-31,2005-06-30,2.1,2.8,2.8
2005-06-30,2005-09-28,1.5,1.7,1.8
2005-09-30,2005-12-22,1.7,1.6,1.6
2005-12-31,2006-03-29,1.8,1.7,1.7
2006-03-31,2006-06-30,2.3,2.2,2.2
2006-06-30,2006-09-27,2.6,2.5,2.6
2006-09-30,2006-12-21,2.9,2.8,2.8
2006-12-31,2007-03-28,3.0,2.9,3.0
2007-03-31,2007-06-29,3.0,2.8,2.8
2007-06-30,2007-09-26,3.1,2.9,3.0
2007-09-30,2007-12-20,3.3,3.3,3.3
2007-12-31,2008-03-28,2.8,2.8,2.9
2008-03-31,2008-06-27,2.3,2.6,2.5
2008-06-30,2008-09-30,1.5,1.4,1.5
2008-09-30,2008-12-23,0.3,0.3,0.3
2008-12-31,2009-03-27,-2.0,-1.4,-1.9
2009-03-31,2009-06-30,-4.9,-4.1,-4.3
2009-06-30,2009-09-29,-5.5,-5.6,-5.4
2009-09-30,2009-12-22,-5.1,-5.1,-4.9
2009-12-31,2010-03-30,-3.1,-3.3,-3.3
2010-03-31,2010-07-12,-0.2,-0.1,-0.2
2010-06-30,2010-09-28,1.7,1.7,1.7
2010-09-30,2010-12-22,2.7,2.8,2.8
2010-12-31,2011-03-29,1.5,1.5,1.5
2011-03-31,2011-06-28,1.6,1.8,1.8
2011-06-30,2011-10-05,0.6,0.7,0.7
2011-09-30,2011-12-22,0.5,0.5,0.5
2011-12-31,2012-03-28,0.5,0.7,0.8
2012-03-31,2012-06-28,-0.2,-0.1,0.0
2012-06-30,2012-09-27,-0.5,-0.5,-0.6
2012-09-30,2012-12-21,0.0,-0.1,0.0
2012-12-31,2013-03-27,0.2,0.3,0.0
2013-03-31,2013-06-27,0.3,0.6,0.6
2013-06-30,2013-09-26,1.3,1.5,1.5
2013-09-30,2013-12-20,1.9,1.5,1.5
2013-12-31,2014-03-28,2.7,2.7,2.7
2014-03-31,2014-06-27,3.0,3.1,3.1
2014-06-30,2014-09-30,3.2,3.2,3.3
2014-09-30,2014-12-23,2.6,3.0,3.0
2014-12-31,2015-03-31,3.0,2.7,2.7
2015-03-31,2015-06-30,2.9,2.5,2.5
2015-06-30,2015-09-30,2.4,2.6,2.6
2015-09-30,2015-12-23,2.1,2.3,2.3
2015-12-31,2016-03-31,2.1,1.9,1.9
2016-03-31,2016-06-30,2.0,2.0,2.0
2016-06-30,2016-09-30,2.1,2.2,2.2
2016-09-30,2016-12-23,2.2,2.3,2.3
2016-12-31,2017-03-31,1.9,2.0,2.0
2017-03-31,2017-06-30,2.0,2.0,2.0
2017-06-30,2017-09-29,1.5,1.7,1.7
2017-09-30,2017-12-22,1.7,1.5,1.5
2017-12-31,2018-03-29,1.4,1.4,1.4
2018-03-31,2018-06-29,1.2,1.2,1.2
2018-06-30,2018-09-28,1.2,1.3,1.3
2018-09-30,2018-12-21,1.5,1.5,1.5
2018-12-31,2019-03-29,1.4,1.3,1.3
2019-03-31,2019-06-28,1.8,1.8,1.8
2019-06-30,2019-09-30,1.3,1.2,1.2
2019-09-30,2019-12-20,1.1,1.0,1.0
2019-12-31,2020-03-31,1.1,1.1,1.1
2020-03-31,2020-06-30,-1.7,-1.6,-1.6
2020-06-30,2020-09-30,-21.5,-21.7,-21.6
2020-09-30,2020-12-22,-8.6,-9.6,-9.6
2020-12-31,2021-03-31,-7.3,-7.8,-7.8
2021-03-31,2021-06-30,-6.1,-6.1,-6.1
2021-06-30,2021-09-30,23.6,22.2,21.3
2021-09-30,2021-12-22,6.8,6.6,6.6
2021-12-31,2022-03-31,6.6,6.5,6.5
2022-03-31,2022-06-30,8.7,8.7,8.7
2022-06-30,2022-09-30,4.4,2.9,2.9
2022-09-30,2022-12-22,1.9,2.4,2.4
2022-12-31,2023-03-31,0.6,0.4,0.4
2023-03-31,2023-06-30,0.2,0.2,0.2
2023-06-30,2023-09-29,0.6,0.4,0.4
2023-09-30,2023-12-22,0.3,0.6,0.6
2023-12-31,2024-03-28,-0.2,-0.2,-0.2
2024-03-31,2024-06-28,0.3,0.2,0.2
2024-06-30,2024-09-30,0.7,0.9,0.9
2024-09-30,2024-12-23,0.9,1.0,1.0
2024-12-31,2025-03-28,1.5,1.4,1.4
2025-03-31,2025-05-15,1.3,1.2,1.1
