Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-15,-0.1,0.1,0.05
2003-07-31,2003-08-12,0.0,-0.3,-0.3
2003-08-31,2003-09-16,0.2,0.2,0.23
2003-09-30,2003-10-14,0.5,0.5,0.48
2003-10-31,2003-11-18,0.1,0.2,0.18
2003-11-30,2003-12-16,0.1,0.2,0.2
2003-12-31,2004-01-20,0.4,0.3,0.26
2004-01-31,2004-02-17,-0.2,-0.1,-0.15
2004-02-29,2004-03-16,0.4,0.5,0.45
2004-03-31,2004-04-20,0.4,0.5,0.47
2004-04-30,2004-05-18,0.6,0.7,0.72
2004-05-31,2004-06-15,0.4,0.4,0.46
2004-06-30,2004-07-13,0.2,0.2,0.16
2004-07-31,2004-08-10,0.0,0.0,0.03
2004-08-31,2004-09-14,0.3,0.3,0.34
2004-09-30,2004-10-12,0.4,0.6,0.55
2004-10-31,2004-11-16,0.3,0.2,0.2
2004-11-30,2004-12-14,0.2,0.1,0.09
2004-12-31,2005-01-18,0.5,0.2,0.18
2005-01-31,2005-02-15,-0.5,-0.3,-0.3
2005-02-28,2005-03-22,0.4,0.4,0.4
2005-03-31,2005-04-19,0.5,0.4,0.38
2005-04-30,2005-05-17,0.6,0.6,0.58
2005-05-31,2005-06-14,0.2,0.3,0.3
2005-06-30,2005-07-12,0.1,0.1,0.09
2005-07-31,2005-08-16,0.0,-0.1,-0.1
2005-08-31,2005-09-13,0.2,,
2005-09-30,2005-10-18,0.3,0.3,0.31
2005-10-31,2005-11-15,0.1,0.2,0.16
2005-11-30,2005-12-13,0.2,0.1,0.12
2005-12-31,2006-01-17,0.3,0.4,0.35
2006-01-31,2006-02-14,-0.4,-0.3,-0.28
2006-02-28,2006-03-21,0.4,0.4,0.38
2006-03-31,2006-04-20,0.4,0.5,0.46
2006-04-30,2006-05-16,0.8,0.7,0.69
2006-05-31,2006-06-13,0.6,0.3,0.37
2006-06-30,2006-07-18,0.4,0.1,0.1
2006-07-31,2006-08-15,0.0,0.0,0.05
2006-08-31,2006-09-12,0.4,0.3,0.27
2006-09-30,2006-10-17,0.5,0.2,0.28
2006-10-31,2006-11-14,0.1,0.3,0.29
2006-11-30,2006-12-12,0.3,0.3,0.25
2006-12-31,2007-01-16,0.8,0.6,0.56
2007-01-31,2007-02-13,-0.5,-0.3,-0.35
2007-02-28,2007-03-20,0.7,0.5,0.49
2007-03-31,2007-04-17,0.6,0.45,0.43
2007-04-30,2007-05-15,0.5,0.5,0.51
2007-05-31,2007-06-12,0.4,0.4,0.39
2007-06-30,2007-07-17,0.5,0.3,0.3
2007-07-31,2007-08-14,-0.6,-0.1,-0.08
2007-08-31,2007-09-18,0.6,0.5,0.46
2007-09-30,2007-10-16,0.3,,0.4
2007-10-31,2007-11-13,0.4,0.4,0.37
2007-11-30,2007-12-18,0.4,0.3,0.35
2007-12-31,2008-01-15,0.6,0.6,0.55
2008-01-31,2008-02-12,-0.5,-0.5,-0.5
2008-02-29,2008-03-18,0.8,0.8,0.78
