Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-15,2.9,3.0,3.03
2003-07-31,2003-08-12,3.1,2.8,2.76
2003-08-31,2003-09-16,2.9,3.0,3.0
2003-09-30,2003-10-14,2.8,2.8,2.76
2003-10-31,2003-11-18,2.6,2.8,2.78
2003-11-30,2003-12-16,2.5,2.7,2.67
2003-12-31,2004-01-20,2.8,2.6,2.63
2004-01-31,2004-02-17,2.6,2.7,2.7
2004-02-29,2004-03-16,2.5,2.6,2.56
2004-03-31,2004-04-20,2.6,2.7,2.67
2004-04-30,2004-05-18,2.5,2.6,2.6
2004-05-31,2004-06-15,2.8,2.8,2.78
2004-06-30,2004-07-13,3.0,3.0,3.02
2004-07-31,2004-08-10,3.0,3.0,3.04
2004-08-31,2004-09-14,3.2,3.2,3.19
2004-09-30,2004-10-12,3.1,3.25,3.2
2004-10-31,2004-11-16,3.3,3.2,3.2
2004-11-30,2004-12-14,3.4,3.3,3.32
2004-12-31,2005-01-18,3.5,3.2,3.2
2005-01-31,2005-02-15,3.2,3.4,3.4
2005-02-28,2005-03-22,3.2,3.2,3.18
2005-03-31,2005-04-19,3.2,3.1,3.06
2005-04-30,2005-05-17,3.2,3.2,3.14
2005-05-31,2005-06-14,2.9,3.1,3.05
2005-06-30,2005-07-12,2.9,2.9,2.87
2005-07-31,2005-08-16,2.9,2.8,2.8
2005-08-31,2005-09-13,2.8,2.9,2.87
2005-09-30,2005-10-18,2.7,2.7,2.71
2005-10-31,2005-11-15,2.5,2.55,2.54
2005-11-30,2005-12-13,2.4,2.4,2.38
2005-12-31,2006-01-17,2.2,2.3,2.3
2006-01-31,2006-02-14,2.4,2.4,2.42
2006-02-28,2006-03-21,2.4,2.4,2.38
2006-03-31,2006-04-20,2.4,2.4,2.39
2006-04-30,2006-05-16,2.6,2.5,2.51
2006-05-31,2006-06-13,3.0,2.7,2.73
2006-06-30,2006-07-18,3.3,3.0,2.98
2006-07-31,2006-08-15,3.3,3.3,3.31
2006-08-31,2006-09-12,3.4,3.4,3.34
2006-09-30,2006-10-17,3.6,3.4,3.39
2006-10-31,2006-11-14,3.7,3.8,3.82
2006-11-30,2006-12-12,3.9,3.8,3.76
2006-12-31,2007-01-16,4.4,4.25,4.21
