Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2012-03-31,2012-03-31,0.27,,
2012-04-30,2012-04-30,0.24,,
2012-05-31,2012-05-31,0.16,,
2012-06-30,2012-06-30,0.34,,
2012-07-31,2012-07-31,0.24,,
2012-08-31,2012-08-31,0.24,,
2012-09-30,2012-09-30,0.25,,
2012-10-31,2012-10-31,0.15,,
2012-11-30,2012-11-30,0.13,,
2012-12-31,2012-12-31,0.35,,
2013-01-31,2013-01-31,0.34,,
2013-02-28,2013-02-28,0.24,,
2013-03-31,2013-03-31,0.2,,
2013-04-30,2013-04-30,-0.17,,
2013-05-31,2013-05-31,-0.01,,
2013-06-30,2013-06-30,0.19,,
2013-07-31,2013-07-31,0.44,,
2013-08-31,2013-08-31,0.27,,
2013-09-30,2013-09-30,0.24,,
2013-10-31,2013-10-31,0.04,,
2013-11-30,2013-11-30,0.19,,
2013-12-31,2013-12-31,0.12,,
2014-01-31,2014-01-31,0.17,,
2014-02-28,2014-02-28,0.14,,
2014-03-31,2014-03-31,0.27,,
2014-04-30,2014-04-30,0.24,,
2014-05-31,2014-05-31,0.29,,
2014-06-30,2014-06-30,0.09,,
2014-07-31,2014-07-31,0.19,,
2014-08-31,2014-08-31,0.07,,
2014-09-30,2014-09-30,0.1,,
2014-10-31,2014-10-31,0.2,,
2014-11-30,2014-11-30,0.17,,
2014-12-31,2014-12-31,0.09,,
2015-01-31,2015-01-31,0.21,,
2015-02-28,2015-02-28,-0.02,,
2015-03-31,2015-03-31,0.24,,
2015-04-30,2015-04-30,0.32,,
2015-05-31,2015-05-31,0.13,,
2015-06-30,2015-06-30,0.15,,
2015-07-31,2015-07-31,0.3,,
2015-08-31,2015-08-31,0.07,,
2015-09-30,2015-09-30,0.2,,
2015-10-31,2015-10-31,0.38,,
2015-11-30,2015-11-30,0.35,,
2015-12-31,2015-12-31,0.15,,
2016-01-31,2016-01-31,0.27,,
2016-02-29,2016-02-29,0.2,,
2016-03-31,2016-03-31,0.22,,
2016-04-30,2016-04-30,0.29,,
2016-05-31,2016-05-31,0.28,,
2016-06-30,2016-06-30,0.29,,
2016-07-31,2016-07-31,0.11,,
2016-08-31,2016-08-31,0.26,,
2016-09-30,2016-09-30,-0.05,,
2016-10-31,2016-10-31,0.07,,
2016-11-30,2016-11-30,0.22,,
2016-12-31,2016-12-31,0.25,,
2017-01-31,2017-01-31,0.3,,
2017-02-28,2017-02-28,0.27,,
2017-03-31,2017-03-31,-0.33,,
2017-04-30,2017-04-30,0.1,,
2017-05-31,2017-05-31,0.11,,
2017-06-30,2017-06-30,0.13,,
2017-07-31,2017-07-31,0.06,,
2017-08-31,2017-08-31,0.29,,
2017-09-30,2017-09-30,0.18,,
2017-10-31,2017-10-31,0.31,,
2017-11-30,2017-11-30,0.05,,
2017-12-31,2017-12-31,0.22,,
2018-01-31,2018-01-31,0.39,,
2018-02-28,2018-02-28,0.3,,
2018-03-31,2018-03-31,0.22,,
2018-04-30,2018-04-30,0.04,,
2018-05-31,2018-05-31,0.32,,
2018-06-30,2018-06-30,0.2,,
2018-07-31,2018-07-31,0.14,,
2018-08-31,2018-08-31,0.06,,
2018-09-30,2018-09-30,0.24,,
2018-10-31,2018-10-31,0.13,,
2018-11-30,2018-11-30,0.08,,
2018-12-31,2018-12-31,0.31,,
2019-01-31,2019-01-31,0.2,,
2019-02-28,2019-02-28,0.15,,
2019-03-31,2019-03-31,0.06,,
2019-04-30,2019-04-30,0.22,,
2019-05-31,2019-05-31,0.06,,
2019-06-30,2019-06-30,0.21,,
2019-07-31,2019-07-31,0.27,,
2019-08-31,2019-08-31,0.3,,
2019-09-30,2019-09-30,0.24,,
2019-10-31,2019-10-31,0.38,,
2019-11-30,2019-11-30,0.26,,
2019-12-31,2019-12-31,0.16,,
2020-01-31,2020-01-31,0.38,,
2020-02-29,2020-02-29,0.31,,
2020-03-31,2020-03-31,-0.53,,
2020-04-30,2020-04-30,-0.99,,
2020-05-31,2020-05-31,-0.37,,
2020-06-30,2020-06-30,0.4,,
2020-07-31,2020-07-31,1.01,,
2020-08-31,2020-08-31,0.21,,
2020-09-30,2020-09-30,-0.05,,
2020-10-31,2020-10-31,0.01,,
2020-11-30,2020-11-30,0.46,,
2020-12-31,2020-12-31,0.07,,
2021-01-31,2021-01-31,-0.06,,
2021-02-28,2021-02-28,0.22,,
2021-03-31,2021-03-31,0.33,,
2021-04-30,2021-04-30,0.73,,
2021-05-31,2021-05-31,0.41,,
