Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2019-09-30,2020-01-08,0.1,,
2019-12-31,2020-04-07,0.3,,
2020-03-31,2020-07-07,-0.6,,
2020-06-30,2020-10-13,-1.8,,
2020-09-30,2021-01-19,4.0,,
2020-12-31,2021-04-14,-0.7,,
2021-03-31,2021-07-07,0.9,,
2021-06-30,2021-10-07,4.3,,
2021-09-30,2022-01-11,-4.5,,
2021-12-31,2022-04-07,0.7,,
2022-03-31,2022-07-07,-0.8,,
2022-06-30,2022-10-07,0.4,,
2022-09-30,2023-01-26,0.9,,
2022-12-31,2023-04-26,0.0,,
2023-03-31,2023-07-07,-0.6,,
2023-06-30,2023-10-24,0.3,,
2023-09-30,2024-02-01,-0.3,,
2023-12-31,2024-02-15,-0.3,,
2024-03-31,2024-05-14,0.1,,
2024-06-30,2024-08-15,-0.1,,
2024-09-30,2024-11-15,-1.8,,
2024-12-31,2025-02-18,-0.8,,
2025-03-31,2025-05-15,-0.2,,
