Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2917.0,,
2003-09-30,2003-09-30,2419.0,,
2003-12-31,2003-12-31,4591.0,,
2004-03-31,2004-03-31,5471.0,,
2004-06-30,2004-06-30,3580.0,,
2004-09-30,2004-09-30,2944.0,,
2004-12-31,2004-12-31,5732.0,,
2005-03-31,2005-03-31,6043.0,,
2005-06-30,2005-06-30,3765.0,,
2005-09-30,2005-09-30,3150.0,,
2005-12-31,2005-12-31,6124.0,,
2006-03-31,2006-03-31,6972.0,,
2006-06-30,2006-06-30,4728.0,,
2006-09-30,2006-09-30,4186.0,,
2006-12-31,2006-12-31,7509.0,,
2007-03-31,2007-03-31,7710.0,,
2007-06-30,2007-06-30,4383.0,,
2007-09-30,2007-09-30,4139.0,,
2007-12-31,2007-12-31,7808.0,,
2008-03-31,2008-03-31,8270.0,,
2008-06-30,2008-06-30,5353.0,,
2008-09-30,2008-09-30,4870.0,,
2008-12-31,2008-12-31,10207.0,,
2009-03-31,2009-03-31,10787.0,,
2009-06-30,2009-06-30,5147.0,,
2009-09-30,2009-09-30,4389.0,,
2009-12-31,2009-12-31,8361.0,,
2010-03-31,2010-03-31,10260.0,,
2010-06-30,2010-06-30,5203.0,,
2010-09-30,2010-09-30,4203.0,,
2010-12-31,2010-12-31,10154.0,,
2011-03-31,2011-03-31,9949.0,,
2011-06-30,2011-06-30,5193.0,,
2011-09-30,2011-09-30,4839.0,,
2011-12-31,2011-12-31,9249.0,,
2012-03-31,2012-03-31,10724.0,,
2012-06-30,2012-06-30,6768.0,,
2012-09-30,2012-09-30,4925.0,,
2012-12-31,2012-12-31,10673.0,,
2013-03-31,2013-03-31,13196.0,,
2013-06-30,2013-06-30,7006.0,,
2013-09-30,2013-09-30,4737.0,,
2013-12-31,2013-12-31,10018.0,,
2014-03-31,2014-03-31,11060.0,,
2014-06-30,2014-06-30,6037.0,,
2014-09-30,2014-09-30,4814.0,,
2014-12-31,2014-12-31,9327.0,,
2015-03-31,2015-03-31,11658.0,,
2015-06-30,2015-06-30,6352.0,,
2015-09-30,2015-09-30,4997.0,,
2015-12-31,2015-12-31,8392.0,,
2016-03-31,2016-03-31,11212.0,,
2016-06-30,2016-06-30,6349.0,,
2016-09-30,2016-09-30,4595.0,,
2016-12-31,2016-12-31,9566.0,,
2017-03-31,2017-03-31,10244.0,,
2017-06-30,2017-06-30,5960.0,,
2017-09-30,2017-09-30,4997.0,,
2017-12-31,2017-12-31,9774.0,,
2018-03-31,2018-03-31,12085.0,,
2018-06-30,2018-06-30,6272.0,,
2018-09-30,2018-09-30,5025.0,,
2018-12-31,2018-12-31,10128.0,,
2019-03-31,2019-03-31,10697.0,,
2019-06-30,2019-06-30,7086.0,,
2019-09-30,2019-09-30,4999.0,,
2019-12-31,2019-12-31,9673.0,,
2020-03-31,2020-03-31,10657.0,,
2020-06-30,2020-06-30,6590.0,,
2020-09-30,2020-09-30,4833.0,,
2020-12-31,2020-12-31,9675.0,,
2021-03-31,2021-03-31,11700.0,,
2021-06-30,2021-06-30,7790.0,,
2021-09-30,2021-09-30,4899.0,,
2021-12-31,2021-12-31,11040.0,,
2022-03-31,2022-03-31,12004.0,,
2022-06-30,2022-06-30,10655.0,,
2022-09-30,2022-09-30,7507.0,,
2022-12-31,2022-12-31,19121.0,,
2023-03-31,2023-03-31,21725.0,,
2023-06-30,2023-06-30,11768.0,,
2023-09-30,2023-09-30,7444.0,,
2023-12-31,2023-12-31,14115.0,,
2024-03-31,2024-03-31,17552.0,,
2024-06-30,2024-06-30,8861.0,,
2024-09-30,2024-09-30,6450.0,,
2024-12-31,2024-12-31,13742.0,,
