Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,30706.0,,
2003-09-30,2003-09-30,30878.0,,
2003-12-31,2003-12-31,30898.0,,
2004-03-31,2004-03-31,30976.0,,
2004-06-30,2004-06-30,31030.0,,
2004-09-30,2004-09-30,31065.0,,
2004-12-31,2004-12-31,31215.0,,
2005-03-31,2005-03-31,31353.0,,
2005-06-30,2005-06-30,31401.0,,
2005-09-30,2005-09-30,31543.0,,
2005-12-31,2005-12-31,31633.0,,
2006-03-31,2006-03-31,31702.0,,
2006-06-30,2006-06-30,31807.0,,
2006-09-30,2006-09-30,31951.0,,
2006-12-31,2006-12-31,32071.0,,
2007-03-31,2007-03-31,31996.0,,
2007-06-30,2007-06-30,32084.0,,
2007-09-30,2007-09-30,32221.0,,
2007-12-31,2007-12-31,32259.0,,
2008-03-31,2008-03-31,32277.0,,
2008-06-30,2008-06-30,32347.0,,
2008-09-30,2008-09-30,32317.0,,
2008-12-31,2008-12-31,32130.0,,
2009-03-31,2009-03-31,31906.0,,
2009-06-30,2009-06-30,31728.0,,
2009-09-30,2009-09-30,31613.0,,
2009-12-31,2009-12-31,31478.0,,
2010-03-31,2010-03-31,31476.0,,
2010-06-30,2010-06-30,31558.0,,
2010-09-30,2010-09-30,31514.0,,
2010-12-31,2010-12-31,31567.0,,
2011-03-31,2011-03-31,31634.0,,
2011-06-30,2011-06-30,31557.0,,
2011-09-30,2011-09-30,31785.0,,
2011-12-31,2011-12-31,31803.0,,
2012-03-31,2012-03-31,32147.0,,
2012-06-30,2012-06-30,32093.0,,
2012-09-30,2012-09-30,32035.0,,
2012-12-31,2012-12-31,31990.0,,
2013-03-31,2013-03-31,32173.0,,
2013-06-30,2013-06-30,32236.0,,
2013-09-30,2013-09-30,32464.0,,
2013-12-31,2013-12-31,32836.0,,
2014-03-31,2014-03-31,33134.0,,
2014-06-30,2014-06-30,33446.0,,
2014-09-30,2014-09-30,33575.0,,
2014-12-31,2014-12-31,33686.0,,
2015-03-31,2015-03-31,33806.0,,
2015-06-30,2015-06-30,33892.0,,
2015-09-30,2015-09-30,34083.0,,
2015-12-31,2015-12-31,34157.0,,
2016-03-31,2016-03-31,34369.0,,
2016-06-30,2016-06-30,34562.0,,
2016-09-30,2016-09-30,34595.0,,
2016-12-31,2016-12-31,34669.0,,
2017-03-31,2017-03-31,34846.0,,
2017-06-30,2017-06-30,34856.0,,
2017-09-30,2017-09-30,34960.0,,
2017-12-31,2017-12-31,34874.0,,
2018-03-31,2018-03-31,34946.0,,
2018-06-30,2018-06-30,34972.0,,
2018-09-30,2018-09-30,35075.0,,
2018-12-31,2018-12-31,35244.0,,
2019-03-31,2019-03-31,35438.0,,
2019-06-30,2019-06-30,35546.0,,
2019-09-30,2019-09-30,35615.0,,
2019-12-31,2019-12-31,35661.0,,
2020-03-31,2020-03-31,35609.0,,
2020-06-30,2020-06-30,35135.0,,
2020-09-30,2020-09-30,34594.0,,
2020-12-31,2020-12-31,34522.0,,
2021-03-31,2021-03-31,34734.0,,
2021-06-30,2021-06-30,35072.0,,
2021-09-30,2021-09-30,35286.0,,
2021-12-31,2021-12-31,35328.0,,
2022-03-31,2022-03-31,35712.0,,
2022-06-30,2022-06-30,35920.0,,
2022-09-30,2022-09-30,35985.0,,
2022-12-31,2022-12-31,36181.0,,
2023-03-31,2023-03-31,36537.0,,
2023-06-30,2023-06-30,36304.0,,
2023-09-30,2023-09-30,36429.0,,
2023-12-31,2023-12-31,36506.0,,
2024-03-31,2024-03-31,36791.0,,
2024-06-30,2024-06-30,36720.0,,
2024-09-30,2024-09-30,36754.0,,
2024-12-31,2024-12-31,36909.0,,
