Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-16,3.1,3.1,3.1
2003-07-31,2003-08-13,3.1,3.1,3.1
2003-08-31,2003-09-17,3.1,3.1,3.1
2003-09-30,2003-10-15,3.1,3.1,3.08
2003-10-31,2003-11-12,3.0,3.1,3.08
2003-11-30,2003-12-17,3.0,3.0,3.0
2003-12-31,2004-01-14,3.0,3.0,3.0
2004-01-31,2004-02-11,2.9,3.0,2.98
2004-02-29,2004-03-17,2.9,2.9,2.9
2004-03-31,2004-04-16,2.9,2.9,2.91
2004-04-30,2004-05-12,2.9,2.9,2.89
2004-05-31,2004-06-16,2.8,2.9,2.88
2004-06-30,2004-07-14,2.7,2.8,2.8
2004-07-31,2004-08-11,2.7,2.7,2.7
2004-08-31,2004-09-15,2.7,2.7,2.69
2004-09-30,2004-10-13,2.7,2.7,2.68
2004-10-31,2004-11-17,2.7,2.7,2.7
2004-11-30,2004-12-15,2.7,2.7,2.7
2004-12-31,2005-01-19,2.7,2.7,2.69
2005-01-31,2005-02-16,2.6,2.7,2.68
2005-02-28,2005-03-16,2.6,2.6,2.6
2005-03-31,2005-04-13,2.7,2.6,2.6
2005-04-30,2005-05-18,2.7,2.7,2.7
2005-05-31,2005-06-15,2.7,2.7,2.7
2005-06-30,2005-07-13,2.8,2.7,2.73
2005-07-31,2005-08-17,2.8,2.8,2.8
2005-08-31,2005-09-14,2.8,2.8,2.8
2005-09-30,2005-10-12,2.8,2.8,2.81
2005-10-31,2005-11-16,2.8,2.8,2.79
2005-11-30,2005-12-14,2.9,2.8,2.83
2005-12-31,2006-01-18,2.9,2.9,2.9
2006-01-31,2006-02-15,2.9,2.9,2.93
2006-02-28,2006-03-15,2.9,2.9,2.9
2006-03-31,2006-04-12,3.0,2.9,2.93
2006-04-30,2006-05-17,3.0,3.0,3.0
2006-05-31,2006-06-14,3.0,3.0,3.0
2006-06-30,2006-07-12,3.0,3.0,3.01
2006-07-31,2006-08-16,3.0,3.0,3.01
2006-08-31,2006-09-13,3.0,3.0,3.01
2006-09-30,2006-10-18,3.0,3.0,3.0
2006-10-31,2006-11-15,3.0,3.0,3.01
2006-11-30,2006-12-13,3.0,3.0,3.02
2006-12-31,2007-01-17,3.0,3.0,3.0
2007-01-31,2007-02-14,2.9,3.0,3.0
2007-02-28,2007-03-14,2.9,2.9,2.9
2007-03-31,2007-04-18,2.9,2.9,2.9
2007-04-30,2007-05-16,2.8,2.9,2.89
2007-05-31,2007-06-13,2.7,2.8,2.8
2007-06-30,2007-07-18,2.7,2.7,2.7
2007-07-31,2007-08-15,2.6,2.7,2.7
2007-08-31,2007-09-12,2.6,2.6,2.6
2007-09-30,2007-10-17,2.6,2.6,2.6
2007-10-31,2007-11-14,2.6,2.6,2.6
2007-11-30,2007-12-12,2.5,2.6,2.59
2007-12-31,2008-01-16,2.5,2.5,2.5
2008-01-31,2008-02-13,2.5,2.5,2.5
2008-02-29,2008-03-19,2.5,2.5,2.49
2008-03-31,2008-04-16,2.5,2.5,2.5
2008-04-30,2008-05-14,2.5,2.5,2.5
2008-05-31,2008-06-11,2.5,2.5,2.53
2008-06-30,2008-07-16,2.6,2.6,2.58
2008-07-31,2008-08-13,2.7,2.6,2.63
2008-08-31,2008-09-17,2.8,2.8,2.78
2008-09-30,2008-10-15,2.9,2.9,2.87
2008-10-31,2008-11-12,3.0,3.0,3.0
2008-11-30,2008-12-17,3.3,3.1,3.13
2008-12-31,2009-01-21,3.6,3.5,3.5
2009-01-31,2009-02-11,3.8,3.8,3.81
2009-02-28,2009-03-18,4.3,4.0,4.01
