Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.652,,
2003-09-30,2003-09-30,0.663,,
2003-12-31,2003-12-31,0.668,,
2004-03-31,2004-03-31,0.679,,
2004-06-30,2004-06-30,0.678,,
2004-09-30,2004-09-30,0.691,,
2004-12-31,2004-12-31,0.701,,
2005-03-31,2005-03-31,0.71,,
2005-06-30,2005-06-30,0.704,,
2005-09-30,2005-09-30,0.711,,
2005-12-31,2005-12-31,0.707,,
2006-03-31,2006-03-31,0.726,,
2006-06-30,2006-06-30,0.722,,
2006-09-30,2006-09-30,0.732,,
2006-12-31,2006-12-31,0.747,,
2007-03-31,2007-03-31,0.757,,
2007-06-30,2007-06-30,0.756,,
2007-09-30,2007-09-30,0.768,,
2007-12-31,2007-12-31,0.762,,
2008-03-31,2008-03-31,0.774,,
2008-06-30,2008-06-30,0.77,,
2008-09-30,2008-09-30,0.778,,
2008-12-31,2008-12-31,0.791,,
2009-03-31,2009-03-31,0.796,,
2009-06-30,2009-06-30,0.81,,
2009-09-30,2009-09-30,0.806,,
2009-12-31,2009-12-31,0.815,,
2010-03-31,2010-03-31,0.813,,
2010-06-30,2010-06-30,0.805,,
2010-09-30,2010-09-30,0.809,,
2010-12-31,2010-12-31,0.809,,
2011-03-31,2011-03-31,0.826,,
2011-06-30,2011-06-30,0.818,,
2011-09-30,2011-09-30,0.812,,
2011-12-31,2011-12-31,0.813,,
2012-03-31,2012-03-31,0.817,,
2012-06-30,2012-06-30,0.824,,
2012-09-30,2012-09-30,0.817,,
2012-12-31,2012-12-31,0.823,,
2013-03-31,2013-03-31,0.823,,
2013-06-30,2013-06-30,0.845,,
2013-09-30,2013-09-30,0.84,,
2013-12-31,2013-12-31,0.842,,
2014-03-31,2014-03-31,0.843,,
2014-06-30,2014-06-30,0.832,,
2014-09-30,2014-09-30,0.824,,
2014-12-31,2014-12-31,0.828,,
2015-03-31,2015-03-31,0.837,,
2015-06-30,2015-06-30,0.838,,
2015-09-30,2015-09-30,0.844,,
2015-12-31,2015-12-31,0.844,,
2016-03-31,2016-03-31,0.85,,
2016-06-30,2016-06-30,0.86,,
2016-09-30,2016-09-30,0.864,,
2016-12-31,2016-12-31,0.859,,
2017-03-31,2017-03-31,0.865,,
2017-06-30,2017-06-30,0.871,,
2017-09-30,2017-09-30,0.87,,
2017-12-31,2017-12-31,0.869,,
2018-03-31,2018-03-31,0.887,,
2018-06-30,2018-06-30,0.884,,
2018-09-30,2018-09-30,0.896,,
2018-12-31,2018-12-31,0.905,,
2019-03-31,2019-03-31,0.909,,
2019-06-30,2019-06-30,0.923,,
2019-09-30,2019-09-30,0.919,,
2019-12-31,2019-12-31,0.918,,
2020-03-31,2020-03-31,0.944,,
2020-06-30,2020-06-30,1.151,,
2020-09-30,2020-09-30,1.014,,
2020-12-31,2020-12-31,1.026,,
2021-03-31,2021-03-31,1.038,,
2021-06-30,2021-06-30,0.995,,
2021-09-30,2021-09-30,0.989,,
2021-12-31,2021-12-31,0.982,,
2022-03-31,2022-03-31,1.001,,
2022-06-30,2022-06-30,1.018,,
2022-09-30,2022-09-30,1.035,,
2022-12-31,2022-12-31,1.054,,
2023-03-31,2023-03-31,1.078,,
2023-06-30,2023-06-30,1.1,,
2023-09-30,2023-09-30,1.112,,
2023-12-31,2023-12-31,1.122,,
2024-03-31,2024-03-31,1.134,,
2024-06-30,2024-06-30,1.145,,
2024-09-30,2024-09-30,1.162,,
2024-12-31,2024-12-31,1.191,,
2025-03-31,2025-03-31,1.199,,
