Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2020-10-31,2020-10-31,5.8,,
2020-11-30,2020-11-30,5.3,,
2020-12-31,2020-12-31,5.7,,
2021-01-31,2021-01-31,6.0,,
2021-02-28,2021-02-28,6.3,,
2021-03-31,2021-03-31,7.3,,
2021-04-30,2021-04-30,7.7,,
2021-05-31,2021-05-31,8.0,,
2021-06-30,2021-06-30,9.2,,
2021-07-31,2021-07-31,10.7,,
2021-08-31,2021-08-31,11.2,,
2021-09-30,2021-09-30,11.9,,
2021-10-31,2021-10-31,12.8,,
2021-11-30,2021-11-30,13.3,,
2021-12-31,2021-12-31,14.3,,
2022-01-31,2022-01-31,14.4,,
2022-02-28,2022-02-28,15.3,,
2022-03-31,2022-03-31,16.0,,
2022-04-30,2022-04-30,16.1,,
2022-05-31,2022-05-31,16.0,,
2022-06-30,2022-06-30,16.0,,
2022-07-31,2022-07-31,15.8,,
2022-08-31,2022-08-31,15.4,,
2022-09-30,2022-09-30,15.1,,
2022-10-31,2022-10-31,14.4,,
2022-11-30,2022-11-30,13.8,,
2022-12-31,2022-12-31,13.8,,
2023-01-31,2023-01-31,13.4,,
2023-02-28,2023-02-28,12.6,,
2023-03-31,2023-03-31,12.9,,
2023-04-30,2023-04-30,12.1,,
2023-05-31,2023-05-31,11.3,,
2023-06-30,2023-06-30,10.8,,
2023-07-31,2023-07-31,9.9,,
2023-08-31,2023-08-31,9.5,,
2023-09-30,2023-09-30,8.8,,
2023-10-31,2023-10-31,8.4,,
2023-11-30,2023-11-30,8.3,,
2023-12-31,2023-12-31,8.3,,
2024-01-31,2024-01-31,7.7,,
2024-02-29,2024-02-29,7.6,,
2024-03-31,2024-03-31,7.8,,
2024-04-30,2024-04-30,7.6,,
2024-05-31,2024-05-31,7.5,,
2024-06-30,2024-06-30,7.3,,
2024-07-31,2024-07-31,7.1,,
2024-08-31,2024-08-31,7.1,,
2024-09-30,2024-09-30,6.6,,
2024-10-31,2024-10-31,6.7,,
2024-11-30,2024-11-30,6.8,,
2024-12-31,2024-12-31,6.9,,
2025-01-31,2025-01-31,6.8,,
2025-02-28,2025-02-28,6.8,,
2025-03-31,2025-03-31,6.7,,
2025-04-30,2025-04-30,7.0,,
2025-05-31,2025-05-31,7.0,,
