Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-07-31,2006-08-02,99.0,,
2006-08-31,2006-08-30,107.0,127.5,123.8
2006-09-30,2006-10-04,78.0,115.0,111.3
2006-10-31,2006-11-01,128.0,107.5,107.5
2006-11-30,2006-12-06,158.0,100.0,99.3
2006-12-31,2007-01-03,-40.0,120.0,115.5
2007-01-31,2007-01-31,152.0,140.0,145.6
2007-02-28,2007-03-07,57.0,100.0,98.9
2007-03-31,2007-04-04,106.0,135.0,143.3
2007-04-30,2007-05-02,64.0,100.0,96.7
2007-05-31,2007-05-30,97.0,120.0,117.9
2007-06-30,2007-07-05,150.0,100.0,102.7
2007-07-31,2007-08-01,48.0,100.0,102.8
2007-08-31,2007-09-05,38.0,80.0,81.2
2007-09-30,2007-10-03,58.0,60.0,62.8
2007-10-31,2007-10-31,106.0,58.0,54.5
2007-11-30,2007-12-05,189.0,50.0,49.9
2007-12-31,2008-01-03,40.0,32.5,36.7
2008-01-31,2008-01-30,130.0,40.0,36.7
2008-02-29,2008-03-05,-23.0,17.5,14.3
2008-03-31,2008-04-02,8.0,-45.0,-51.0
2008-04-30,2008-04-30,10.0,-60.0,-65.2
2008-05-31,2008-06-04,40.0,-30.0,-36.1
2008-06-30,2008-07-02,-79.0,-20.0,-7.6
2008-07-31,2008-07-30,9.0,-60.0,-60.9
2008-08-31,2008-09-04,-33.0,-30.0,-36.0
2008-09-30,2008-10-01,-8.0,-50.0,-58.3
2008-10-31,2008-11-05,-157.0,-102.0,-123.2
2008-11-30,2008-12-03,-250.0,-205.0,-219.0
2008-12-31,2009-01-07,-693.0,-495.0,-476.9
2009-01-31,2009-02-04,-522.0,-535.0,-554.8
2009-02-28,2009-03-04,-697.0,-630.0,-633.8
2009-03-31,2009-04-01,-742.0,-662.5,-663.2
2009-04-30,2009-05-06,-491.0,-645.0,-644.4
2009-05-31,2009-06-03,-532.0,-525.0,-523.5
2009-06-30,2009-07-01,-473.0,-394.0,-382.5
2009-07-31,2009-08-05,-371.0,-350.0,-338.8
2009-08-31,2009-09-02,-298.0,-250.0,-248.0
2009-09-30,2009-09-30,-254.0,-200.0,-208.6
2009-10-31,2009-11-04,-203.0,-197.5,-201.4
2009-11-30,2009-12-02,-169.0,-150.0,-149.6
2009-12-31,2010-01-06,-84.0,-75.0,-71.2
2010-01-31,2010-02-03,-22.0,-30.0,-32.9
2010-02-28,2010-03-03,-20.0,-20.0,-33.1
2010-03-31,2010-03-31,-23.0,40.0,44.1
2010-04-30,2010-05-05,32.0,30.0,34.2
2010-05-31,2010-06-03,55.0,70.0,76.8
2010-06-30,2010-06-30,13.0,60.0,61.1
2010-07-31,2010-08-04,42.0,30.0,33.4
2010-08-31,2010-09-01,-10.0,15.0,9.9
2010-09-30,2010-10-06,-39.0,20.0,22.7
2010-10-31,2010-11-03,43.0,20.0,20.3
2010-11-30,2010-12-01,93.0,70.0,71.8
